Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TDP,F_TDP,TP,F_TP,PHOSP,F_PHOSP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TDN,F_TDN,TN,F_TN,PN,F_PN,UncCHLa_N,F_UncCHLa_N,CHLA_N,F_CHLA_N,PHEA,F_PHEA,POC,F_POC,SiO4F,F_SiO4F,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,Color,F_Color,SECCHI,F_SECCHI,IRR0_N,F_IRR0_N,IRR1_N,F_IRR1_N,Kd_N,F_Kd_N
gtmfmnut,01/03/2007 12:01,1,1,,0.014,0,0.035,0,0.036,0,0.001,0,0.034,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0125,0,0.046,0,0.2399,0,0.2771,0,0.0372,0,1.8,0,1.3,0,0.9,0,0.43,0,1.052,0,83.3,0,18.7,0,32.3,0,7.0,0,8.0,0,5.2,0,6.6,0,1.5,0,761.8,0,236.6,0,525.2,0
gtmfmnut,01/03/2007 12:02,1,2,,0.016,0,0.031,0,0.042,0,0.011,0,0.036,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0124,0,0.048,0,0.2484,0,0.2705,0,0.0221,0,1.8,0,1.8,0,0.1,0,0.48,0,1.132,0,84.0,0,18.7,0,32.3,0,7.0,0,8.0,0,5.0,0,6.9,0,1.5,0,761.8,0,236.6,0,525.2,0
gtmssnut,01/03/2007 08:56,1,1,,0.006,0,0.012,0,0.032,0,0.020,0,0.012,<-4> [SBL],0.0043,<-4> [SBL],,<-4> [SCB],0.0062,<-4> [SBL],,<-4> [SCB],0.1648,0,0.2404,0,0.0756,0,4.3,0,3.6,0,1.4,0,0.58,0,0.307,<-4> [SBL],86.0,0,17.7,0,33.5,0,7.4,0,8.1,0,6.1,0,4.6,0,1.4,0,68.0,0,24.3,0,43.7,0
gtmssnut,01/03/2007 08:57,1,2,,0.005,0,0.013,0,0.031,0,0.018,0,0.012,<-4> [SBL],0.0043,<-4> [SBL],,<-4> [SCB],0.0062,<-4> [SBL],,<-4> [SCB],0.1802,0,0.2356,0,0.0554,0,4.4,0,3.8,0,1.2,0,0.55,0,0.307,<-4> [SBL],78.0,0,17.7,0,33.5,0,7.4,0,8.1,0,6.2,0,3.6,0,1.4,0,68.0,0,24.3,0,43.7,0
gtmpinut,01/03/2007 10:21,1,1,,0.011,0,0.028,0,0.050,0,0.022,0,0.027,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0084,0,0.035,0,0.2697,0,0.3332,0,0.0635,0,4.8,0,3.8,0,1.8,0,0.91,0,1.527,0,65.7,0,18.2,0,32.2,0,6.9,0,7.9,0,7.1,0,12.8,0,1.6,0,110.8,0,29.9,0,80.9,0
gtmpinut,01/03/2007 10:22,1,2,,0.012,0,0.025,0,0.043,0,0.018,0,0.017,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0092,0,0.026,0,0.2534,0,0.3692,0,0.1158,0,6.7,0,5.4,0,2.5,0,0.79,0,1.281,0,65.3,0,18.2,0,32.2,0,6.9,0,7.9,0,6.1,0,8.2,0,1.6,0,110.8,0,29.9,0,80.9,0
gtmpcnut,01/03/2007 12:56,1,1,,0.020,0,0.034,0,0.064,0,0.030,0,0.043,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0133,0,0.056,0,0.3184,0,0.4260,0,0.1076,0,4.9,0,4.0,0,1.6,0,1.21,0,2.961,0,60.7,0,18.7,0,25.6,0,6.6,0,7.8,0,8.7,0,24.1,0,1.0,0,368.3,0,27.9,0,340.4,0
gtmpcnut,01/03/2007 12:57,1,2,,0.018,0,0.037,0,0.064,0,0.027,0,0.030,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0127,0,0.043,0,0.2770,0,0.4456,0,0.1686,0,6.8,0,5.6,0,2.3,0,1.17,0,2.803,0,57.0,0,18.7,0,25.6,0,6.6,0,7.8,0,9.4,0,22.2,0,1.0,0,368.3,0,27.9,0,340.4,0
gtmpcnut,01/02/2007 10:30,2,1,,0.024,0,0.044,0,0.070,0,0.026,0,0.088,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0159,0,0.104,0,0.3600,0,0.4645,0,0.1045,0,7.0,0,5.4,0,3.0,0,1.25,0,3.249,0,,<-1>,,<-1>,28.0,0,,<-1>,,<-1>,10.3,0,30.9,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/02/2007 13:00,2,1,,0.022,0,0.050,0,0.081,0,0.031,0,0.053,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0231,0,0.076,0,0.3817,0,0.4549,0,0.0732,0,8.2,0,5.8,0,4.3,0,1.58,0,4.152,0,,<-1>,,<-1>,23.0,0,,<-1>,,<-1>,10.9,0,32.4,0,,<-1>,,<-1>,,<-1>,,<-1>
