Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI
gtmpinut,10/20/2014 9:05,1,1,,0.046,0,0.073,0,0.045,0,0.056,0,0.017,0,0.047,0,0.092,0,0.720,0,0.675,0,3.40,0,4.10,0,0.95,0,13,0,25,<1> (CHB),23.60,0,24.63,0,4.70,0,7.92,0,0.80,0
gtmpinut,10/20/2014 9:06,1,2,,0.049,0,0.076,0,0.042,0,0.059,0,0.013,0,0.052,0,0.094,0,0.590,0,0.548,0,3.90,0,4.70,0,0.99,0,8,0,7,<1> (CHB),23.60,0,24.63,0,4.70,0,7.92,0,,<-1>
gtmpcnut,10/20/2014 9:30,2,1,,0.036,0,0.079,0,0.053,0,0.015,<1> [GQS] (CSM),0.004,<-4> [SBL] (CSM),0.014,0,0.067,0,1.100,0,1.047,0,6.30,0,7.80,0,2.10,0,15,0,290,<1> (CHB),22.23,0,4.72,0,5.83,0,6.81,0,,<-1>
gtmpcnut,10/20/2014 10:05,1,1,,0.043,0,0.090,0,0.046,0,0.015,0,0.005,0,0.020,0,0.066,0,1.400,0,1.354,0,6.90,0,8.40,0,2.20,0,11,<1> (CSM),320,<1> (CHB),22.30,0,4.65,0,5.53,0,6.95,0,0.30,0
gtmpcnut,10/20/2014 10:25,1,2,,0.037,0,0.079,0,0.047,0,0.016,0,0.004,<-4> [SBL],0.014,0,0.061,0,1.200,0,1.153,0,5.80,0,8.00,0,3.30,0,9,0,330,<1> (CHB),22.30,0,4.72,0,5.08,0,6.81,0,,<-1>
gtmssnut,10/20/2014 10:30,1,1,,0.026,0,0.055,0,0.029,0,0.010,0,0.021,0,0.030,0,0.059,0,0.530,0,0.501,0,6.30,0,7.80,0,2.20,0,14,0,36,<1> (CHB),24.30,0,32.77,0,5.49,0,7.99,0,0.50,0
gtmssnut,10/20/2014 10:31,1,2,,0.026,0,0.061,0,0.040,0,0.010,0,0.021,0,0.031,0,0.071,0,0.420,0,0.380,0,5.40,0,6.50,0,1.60,0,18,0,26,<1> (CHB),24.30,0,32.77,0,5.49,0,7.99,0,,<-1>
gtmfmnut,10/20/2014 11:20,1,1,,0.024,0,0.052,0,0.038,0,0.006,0,0.010,0,0.016,0,0.054,0,0.480,0,0.442,0,3.80,0,4.70,0,1.50,0,9,0,15,<1> (CHB),23.70,0,32.10,0,5.32,0,8.06,0,0.80,0
gtmfmnut,10/20/2014 11:30,1,2,,0.027,0,0.053,0,0.034,0,0.005,0,0.009,0,0.014,0,0.048,0,0.390,0,0.356,0,4.70,0,5.70,0,1.50,0,10,0,16,<1> (CHB),23.70,0,32.10,0,5.32,0,8.06,0,,<-1>
gtmpcnut,10/20/2014 23:30,2,1,,0.034,0,0.070,0,0.029,0,0.003,<-4> [SBL],,<-4> [SCB],0.008,0,0.037,0,1.200,0,1.171,0,2.20,0,3.20,0,1.50,0,10,0,170,<1> (CHB),22.34,0,1.51,0,5.95,0,6.44,0,,<-1>
gtmpcnut,11/3/2014 9:30,2,1,,0.029,<1> (CHB),0.054,0,0.013,0,0.002,<1> (CHB),0.006,<1> (CHB),0.008,0,0.021,0,0.490,0,0.477,0,6.30,<1> (CHB),8.00,<1> (CHB),2.60,<1> (CHB),13,0,,<-2> [GDM] (CSM),15.62,0,26.21,0,7.50,0,8.05,0,,<-1>
gtmpcnut,11/3/2014 12:00,2,1,,0.031,0,0.073,0,0.016,0,0.003,0,0.008,0,0.011,0,0.027,0,0.720,0,0.704,0,8.80,0,11.00,0,4.00,0,10,0,67,<1> [GSM] (CHB),16.20,0,17.11,0,7.45,0,7.66,0,,<-1>
gtmpcnut,11/3/2014 14:30,2,1,,0.037,0,0.065,0,0.030,0,0.005,0,0.019,0,0.024,0,0.054,0,0.620,0,0.590,0,4.80,0,5.90,0,1.50,0,11,0,220,<1> (CHB),16.99,0,9.66,0,7.12,0,7.29,0,,<-1>
gtmpcnut,11/3/2014 17:00,2,1,,0.037,0,0.098,0,0.017,0,0.004,0,0.007,0,0.011,0,0.028,0,0.970,0,0.953,0,10.00,0,14.00,0,5.70,0,29,0,140,<1> (CHB),17.60,0,12.73,0,7.51,0,7.41,0,,<-1>
gtmpcnut,11/3/2014 19:30,2,1,,0.034,0,0.140,0,0.008,0,0.003,0,0.005,0,0.009,0,0.017,0,0.970,0,0.962,0,7.80,0,11.00,0,5.00,0,63,0,100,<1> (CHB),17.87,0,21.75,0,7.99,0,7.84,0,,<-1>
gtmpcnut,11/3/2014 22:00,2,1,,0.033,0,0.070,0,0.007,0,0.002,<-4> [SBL],,<-4> [SCB],0.009,0,0.016,0,0.700,0,0.693,0,7.40,0,9.90,0,3.70,0,40,0,21,<1> (CHB),17.96,0,24.66,0,8.00,0,7.98,0,,<-1>
gtmpcnut,11/4/2014 0:30,2,1,,0.034,0,0.073,0,0.015,0,0.004,0,0.004,0,0.009,0,0.030,0,0.650,0,0.635,0,4.00,<1> (CSM),5.50,<1> (CSM),2.50,0,19,0,120,<1> (CHB),17.28,0,14.14,0,7.33,0,7.43,0,,<-1>
gtmpcnut,11/4/2014 3:00,2,1,,0.038,0,0.065,0,0.020,0,0.005,0,0.011,0,0.016,0,0.036,0,0.640,0,0.620,0,3.10,0,4.00,0,1.40,0,11,0,130,<1> (CHB),17.08,0,8.71,0,6.79,0,7.23,0,,<-1>
gtmpcnut,11/4/2014 5:30,2,1,,0.037,0,0.085,0,0.017,0,0.005,0,0.007,0,0.012,0,0.029,0,0.740,0,0.723,0,5.00,0,7.10,0,3.20,0,29,0,90,<1> (CHB),17.16,0,7.07,0,7.07,0,7.39,0,,<-1>
gtmpcnut,11/4/2014 8:00,2,1,,0.034,0,0.110,0,0.009,0,0.002,0,0.007,0,0.009,0,0.018,0,0.910,0,0.901,0,7.00,0,9.90,0,4.40,0,54,0,38,<1> (CHB),17.09,0,21.32,0,7.32,0,7.73,0,,<-1>
gtmpinut,11/4/2014 8:40,1,1,,0.031,0,0.051,0,0.012,0,0.002,<-4> [SBL],,<-4> [SCB],0.006,0,0.018,0,0.490,0,0.478,0,4.60,0,5.30,0,0.98,0,8,0,8,<1> (CHB),18.30,0,31.12,0,6.40,0,7.61,0,,<-2> [GDM]
gtmpinut,11/4/2014 8:42,1,2,,0.033,0,0.049,0,0.014,0,0.002,<-4> [SBL],,<-4> [SCB],0.008,0,0.022,0,0.510,0,0.496,0,4.40,0,5.20,0,1.10,0,8,0,3,<1> (CHB),18.30,0,31.12,0,6.40,0,7.61,0,,<-1>
gtmssnut,11/4/2014 10:00,1,1,,0.024,0,0.047,0,0.013,0,0.002,<-4> [SBL],,<-4> [SCB],0.007,0,0.020,0,0.350,0,0.337,0,4.50,0,5.50,0,1.50,0,11,0,15,<1> (CHB),19.90,0,34.72,0,6.74,0,7.82,0,0.90,0
gtmssnut,11/4/2014 10:04,1,2,,0.027,0,0.048,0,0.012,0,0.002,<-4> [SBL],,<-4> [SCB],0.013,0,0.025,0,0.300,0,0.288,0,4.30,0,5.30,0,1.40,0,12,0,8,<1> (CHB),19.90,0,34.72,0,6.74,0,7.82,0,,<-1>
gtmpcnut,11/4/2014 10:11,1,1,,0.029,0,0.075,0,0.006,0,0.002,0,0.004,<-4> [SBL],0.005,0,0.011,0,0.740,0,0.734,0,5.90,0,8.90,0,4.50,0,22,0,39,<1> (CHB),17.50,0,25.28,0,6.83,0,7.68,0,,<-2> [GDM]
gtmpcnut,11/4/2014 10:29,1,2,,0.031,0,0.056,0,0.005,0,0.002,0,0.004,<-4> [SBL],0.004,0,0.009,0,0.510,0,0.505,0,6.70,0,7.80,0,1.40,0,9,0,60,<1> (CHB),17.50,0,25.06,0,6.91,0,7.73,0,,<-1>
gtmpcnut,11/4/2014 10:30,2,1,,0.032,0,0.071,0,0.011,0,0.002,0,0.007,0,0.009,0,0.020,0,0.590,0,0.579,0,8.10,0,12.00,0,5.40,0,38,0,44,<1> (CHB),17.43,0,24.72,0,7.38,0,7.92,0,,<-1>
gtmfmnut,11/4/2014 11:05,1,1,,0.022,0,0.043,0,0.008,0,0.002,<-4> [SBL],,<-4> [SCB],0.005,0,0.013,0,0.330,0,0.322,0,3.60,0,4.30,0,0.92,0,8,0,8,<1> (CHB),19.30,0,35.23,0,6.67,0,7.93,0,0.60,0
gtmfmnut,11/4/2014 11:08,1,2,,0.020,0,0.042,0,0.007,0,0.002,0,,<-4> [SCB],0.004,<-4> [SBL],,<-4> [SCB],0.230,0,0.223,0,3.40,0,4.00,0,0.76,0,8,0,3,<1> (CHB),19.30,0,35.23,0,6.67,0,7.93,0,,<-1>
gtmpcnut,12/2/2014 9:30,2,1,,0.026,<1> (CHB),0.052,0,0.037,0,0.006,<1> (CHB),0.004,<1> (CHB),0.009,0,0.046,0,0.820,0,0.783,0,2.00,<1> (CHB),3.00,<1> (CHB),1.50,<1> (CHB),12,0,,<-2> [GDM] (CSM),17.27,0,12.02,0,6.78,0,7.23,0,,<-1>
gtmpcnut,12/2/2014 12:00,2,1,,0.029,0,0.054,0,0.007,0,0.003,<1> (CHB),0.009,<1> (CHB),0.010,0,0.017,0,1.000,0,0.993,0,0.71,<1> (CHB),1.30,<1> (CHB),0.87,<1> (CHB),6,0,,<-2> [GDM] (CSM),15.87,0,0.57,0,7.26,0,6.37,0,,<-1>
gtmpcnut,12/2/2014 14:30,2,1,,0.029,0,0.052,0,0.006,0,0.003,<-4> [SBL],,<-4> [SCB],0.004,0,0.010,0,1.100,0,1.094,0,0.55,<-4> [SBL] (CHB),1.40,<1> (CHB),0.40,<-4> [SBL] (CHB),2,0,160,<1> (CHB),16.32,0,0.16,0,7.13,0,6.28,0,,<-1>
gtmpcnut,12/2/2014 17:00,2,1,,0.028,0,0.064,0,0.006,0,0.003,<-4> [SBL],,<-4> [SCB],0.007,0,0.013,0,1.000,0,0.994,0,1.20,0,2.30,0,1.70,0,9,0,200,<1> (CHB),17.60,0,0.54,0,7.31,0,6.40,0,,<-1>
gtmpcnut,12/2/2014 19:30,2,1,,0.027,0,0.066,0,0.016,0,0.009,0,,<-4> [SCB],0.004,<-4> [SBL],,<-4> [SCB],1.100,0,1.084,0,2.00,0,3.20,0,1.90,0,14,0,160,<1> (CHB),18.77,0,3.30,0,7.35,0,6.72,0,,<-1>
gtmpcnut,12/2/2014 22:00,2,1,,0.031,0,0.057,0,0.010,0,0.003,<-4> [SBL],,<-4> [SCB],0.009,0,0.019,0,1.000,0,0.990,0,0.85,0,1.50,0,0.99,0,5,0,200,<1> (CHB),17.67,0,1.11,0,7.36,0,6.49,0,,<-1>
gtmpcnut,12/3/2014 0:30,2,1,,0.031,0,0.057,0,0.006,0,0.003,<-4> [SBL],,<-4> [SCB],0.004,0,0.010,0,1.100,0,1.094,0,0.55,<-4> [SBL],0.76,0,0.57,0,4,0,250,<1> (CHB),17.08,0,0.16,0,7.12,0,6.30,0,,<-1>
gtmpcnut,12/3/2014 3:00,2,1,,0.032,0,0.053,0,0.006,0,0.003,<-4> [SBL],,<-4> [SCB],0.005,0,0.011,0,1.100,0,1.094,0,0.55,<-4> [SBL],0.51,0,0.40,<-4> [SBL],3,0,270,<1> (CHB),16.98,0,0.12,0,6.76,0,6.29,0,,<-1>
gtmpcnut,12/3/2014 5:30,2,1,,0.032,0,0.058,0,0.009,0,0.003,<-4> [SBL],,<-4> [SCB],0.007,0,0.016,0,0.860,0,0.851,0,0.55,<-4> [SBL],0.84,0,0.58,0,5,0,420,<1> (CHB),16.99,0,0.33,0,6.95,0,6.34,0,,<-1>
gtmpcnut,12/3/2014 8:00,2,1,,0.029,0,0.120,0,0.030,0,0.007,0,0.004,<-4> [SBL],0.008,0,0.038,0,1.400,0,1.370,0,3.40,0,4.90,0,2.40,0,6,0,160,<1> (CHB),18.68,0,9.70,0,6.76,0,7.09,0,,<-1>
gtmpinut,12/3/2014 8:46,1,1,,0.026,0,0.051,0,0.028,0,0.002,<-4> [SBL],,<-4> [SCB],0.015,0,0.043,0,0.530,0,0.502,0,4.10,0,5.00,0,1.20,0,8,0,3,<1> (CHB),17.50,0,24.80,0,6.49,0,7.47,0,1.00,0
gtmpinut,12/3/2014 8:49,1,2,,0.027,0,0.049,0,0.025,0,0.002,<-4> [SBL],,<-4> [SCB],0.017,0,0.042,0,0.480,0,0.455,0,3.90,0,4.70,0,1.20,0,10,0,8,<1> (CHB),17.50,0,24.80,0,6.49,0,7.47,0,,<-1>
gtmssnut,12/3/2014 10:10,1,1,,0.020,0,0.041,0,0.021,0,0.002,<-4> [SBL],,<-4> [SCB],0.006,0,0.027,0,0.350,0,0.329,0,1.80,0,2.40,0,0.81,0,10,0,10,<1> (CHB),18.00,0,30.41,0,6.41,0,7.80,0,0.70,0
gtmssnut,12/3/2014 10:15,1,2,,0.017,0,0.038,0,0.022,0,0.002,<-4> [SBL],,<-4> [SCB],0.006,0,0.028,0,0.360,0,0.338,0,1.70,0,2.00,0,0.51,0,13,0,5,<1> (CHB),18.00,0,30.41,0,6.41,0,7.80,0,,<-1>
gtmpcnut,12/3/2014 10:29,1,1,,0.035,0,0.064,0,0.019,0,0.008,0,0.004,<-4> [SBL],0.010,0,0.029,0,0.990,0,0.971,0,7.10,<1> (CSM),8.20,<1> (CSM),1.40,<1> (CSM),7,0,210,<1> (CHB),18.40,0,9.30,0,6.37,0,7.30,0,0.40,0
gtmpcnut,12/3/2014 10:30,2,1,,0.026,0,0.057,0,0.034,0,0.006,<1> [GQS] (CSM),0.004,<1> [GQS] (CSM),0.009,0,0.043,0,0.670,0,0.636,0,2.10,0,3.10,0,1.60,0,11,0,88,<1> (CHB),18.79,0,12.63,0,6.65,0,7.30,0,,<-1>
gtmpcnut,12/3/2014 10:40,1,2,,0.031,0,0.061,0,0.024,0,0.008,0,0.004,<-4> [SBL],0.007,0,0.031,0,1.200,0,1.176,0,2.70,0,3.50,0,1.20,0,7,0,200,<1> (CHB),18.40,0,9.30,0,6.37,0,7.30,0,,<-1>
gtmfmnut,12/3/2014 11:11,1,1,,0.024,0,0.049,0,0.033,0,0.002,0,0.021,0,0.024,0,0.057,0,0.360,0,0.327,0,3.00,0,4.00,0,1.50,0,16,0,42,<1> (CHB),18.90,0,30.55,0,6.41,0,7.85,0,1.20,0
gtmfmnut,12/3/2014 11:16,1,2,,0.028,0,0.049,0,0.040,0,0.003,0,0.023,0,0.025,0,0.065,0,0.380,0,0.340,0,2.80,0,3.70,0,1.30,0,16,0,28,<1> (CHB),18.90,0,30.55,0,6.41,0,7.85,0,,<-1>
