Station Code,DateTimeStamp,Monitoring Program,REP,F_Record,PO4F_C,PO4F,F_PO4F,TDP_C,TDP,F_TDP,TP_C,TP,F_TP,PHOSP_C,PHOSP,F_PHOSP,NH4F_C,NH4F,F_NH4F,NO2F_C,NO2F,F_NO2F,NO3F_C,NO3F,F_NO3F,NO23F_C,NO23F,F_NO23F,DIN_C,DIN,F_DIN,TDN_C,TDN,F_TDN,TN_C,TN,F_TN,PN_C,PN,F_PN,UncCHLa_N_C,UncCHLa_N,F_UncCHLa_N,CHLA_N_C,CHLA_N,F_CHLA_N,PHEA_C,PHEA,F_PHEA,POC_C,POC,F_POC,SiO4F_C,SiO4F,F_SiO4F,TSS_C,TSS,F_TSS,WTEM_N_C,WTEM_N,F_WTEM_N,SALT_N_C,SALT_N,F_SALT_N,DO_N_C,DO_N,F_DO_N,PH_N_C,PH_N,F_PH_N,TURB_N_C,TURB_N,F_TURB_N,COLOR_C,COLOR,F_COLOR,SECCHI_C,SECCHI,F_SECCHI,IRR0_N_C,IRR0_N,F_IRR0_N,IRR1_N_C,IRR1_N,F_IRR1_N,Kd_N_C,Kd_N,F_Kd_N
gtmpcnut,1/10/2005 9:15,2,1,,,0.019,<4>,,0.045,<4>,,0.092,<4>,C,0.047,<4>,,0.049,<4>,B,0.0014,<4>,B - C,,<4>,B,0.0014,<4>,B - C,,<4>,,0.1904,<4>,,0.2467,<4>,C,0.0563,<4>,,6.3,<4>,,,<4>,M,,<4>,,3.72,<4>,,3.904,<4>,M,,<4>,M,,<4>,,20,<4>,M,,<4>,M,,<4>,,9.4,<4>,,36,<4>,M,,<4>,M,,<4>,M,,<4>,M,,<4>
gtmpinut,1/10/2005 11:00,1,1,,,0.003,<4>,,0.028,<4>,,0.062,<4>,C,0.034,<4>,,0.066,<4>,,0.0026,<4>,C,0.0135,<4>,,0.0161,<4>,C,0.082,<4>,,0.2009,<4>,,0.3118,<4>,C,0.1109,<4>,,4.9,<4>,,,<4>,M,,<4>,,2.9,<4>,,1.307,<4>,,34,<4>,,18.3,<4>,,29.4,<4>,,5.9,<4>,,7.8,<4>,,5.1,<4>,,9,<4>,,0.8,<4>,,614.1,<4>,,89.4,<4>,C,1.927,<4>
gtmpinut,1/10/2005 11:01,1,2,,,0.008,<4>,,0.03,<4>,,0.054,<4>,C,0.024,<4>,,0.096,<4>,,0.0023,<4>,C,0.0062,<4>,,0.0085,<4>,C,0.105,<4>,,0.1971,<4>,,0.2509,<4>,C,0.0538,<4>,,4.4,<4>,,,<4>,M,,<4>,,1.93,<4>,,1.376,<4>,,27,<4>,,18.3,<4>,,29.4,<4>,,5.9,<4>,,7.8,<4>,,3.2,<4>,,10,<4>,,0.8,<4>,,614.1,<4>,,89.4,<4>,C,1.927,<4>
gtmpcnut,1/10/2005 11:30,1,1,,,0.008,<4>,,0.031,<4>,,0.073,<4>,C,0.042,<4>,,0.025,<4>,B,0.0014,<4>,B - C,,<4>,,0.0038,<4>,C,0.029,<4>,,0.1453,<4>,,0.2801,<4>,C,0.1348,<4>,,5.1,<4>,,,<4>,M,,<4>,,2.08,<4>,,1.982,<4>,,37,<4>,,19.2,<4>,,26.2,<4>,,6.1,<4>,,7.8,<4>,,5.4,<4>,,20,<4>,,1.1,<4>,,590.4,<4>,,57.6,<4>,C,2.327,<4>
gtmpcnut,1/10/2005 11:31,1,2,,,0.008,<4>,,0.037,<4>,,0.06,<4>,C,0.023,<4>,,0.012,<4>,,0.0015,<4>,C,0.0023,<4>,,0.0038,<4>,C,0.016,<4>,,0.1916,<4>,,0.2895,<4>,C,0.0979,<4>,,5.6,<4>,,,<4>,M,,<4>,,2.28,<4>,,2.353,<4>,,26,<4>,,19.2,<4>,,26.2,<4>,,6.1,<4>,,7.8,<4>,,5.1,<4>,,21,<4>,,1.1,<4>,,590.4,<4>,,57.6,<4>,C,2.327,<4>
gtmpcnut,1/10/2005 11:45,2,1,,,0.016,<4>,,0.037,<4>,,0.068,<4>,C,0.031,<4>,,0.096,<4>,B,0.0014,<4>,B - C,,<4>,B,0.0014,<4>,B - C,,<4>,,0.1544,<4>,,0.2484,<4>,C,0.094,<4>,,3.4,<4>,,,<4>,M,,<4>,,1.96,<4>,,2.61,<4>,M,,<4>,M,,<4>,,30,<4>,M,,<4>,M,,<4>,,5.9,<4>,,20,<4>,M,,<4>,M,,<4>,M,,<4>,M,,<4>
gtmssnut,1/10/2005 11:50,1,1,,,0.003,<4>,,0.01,<4>,,0.051,<4>,C,0.041,<4>,,0.062,<4>,,0.0041,<4>,C,0.0066,<4>,,0.0107,<4>,C,0.073,<4>,,0.1281,<4>,,0.1984,<4>,C,0.0703,<4>,,3.2,<4>,,,<4>,M,,<4>,,2.32,<4>,,0.783,<4>,,63,<4>,,18.2,<4>,,31.6,<4>,,7.6,<4>,,8,<4>,,5.4,<4>,,3,<4>,,1.1,<4>,,1441,<4>,,268.3,<4>,C,1.681,<4>
gtmssnut,1/10/2005 11:51,1,2,,,0.003,<4>,,0.023,<4>,,0.048,<4>,C,0.025,<4>,,0.121,<4>,,0.0041,<4>,C,0.0061,<4>,,0.0102,<4>,C,0.131,<4>,,0.1304,<4>,,0.1909,<4>,C,0.0605,<4>,,3.6,<4>,,,<4>,M,,<4>,,2.38,<4>,,0.742,<4>,,43,<4>,,18.2,<4>,,31.6,<4>,,7.6,<4>,,8,<4>,,3.7,<4>,,3,<4>,,1.1,<4>,,1441,<4>,,268.3,<4>,C,1.681,<4>
gtmfmnut,1/10/2005 12:30,1,1,,,0.002,<4>,,0.01,<4>,,0.051,<4>,C,0.041,<4>,,0.04,<4>,,0.0038,<4>,C,0.0087,<4>,,0.0125,<4>,C,0.053,<4>,,0.1115,<4>,,0.1823,<4>,C,0.0708,<4>,,2,<4>,,,<4>,M,,<4>,,2.25,<4>,,1.068,<4>,,39,<4>,,19.4,<4>,,31.7,<4>,,7,<4>,,7.9,<4>,,4,<4>,,4,<4>,,1.3,<4>,,1212,<4>,,366.2,<4>,C,1.197,<4>
gtmfmnut,1/10/2005 12:31,1,2,,,0.005,<4>,,0.017,<4>,,0.051,<4>,C,0.034,<4>,,0.055,<4>,,0.004,<4>,C,0.0083,<4>,,0.0123,<4>,C,0.067,<4>,,0.1616,<4>,,0.1899,<4>,C,0.0283,<4>,,2.2,<4>,,,<4>,M,,<4>,,2.26,<4>,,1.626,<4>,,33,<4>,,19.4,<4>,,31.7,<4>,,7,<4>,,7.9,<4>,,3.5,<4>,,5,<4>,,1.3,<4>,,1212,<4>,,366.2,<4>,C,1.197,<4>
