Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TDP,F_TDP,TP,F_TP,PHOSP,F_PHOSP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TDN,F_TDN,TN,F_TN,PN,F_PN,UncCHLa_N,F_UncCHLa_N,CHLA_N,F_CHLA_N,PHEA,F_PHEA,POC,F_POC,SiO4F,F_SiO4F,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,Color,F_Color,SECCHI,F_SECCHI,IRR0_N,F_IRR0_N,IRR1_N,F_IRR1_N,Kd_N,F_Kd_N
gtmpinut,01/08/2008 09:42,1,2,,0.019,0,0.032,0,0.040,0,0.008,0,0.020,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0103,0,0.030,0,0.361,0,0.373,0,0.0125,0,4.2,0,3.6,0,1.2,0,0.69,0,1.34,0,28.0,0,14.6,0,30.9,0,8.0,0,7.8,0,2.8,0,23.1,0,1.8,0,317.3,0,128.3,0,0.905,0
gtmfmnut,01/08/2008 10:56,1,1,,0.010,0,0.021,0,0.028,0,0.007,0,0.022,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0097,0,0.032,0,0.180,0,0.183,0,0.0029,0,1.9,0,1.6,0,0.7,0,0.62,0,0.73,0,42.0,0,16.7,0,32.8,0,7.8,0,7.8,0,3.8,0,13.9,0,1.8,0,633.2,0,167.6,0,1.329,0
gtmfmnut,01/08/2008 10:57,1,2,,0.011,0,0.021,0,0.030,0,0.009,0,0.026,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0104,0,0.036,0,0.146,0,0.159,0,0.0129,0,1.9,0,1.6,0,0.7,0,0.51,0,0.72,0,59.4,0,16.7,0,32.8,0,7.8,0,7.8,0,3.3,0,10.2,0,1.8,0,633.2,0,167.6,0,1.329,0
gtmpcnut,01/08/2008 11:30,2,1,,0.022,0,0.035,0,0.053,0,0.018,0,0.038,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0102,0,0.048,0,0.292,0,0.384,0,0.0927,0,6.2,0,4.9,0,2.3,0,1.21,0,4.27,0,33.0,0,,<-1>,23.0,0,,<-1>,,<-1>,7.1,0,54.2,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/08/2008 11:51,1,1,,0.024,0,0.038,0,0.052,0,0.014,0,0.028,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0099,0,0.038,0,0.254,0,0.322,0,0.0680,0,5.6,0,4.7,0,1.7,0,1.27,0,4.48,0,38.0,0,17.4,0,19.2,0,7.3,0,7.9,0,6.0,0,57.9,0,0.8,0,527.8,0,41.4,0,2.545,0
gtmpcnut,01/08/2008 11:52,1,2,,0.023,0,0.037,0,0.052,0,0.015,0,0.036,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0098,0,0.046,0,0.252,0,0.316,0,0.0638,0,6.2,0,5.6,0,1.2,0,1.20,0,4.01,0,36.7,0,17.4,0,19.2,0,7.3,0,7.9,0,5.4,0,63.1,0,0.8,0,527.8,0,41.4,0,2.545,0
gtmpcnut,02/04/2008 09:35,2,1,,0.022,0,0.025,0,0.070,0,0.045,0,0.029,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0088,0,0.038,0,0.219,0,0.325,0,0.1065,0,6.1,0,4.5,0,2.9,0,2.80,0,4.20,0,69.6,0,,<-1>,20.0,0,,<-1>,,<-1>,16.2,0,47.8,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,02/04/2008 12:05,2,1,,0.020,0,0.027,0,0.079,0,0.052,0,0.018,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0090,0,0.027,0,0.250,0,0.369,0,0.1191,0,6.0,0,4.2,0,3.2,0,1.87,0,4.56,0,40.0,0,,<-1>,20.0,0,,<-1>,,<-1>,11.8,0,52.3,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,02/04/2008 14:35,2,1,,0.022,0,0.023,0,0.033,0,0.010,0,0.017,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0110,0,0.028,0,0.236,0,0.334,0,0.0984,0,5.2,0,3.6,0,3.0,0,1.98,0,4.55,0,49.3,0,,<-1>,19.0,0,,<-1>,,<-1>,12.0,0,52.3,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,02/04/2008 17:05,2,1,,0.026,0,0.037,<1> [SCC],0.034,<1> [SCC],-0.003,<-3> [SNV],0.038,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0127,0,0.051,0,0.284,0,0.371,0,0.0868,0,5.1,0,3.6,0,2.9,0,1.70,0,4.41,0,30.3,0,,<-1>,18.0,0,,<-1>,,<-1>,10.4,0,52.3,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,02/04/2008 19:35,2,1,,0.030,0,0.030,0,0.032,0,0.002,0,0.036,0,0.0043,0,0.0094,0,0.0137,0,0.050,0,0.249,0,0.378,0,0.1291,0,13.1,0,11.2,0,3.8,0,1.91,0,5.75,0,29.8,0,,<-1>,15.0,0,,<-1>,,<-1>,9.4,0,79.1,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,02/04/2008 22:05,2,1,,0.027,0,0.025,0,0.027,0,0.002,0,0.036,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0134,0,0.049,0,0.271,0,0.405,0,0.1337,0,8.3,0,6.2,0,3.7,0,1.69,0,4.39,0,38.9,0,,<-1>,17.0,0,,<-1>,,<-1>,9.6,0,56.1,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,02/05/2008 00:35,2,1,,0.027,0,0.034,0,0.063,0,0.029,0,0.033,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0155,0,0.048,0,0.288,0,0.393,0,0.1050,0,13.2,0,11.2,0,4.0,0,1.67,0,3.64,0,33.6,0,,<-1>,16.0,0,,<-1>,,<-1>,7.6,0,61.8,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,02/05/2008 03:05,2,1,,0.033,0,0.044,0,0.055,0,0.011,0,0.064,0,0.0045,0,0.0138,0,0.0183,0,0.082,0,0.294,0,0.422,0,0.1279,0,8.4,0,6.7,0,3.3,0,1.51,0,4.74,0,31.5,0,,<-1>,17.0,0,,<-1>,,<-1>,7.4,0,55.7,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,02/05/2008 05:35,2,1,,0.026,0,0.028,0,0.098,0,0.070,0,0.020,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0109,0,0.031,0,0.325,0,0.368,0,0.0431,0,16.3,0,14.1,0,4.3,0,1.80,0,4.98,0,31.0,0,,<-1>,17.0,0,,<-1>,,<-1>,7.7,0,54.6,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,02/05/2008 08:05,2,1,,0.023,0,0.025,0,0.105,0,0.080,0,0.023,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0074,0,0.030,0,0.247,0,0.557,0,0.3100,0,11.3,0,8.7,0,4.8,0,2.52,0,4.58,0,58.0,0,,<-1>,20.0,0,,<-1>,,<-1>,15.0,0,53.1,0,,<-1>,,<-1>,,<-1>,,<-1>
