2001,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.54,0.41,0.47,0.34,0,0,0,0,0,0,0,0,0.34,0.07,0,0,0,0,0,0,0,0
2,0,0,0.39,0.56,0,0,0,0,0.04,0.05,0,0.03,0,0,0.05,0,1.08,0.38,0,0,0.19,0.33,0,0
3,0,0,0.05,0.04,0,0,0,0,0,0,0.09,0,0,0,0.16,0.11,0.53,0.12,0,0,0.05,0.02,0,0
4,0,0,0.2,0.2,0,0.14,0,0,0,0,0,0,0,0,0.8,0.02,0.49,0,0,0,0.08,0.05,0,0
5,0,0,0.07,0.12,0.62,0.7,0,0,0,0,0,0,0,0,0,0,0.13,0.08,0,0,0.1,0.09,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.04,0,0,0,0,0.12,0,0,0
7,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0.07,0.12,0,0,0.13,0.33,0,0,0,0,0.05,0.25
8,0.02,,0,0,0,0,0,0,0.28,0.36,0.25,0.18,0.03,0.04,0,0,0.01,0.02,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0.02,0,0.57,0.43,1.87,0.25,0,0,0.58,0.25,0,0,0,0,1.16,1.08
10,0,0,0,0,0.14,0.24,0,0,0,0,0.16,0.08,0,0,0,0,0.03,0,0,0,0,0,0.02,0.02
11,0,0,0,0,0,0,0,0,0,0,0.97,0.14,1.7,1.71,0.05,0.3,0.11,0.07,0,0,0,0,0.43,1
12,0.06,0.05,0,0,0,0,0,0,0,0,1.19,0.23,0,0,0,0,1.66,1.28,0,0,0,0,0,0
13,0,0,0,0,0.16,0.21,0,0,0,0,0.7,0.27,0,0.12,0.02,0.04,1.7,1.3,0.02,0,1.24,0.74,0,0
14,0,0,0,0,0,0,0,0,0,0,0.55,0.02,2.35,1.93,0,0,2.03,2.62,0,0,1.15,1.3,0,0
15,0,0,0,0,0,0.1,0,0,0,0,0,0,0.05,0,0.38,0.25,4.04,4.4,0,0,2.25,2.52,0.06,0.08
16,0,0,0,0,1.16,0.65,0,0,0,0,0,0,0,0.11,0.94,0.07,0.26,0.65,0,0,0,0,0,0
17,0,0,0,0,0,0.04,0,0,0,0,0.55,0.59,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0.03,0.04,0.16,0.16,0,0,0,0,0.22,0.43,0,0,0,0,0,0,0,0,0,0,0.06,0.14
19,0,0,0,0,0.54,0.96,0,0,0,0,0.58,0.22,0.43,0.14,0.09,0,0,0,0,0,0.07,0.05,0,0
20,0.27,0.14,0,0,1.31,1.35,0,0,0,0,0.02,0.02,0.41,0.05,0.02,0,0,0,,,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.88,0.11,0.73,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0.76,0.43,0,0,0,0,0,0,0,0
23,0.15,0.16,0,0,0,0,0,0,0,0,0.03,0.11,0.09,0,0,0,0.08,0.34,0.01,0.1,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0.07,0.12,0.85,1.07,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0.2,0.15,0,0,0,0,0.24,0,0,0,0,0,0.46,1.4,0.18,0.2,0,0,0,0
26,0,0,0,0,0,0,0.87,0.72,0,0,0,0,0,0.54,0,0,0.3,0.8,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,,,0,0,0.68,0.28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,,,0,0,0,0,0.3,0.27,0.17,0.26,0,0,0,0,0,0,0,0,0,0.01,0,0
30,0,0,,,0.54,0.85,0.1,0,0.8,0.49,0.36,0.1,0.03,0,0,0,0,0,0.01,0.1,0,0,0,0
31,0.2,0.16,,,0.03,0.8,,,0.19,0.15,7.62,3.52,1,0.04,0.35,1.63,,,0.04,0.02,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,0.7,0.51,1.28,1.37,5.33,6.69,0.97,0.72,1.68,1.42,15.24,7.03,9.98,7,4.97,4.69,13.62,14.04,0.26,0.42,5.25,5.11,1.78,2.57
YTD,0.7,0.51,1.98,1.88,7.31,8.57,8.28,9.29,9.96,10.71,25.2,17.74,35.18,24.74,40.15,29.43,53.77,43.47,54.03,43.89,59.28,49,61.06,51.57
