2004,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1.23,1.4,0,0,0,0,0.91,0.89,0,0,0,0,0,0,0,0,0,0,0,0,,
2,0,0,1.52,1.05,0,0,0,0,1.31,1.9,0.03,0,0,0,0,0,0,0,0,0,0,0,,
3,0,0,0.18,0.21,0,0,0,0,3.45,1.27,0.25,0.7,0.18,0.14,0.29,0.42,,,0,0,0,0,,
4,0,0,0,0,0,0,0,0,0.14,0,0.68,0.27,0,0,0.35,0.04,,,0.09,0,0,0,,
5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.49,0.7,0.36,0.26,,,0,0,0.22,0.06,,
6,0,0,0,0,0,0,0,0,0,0,0.52,1,0,0,0.34,0.34,,,0,0,0,0,,
7,0,0,0.86,0.31,0,0,0,0,0,0,0.07,1.77,0,0,0,0,,,0,0,0,0,,
8,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.55,0.18,0.02,5.25,4,0,0,0,0,,
9,0,0,0,0,0,0,0.42,1.3,0,0,0,0,0.78,0.38,0,0,0.2,0.39,0.01,0,0,0,,
10,0.14,0.14,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.16,0,0,,
12,0,0,0.48,0.23,0,0,0.09,0.09,0,0,0.12,0.23,0.2,0,0,0,0,0,0,0,0.44,0.02,,
13,0,0,0.03,0.16,0,0,0.43,0.28,0,0,0,0,0,0,0.24,0.08,0,0,0,0,0.02,0.02,,
14,0,0,0.25,0.15,0,0,0,0,0,0,0.67,0.3,0,0,2.77,2.71,0.97,2.8,0,0,0,0,,
15,0,0,0.4,0.44,0,0,0,0,0,0,0,0,0,0,0.67,0.68,0.25,0,0,0,0,0,,
16,0,0,0.04,0.03,2.77,2.5,0,0,0,0,0,0,0.14,0.16,1.58,1.38,0,0,0.5,0.13,0,0,,
17,0,0,0.03,0.04,0,0,0,0,0,0,0,0,0.49,0.03,0,0,0.3,0.78,0,0,0,0,,
18,0.04,0.07,0,0,0,0,0,0,0,0,0,0,1.38,1.03,0.28,0.43,0,0,0,0,0,0,,
19,0.05,0.13,0,0,0,0,0,0,0,0,0,0,0.03,0.02,1.15,0.42,0,0,0,0,0,0,,
20,0.13,0.15,0,0,0,0,0,0,0,0,0.56,0.89,0,0,0,0,0,0,0.33,0.36,0,0,,
21,0,0,0,0,0,0,0,0,0,0,0.09,0.07,1.31,1.05,0,0,0.27,0.8,0,0,0,0,,
22,0,0,0,0,0,0,0,0,0,0,0.49,2.74,0,0,0,0,0.07,0,0,0,0,0,,
23,0,0,0,0,0,0,0,0,0,0,0.14,0.05,0,0,0.25,0.34,0,0,0,0,0,0,,
24,0,0,0.94,0.74,0,0,0,0,0,0,0.58,0.39,0,0,0.42,0,0,0,0,0,0,0,,
25,0,0,0.38,0.46,0,0,0,0,0,0,0,0,0,0,0.35,0.07,0,0,0,0,0.62,1.5,,
26,0,0,0.5,0.46,0,0,0,0,0,0,0,0.3,0,0,0,0,,,0,0,0,0,,
27,1.5,0.66,0,0,0.03,0,0,0,0,0,1.54,1.53,0,0,0,0,4.62,4.1,0,0,0,0,,
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.05,,
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30,0,0,,,0,0,0,0,0,0,0,0,0,0,1.25,0.22,,,0,0,0,0,,
31,0,0,,,0,0,,,0,0.2,,,0,0,0,0,,,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,1.86,1.15,6.85,5.69,2.9,2.55,0.94,1.67,5.81,4.26,5.74,10.34,5.27,4.06,10.48,7.41,11.93,12.87,0.97,0.65,1.83,1.65,0,0
YTD,1.86,1.15,8.71,6.84,11.61,9.39,12.55,11.06,18.36,15.32,24.1,25.66,29.37,29.72,39.85,37.13,51.78,50,52.75,50.65,54.58,52.3,54.58,52.3
