2013,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.29,0.84,1.08,0,0,0,0,0,0,0,0.1
2,0,0,0,0,0,0,0,0.19,0.85,0.64,0,0,1.4,1.29,0.99,1.09,0.14,0.42,0,0,1.96,1.44,0.01,0.01
3,0.03,0.01,0,0,0,0,0,0,6.3,7.8,0,0.01,0.5,0.42,0,0,1.53,1.93,0,0,0.45,0.43,0.01,0.01
4,0.14,0.13,0,0,0,0,0.16,0.56,0.65,0.47,1.9,1.12,0,0,0.56,0.02,0.01,0.01,0,0,0,0,0,0
5,0.01,0.01,0,0,0,0,0.03,0.02,0.47,0.95,0.25,1.25,0.01,0,0,0,0,0,0,0,0.19,0.07,0.1,0.1
6,0,0,0.01,0.02,0.04,0.01,0.06,0.07,0,0,0.45,0.38,0,0,0,0,0,0.7,0.06,0.51,0.03,0,0,0
7,0.15,0.05,0.01,0.02,0,0,0,0,0,0,1.01,1.12,0,0,0,0,0.01,0.01,0.95,0.02,0,0.02,0,0
8,0,0,0.03,0.06,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0.02,0,0,1.47,0.02,0,0,0,0
9,0.12,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.25,0.34,0,0,0.01,0.02
10,0.16,0.15,0,0,0,0,0.01,0,0,0,0.03,0.03,0.01,0.02,0,0,0,0,0.04,0.04,0,0,0.19,0.16
11,0.02,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0.7,2.51,0,0,0,0.18,0.01,0.01,0,0.01,0,0
12,0.02,0.01,0,0,0.04,0.01,0.02,0,1.08,0.51,0.04,0,0.18,0.25,0,0,0.12,0.44,0,0,0,0,0,0
13,0.02,0,0,0,0.03,0.02,0,0,0,0,0,0,0.7,2.7,0,0,0.02,0.08,0,0,0,0,0,0
14,0.02,0,0.26,0.17,0,0,0,0,0,0,0,0,0.18,0.25,0,0,0,0,0,0,0,0,0,0
15,0,0,0.06,0.11,0,0,0.85,0.99,0,0,0.06,0.32,0.02,0.03,0.07,0.16,0.04,0.19,0.4,0.5,0,0,1.66,2.02
16,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0.22,0.62,0.04,0.14,0,0,0.53,0.68,0.14,0.14,0.2,0.26
17,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0.01,0.54,0.14,0,0,0,0,0.14,0.24,0.01,0.01
18,0.01,0.01,0,0,0.03,0.07,0,0,0,0,0.04,0,0,0,0.15,0.12,0.93,0.87,0,0,0.01,0,0,0
19,0,0,0,0,0.03,0,0,0.01,0.43,1.9,0,0,0,0,0.23,0.1,0.6,0.99,0,0,0.85,0.15,0,0
20,0,0,0.02,0.02,0,0,0.41,0.61,0.07,0.11,0.02,0,0.11,0.51,0,0.05,0,0.01,0.21,0.36,0.01,0,0,0
21,0,0,0,0,0.11,0.06,0.09,0.015,0.01,0,0.33,0.01,0.01,0.22,0,0,0,0.15,0,0,0.26,0.14,0,0
22,0,0,0,0,0,0,0.1,0.12,0,0.01,0.13,0.08,0.15,0.04,0.51,0.02,0.03,0.03,0.06,0.59,0,0,0.01,0.01
23,0,0,0,0,0,0,0.04,0.19,0.01,0.01,0.16,0.13,0.48,0.14,1.81,1.35,0.22,0.08,1.06,0.64,0.01,0,0,0
24,0,0,0.24,0.23,2,2.018,0.01,0.02,0.03,0.01,0,0,0.01,0.44,0.018,0.012,0.16,0.26,0,0,0,0,0.02,0.01
25,0,0,0.08,0.04,0.68,0.14,0.01,0.01,0,0,0,0,0.16,0.2,0,0,0.44,0.34,0,0.01,0,0,0,0
26,0,0,1.92,1.26,0,0,0,0,0,0,0,0,0,0,0.03,0.13,0.01,0.01,0,0,0,0,0,0
27,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0.22,0.03,0.03,0,0,1.58,1.52,0,0
28,0.05,0.16,0,0,0,0,0,0,0,0,0.15,0.72,0.09,0,0,0,0.15,0.65,0,0,0,0,0.03,0.02
29,0.01,0.01,0,0,0.01,0,0,0,0,0,0.03,0.05,0,0,0,0,0.33,0.29,0,0,0,0,0.1,0.09
30,0,0,0,0,0,0,0.59,0.36,0.43,0.14,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.44,0.14
31,0.09,0.1,0,0,0,0,,,0.03,0.08,,,0,0,0,0,,,0,0.02,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.85,0.66,2.98,2.28,2.98,2.338,2.39,3.175,10.37,12.63,4.61,5.22,5.15,9.94,5.788,4.652,4.77,7.67,5.04,3.74,5.73,4.36,2.79,2.96
YTD,0.85,0.66,3.83,2.94,6.81,5.278,9.2,8.453,19.57,21.083,24.18,26.303,29.33,36.243,35.118,40.895,39.888,48.565,44.928,52.305,50.658,55.018,57.808,60.768
