2019,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0.00,0.00,0.03,0.02,0.00,0.00,0.13,0.17,0.00,0.00,0.00,0.00,0.59,0.77,0.00,0.00,,,0.00,0.00,0.00,0.14,0.00,0.00
2,0.00,0.00,0.22,0.15,0.23,0.12,0.49,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.65,,,0.80,0.06,0.00,0.00,0.00,0.00
3,0.00,0.00,0.03,0.02,0.43,0.12,0.11,0.12,0.00,0.05,0.00,0.07,0.12,0.60,0.15,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.03,0.00,0.32,0.58,0.00,0.00,0.03,0.57,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00
5,0.51,0.73,0.02,0.02,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.00,3.35,3.80,0.00,0.00,0.29,0.08,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.49,1.69,0.00,0.00,0.00,0.24,0.60,0.64,0.00,0.00,0.26,0.04,0.07,0.29,0.00,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.13,0.00,0.00,0.00,0.00,0.88,0.31,0.86,0.08,0.00,0.00,0.35,0.66,0.14,0.02,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00,2.42,1.16,0.01,0.01,0.00,0.00
9,0.00,0.00,,,0.00,0.00,0.81,0.49,0.00,0.00,0.61,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.24,0.23,0.41,0.03
10,0.00,0.00,0.11,0.15,0.00,0.00,0.16,0.03,0.00,0.00,0.10,0.35,0.00,0.00,1.12,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0.00,0.00,0.33,0.33,,,0.00,0.00,0.00,0.00,0.27,0.49,0.23,0.25,0.14,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00
12,0.00,0.00,0.03,0.04,0.43,0.03,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0.00,0.00,0.14,0.11,0.00,0.00,0.00,0.00,0.00,0.21,0.61,0.75,0.03,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.04,0.00,1.29,1.13
14,0.05,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.85,1.32,0.00,0.03,0.00,0.00,0.00,0.00,0.15,0.14,0.00,0.00,0.00,0.00,0.17,0.19
15,0.00,0.00,0.03,0.02,0.00,0.00,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.00,2.14,1.19,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.38,0.36,0.00,0.00,0.00,0.00,0.00,0.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.08,0.09,0.00,0.00,0.00,0.00
18,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.09
19,0.00,0.00,0.00,0.00,0.00,0.00,3.02,1.50,0.00,0.00,0.17,0.59,0.00,0.00,0.00,0.14,0.13,0.08,0.53,0.52,0.00,0.00,0.00,0.00
