1999,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.55,0.47,0.38,0.34,0,0,0.14,0.1,0,0,0.47,0.02,0,0,0,0,0,0,0,0.01,0,0
2,,,0.28,0.14,0,0,0.26,0.35,0.03,0.02,0,0,0,0,0,0,0,trace,0,0,0.86,0.84,0,0
3,0.99,0.92,0,trace,0,0,0,0,0,0,0,0,0,0,0.85,1.02,0,0,0,0,0,0,0,0
4,0,0,0.72,0.87,0,0,0,0,0,0,0,0,0.12,0.05,0,0,0,0,0.05,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,1.17,0,0,0,0.13,0.21,0,0,0.17,0.03
6,0,0,0,0,0,0,0,0,0,0.02,0.11,0.15,0,0,0.02,0,0,0,0,0,,,0,0
7,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0,0,0,0.1,1.19,0.06,0,0,,,0.12,0.12
8,0,0,0,0,0,0,0,0,0.02,0.01,0.04,0,0,0,0,0,0,0,0.01,0.04,0,0.01,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.26,0,0,0,0,0,0,0,0
10,0.64,0.86,0,0,0,0,0,0,0,0,0,trace,0.2,0.34,0.25,0.14,0.42,0.11,,0,,0,0,0
11,0,0,0,trace,0,0,0,0,0,0,0.08,0.1,0,0,0.04,0.06,0,0,0,0,,,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.15,0.02,0,0,0,,,0,0
13,0,0,0.05,0.65,0,0,,0,0.03,0,0,0,1.19,0.48,0,0,0.3,0.81,0,0,,,,0
14,0,0,0,0,0,0,,0,0,0,0.08,0.14,0.02,0.06,0,0,0,0,0,0,,,0.12,0.09
15,0,0,,0,0.85,0.84,,0,0.14,0.2,0,0,,,0.02,0,0,0,0.17,0,,0,0,0
16,0,0,,0,0,0,0,0,0,0,0.23,trace,0,0,0,0.13,3.55,4.55,0.86,0.45,0,0,0,0
17,0,0,0,trace,0,0,0.45,0.74,0,0,0.34,1.75,0,0.02,0,0,0,trace,1.92,1.52,0,0,0,0
18,0.23,0.19,0.02,0.07,0,0,0.47,0.56,0,0,0.68,0.56,,0,0,0,0,0,0,0.02,0,0,0.08,0.06
19,0.1,0.19,0,0,0,0,0,0,0,0,0.77,0.62,,0,0,0,1.18,1.66,,0,,0,0.39,0.36
20,0,0,0,0,0,0,0,0,0.03,0.11,0.04,0,,0,0,0,2.45,2.06,,,,,0,0
21,0,trace,0,0,0,0,0,0,0,0,2.84,0.74,0,0.01,0.39,0.2,2.7,3.45,0.05,0.07,,,,0
22,0,trace,0,0,0,0,0,0,0,0,0.02,0,0,0,,0,0.2,0.08,0.27,0.21,0.03,0.23,,0.03
23,3.02,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
25,0,trace,0,0,0,0,0,0,0,0,0.25,0.3,0,0,0,0,0,0,0,0,0.69,0.13,0,0
26,0,,0,0,0,0,0,0,0,0,0.27,0.06,0.05,0,0.33,0.06,0,0.05,0,0,0,0,0,0
27,0,trace,0,0,0,0,0,0,0,0,0.14,0,,0,0.5,0,4.1,3.26,0,0,0.13,0,0,0.03
28,0,trace,0,0,0,0,0,0.13,0.02,0,0.65,0.32,,0,0,0,0.45,0.48,0,0,,,0,0
29,0,0,,,0,0,0.93,1.57,0,0,0.28,0.01,,0,0.02,0,0,0,0,0,,0,0,0
30,0,0,,,0,0,0.07,0.04,0,0,0.41,0.95,,0,0,0,0.03,0,,,,0,0,0
31,0.1,0.01,,,0,0,,,0,0.01,,,,0,0,0,,,0.26,0.08,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,5.08,4.76,1.62,2.2,1.23,1.18,2.18,3.39,0.43,0.49,7.26,5.73,2.05,1.51,4.5,2.13,16.59,16.57,3.74,2.6,1.71,1.23,0.88,0.72
YTD,5.08,4.76,6.7,6.96,7.93,8.14,10.11,11.53,10.54,12.02,17.8,17.75,19.85,19.26,24.35,21.39,40.94,37.96,44.68,40.56,46.39,41.79,47.27,42.51
