1996,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.14,0.08,trace,1.35,1.5,0.03,0.03,0.76,0.56,0.19,0.04,0,trace,0.05,0.02,2.27,3.59,0.15,0.02,0,0.01,0,0
2,0.37,0.48,0.01,0.01,1.33,1.5,0,0,0,0,0,,0,0,0.03,0.01,0.14,0.05,0.1,0.03,0,0,0.87,0.81
3,0.3,0.07,0.55,0.51,0.04,0.03,trace,trace,0,0,0,0.01,0,0,0.18,0.22,0.2,0.22,1.55,2.39,0,0,0,trace
4,0,0.01,0.05,0.09,0.05,trace,0,trace,0,0,0,0,0,0,0.53,0.75,0.14,0,3.2,3.05,0,,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.35,0,trace,0,0,0.55,0.89,0,0,0,trace
6,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.97,0,0,0,0,0.25,0.16,0,,0,0
7,0.05,0.06,0,0,trace,0,0.04,0.01,0,0,0,0,0.47,0.45,0,0,0,0.07,8.14,6.99,0,0,0.02,0.01
8,0,0,0,0,0.67,0.55,trace,trace,trace,trace,0.08,0.05,0.42,0.45,0.06,0.08,0,0,3.08,3.1,0,0,1.51,1.64
9,0,0,0,0,0,0,0.01,0.01,0,0,1.14,1.37,0.68,0.39,0,0.08,0,0.12,0,0.01,0.3,0.29,0.01,0
10,0,0,0,0,0,0,0,0,0,0,0.22,0.09,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,1.3,1.61,trace,0,0,0,0.02,0.06,0.27,0.2,0,0,1.36,0.49,0,trace,0,0,0,trace
12,0.03,0.01,0,0,0.09,0.21,0,0,0,0.02,0.12,1.05,0,0,1.1,0.54,0.09,0.08,0,0,0,0,0,trace
13,0,0,0,0,0,0,,,0,trace,0.02,trace,0.07,0.06,0.25,0.03,0,0.01,0.24,0,0,0,0.26,0.09
14,,,0,0,trace,trace,,,0.65,0.3,1.55,1.79,0,0,0.02,0.01,,0,0.02,0.05,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0.1,0.01,0.56,0.86,,,0,0,0,0,0,0
16,0,0,0.04,0.18,0,0,0.94,0.66,0,0,0.04,0.14,0.03,0.02,0.01,0.19,0,0,0,0,0.03,0.01,0,0.01
17,,0,0,0,0,0,0,0,0,0,0.04,0.03,0,0,,,0.22,0.01,,,0.05,0.03,0,0
18,0.13,0.09,0,0,0.02,0.04,0,0,0,0,0.47,0.08,0,0.04,,,0,,0.13,0.1,0,0,0.15,0.71
19,0.06,0.01,0,0,1.13,1.25,0,0,0,0,0,0,0,0,0,0.4,0,0,0,,0,0,0.5,0.57
20,0,0,0,0,0,0,0,0,0,0,0.33,0.29,0,0,0,0,,0,0,,0,0,0.24,0.2
21,0,0,0,0,0,0,0,0,0,0,0.43,0.2,0,0,0,0,,,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0.05,0.06,0,0,0,0,0,0.14,0.08,0.13,,,0.41,0.69,,
23,0,trace,0,0,0,0,trace,trace,,0,0,0.15,0,0,0,0,0,0,,0,0,0,0,0.01
24,0,0,0,0,,,,0,0,0,0,0.01,0,0,0,0,0,trace,0,0,0,,0,trace
25,0.04,0.03,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
26,0,0,0.02,trace,0,0,,trace,0,0,0,0,0,0.05,,0.04,0,0,0,,0.2,0.42,0.03,0.03
27,0,0,0,0,0,trace,,,0,0,0.49,1.99,0,0,0.6,0.15,0,0,0,,0,0,0,0.01
28,0,0,0.01,0.01,0.32,0.37,0,0,0,0,2.45,4.22,0,trace,0,0,,,0,0,0,0,0,0
29,0,0,0.06,0.01,0.2,0.27,,trace,0.62,0.27,0.96,0.04,0,0,0.04,trace,,,0,0,0,0,0,0
30,0,0,,,0,0,0,0,0.06,0.09,0.04,0.45,0,trace,0,0,1.08,1.98,,,0,0,0,0.03
31,0.01,0.01,,,1.16,1.66,,,0.03,0.12,,,0,0,0,0,,,,,,,0,0.01
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,2.09,1.91,0.82,0.81,7.66,8.99,1.02,0.71,2.17,1.42,8.66,12.13,2.6,2.99,3.43,3.52,5.58,6.75,17.41,16.79,0.99,1.45,3.59,4.13
YTD,2.09,1.91,2.91,2.72,10.57,11.71,11.59,12.42,13.76,13.84,22.42,25.97,25.02,28.96,28.45,32.48,34.03,39.23,51.44,56.02,52.43,57.47,56.02,61.6
