2006,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.2,0.12,0.03,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.07,0,0,0,0,0.08,0.04,0,0
3,0.5,0.37,1,1.39,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.07
4,0,0,2.06,1.77,0,0,0,0,0,0,0.08,0.48,0,0,0,0,0,0,0.89,0.31,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0.21,0.05,0,0,0,0,0,0,0,0,0.12,0.06,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.28,0,0,0.04,0.05,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,1.16,1.12,0,0,0.64,0.33,0,0,0.26,0.34,0.02,0
9,0,0,0,0,0,0,0.74,0.83,0.42,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.33,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0.18,0.06,0,0,0,0,0,0,1.83,0.11,0,0,0,0,0,0
12,0,0,0.28,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.05,0.04,0,0
13,0,0,0,0,0,0,0,0,0,0,2.3,2,0,0,1.05,0,0.11,0.35,0,0,0,0,0.05,0.05
14,0.23,0.43,0,0,0,0,0,0,0,0,1.12,0.71,0,0,0.25,1.08,0.02,0.03,0,0,0,0,0,0.02
15,0,0,0,0,0,0,0,0,0,0,0.07,0.87,0,0,0,0,0,0,0,0,0,0,0.05,0.03
16,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0.45,0.48,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.08,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.44,0,0,0.6,0.08,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0.56,0.14,0.03,0,0,0,0,0
21,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.09
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.07,0.46,0.85
23,0,0,0,0,0,0,0.25,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,1.67
24,0,0,0,,0.09,0.06,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0.77,1,0,0,0,0,0,0,0,0,0.08,0.38,0,0,0,0,0,0,0,0,1.38,1.68
26,0,0,1.12,0.94,0,0,0,0,0.12,0,0.04,0,0.5,0,1.88,2.64,0.94,0.72,0,0,0,0,0,0
27,0,0,0,0,0,0,0.11,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.09,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,1.77,1.37,0,0,0,0
29,0,0,,,0,0,0,0,0,0,1.75,1.45,0,0,0,0,0,0,0,0,0.15,0.31,0,0
30,0.15,0.35,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,0.2,0.13
31,0.07,0.09,,,0,0,,,0,0,,,1.48,0.2,0.43,0.68,,,0,0,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,0.97,1.28,5.23,5.34,0.09,0.06,1.1,1.19,0.72,1.08,5.6,6.08,4.16,2.31,4.2,6.38,4.41,1.84,3.29,1.76,1.41,1.64,3.83,4.59
YTD,0.97,1.28,6.2,6.62,6.29,6.68,7.39,7.87,8.11,8.95,13.71,15.03,17.87,17.34,22.07,23.72,26.48,25.56,29.77,27.32,31.18,28.96,35.01,33.55
