2021,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0.00,0.00,0.28,0.37,0.16,0.02,0.34,0.00,0.00,0.00,0.00,0.00,0.14,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.44,0.00,0.00,0.05,0.00,0.37,0.51,0.45,0.21,0.00,0.00,0.00,0.00,0.00,0.00
3,0.05,0.09,0.00,0.00,0.83,0.75,0.00,0.00,0.00,0.00,0.19,0.41,0.74,0.33,1.66,1.03,0.38,0.82,0.00,0.00,0.01,0.01,0.01,0.02
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.63,0.00,0.00,0.96,0.76,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.40,0.99,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02
6,0.00,0.00,0.66,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.11,0.71,0.00,0.00,0.00,0.00,1.50,1.53,0.00,0.00
7,0.00,0.00,2.73,1.53,0.17,0.06,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.04,0.49,0.00,0.00,0.00,0.01,1.40,1.34,0.00,0.00
8,0.09,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,1.38,0.05,0.05,0.02,1.06,0.00,0.00,0.08,0.00,0.01,0.01
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.41,0.00,0.00,0.20,0.78,0.00,0.04,1.03,1.22,1.95,0.94,0.00,0.00,0.66,0.70
10,0.00,0.00,,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.15,0.00,0.00,0.02,0.02,0.31,0.22,0.01,0.03,0.00,0.00
11,0.00,0.00,,0.00,0.00,0.00,0.53,0.58,0.22,0.29,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.18,0.00,0.05,0.01,0.01,0.03,0.21
12,0.00,0.00,,0.00,0.00,0.00,0.75,0.64,0.06,0.00,0.00,0.00,0.16,2.06,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
13,0.00,0.00,,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00
14,0.00,0.00,,0.43,0.00,0.00,0.00,0.00,0.12,0.14,0.33,0.28,0.34,0.14,0.00,0.10,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00
15,0.00,0.00,,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.87,0.00,0.00,0.46,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00
16,0.06,0.09,0.80,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.31,0.00,0.00,0.30,0.15,0.22,0.00,0.00,0.00,0.00,0.01,,
17,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.28,0.00,0.00,0.49,0.98,0.00,0.00,0.68,0.37,0.34,0.07,0.22,0.02,0.01,0.00,0.00,0.00
18,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.11,0.00,0.00,0.02,0.02,0.00,0.00,0.94,0.01,,,0.00,0.00,0.01,0.01,,
19,0.00,0.00,0.26,0.07,0.04,0.36,0.79,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.62,0.01,0.00,0.00,0.00,0.03,0.11
