2021,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
20,0.00,0.00,0.70,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.40,0.90,1.45,0.00,0.00,1.25,1.45,0.00,0.00,0.00,0.00,0.16,0.24
21,0.00,0.00,0.00,0.00,0.46,0.34,0.00,0.00,0.00,0.00,1.17,0.83,0.10,0.12,0.02,0.09,1.00,1.34,0.00,0.00,0.00,0.00,1.12,1.65
22,0.00,0.00,0.00,0.00,0.13,0.25,0.00,0.00,0.00,0.00,0.65,1.25,0.31,0.01,0.00,0.00,1.28,0.01,0.00,0.02,0.02,0.01,0.78,0.47
23,0.30,0.23,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.75,0.20,0.40,0.26,0.19,0.19,0.00,0.00,0.00,0.06,0.25,0.00,0.00
24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.00,0.42,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03
25,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.83,0.00,0.00,0.02,0.02,0.00,0.00,1.30,1.72,0.00,0.00,0.02,0.00,0.00,0.00,,
26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.12,2.61,0.05,0.00,0.00,0.00,0.29,0.13,0.02,0.01,0.00,0.02
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.94,0.31,0.13,0.05,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.02
28,0.65,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.09,0.02,0.15,1.82,0.13,0.27,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
29,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.50,,0.43,0.53,0.33,0.20,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
30,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
31,0.00,0.00,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.15,0.67,5.54,8.73,1.79,1.78,3.75,3.59,3.22,2.56,5.84,7.04,9.07,13.14,10.07,7.43,6.68,7.01,3.81,2.39,3.16,3.25,2.87,3.50
YTD,1.15,0.67,6.69,9.40,8.48,11.18,12.23,14.77,15.45,17.33,21.29,24.37,30.36,37.51,40.43,44.94,47.11,51.95,50.92,54.34,54.08,57.59,56.95,61.09
,,0.02,,0.31,,0.06,,0.12,,0.09,,0.25,,0.44,,0.24,,0.24,,0.08,,0.11,,0.13
