2017,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
19,0.02,0.02,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.02,0.01,0.00,0.00,0.64,0.47,0.00,0.00,0.00,0.00
20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.10,0.00,0.03,0.00,0.00,0.00,0.00,0.04,0.02,0.03,0.03,0.00,0.00
21,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,0.00,0.00,1.63,0.68,0.05,0.00,0.00,0.00,0.37,0.35,0.00,0.00,0.00,0.00,0.04,0.00,,,0.02,0.13,1.72,2.11,0.00,0.00
23,0.75,0.23,0.00,0.00,0.03,0.05,0.00,0.00,1.10,0.70,0.00,0.00,0.16,0.29,0.00,0.00,,,0.05,0.11,0.87,0.76,0.02,0.02
24,0.01,0.00,0.25,0.19,0.00,0.00,0.00,0.00,0.62,1.02,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.21,1.05,0.43,1.76,2.20,0.00,0.00
25,0.00,0.00,0.04,0.02,0.00,0.00,0.00,0.00,1.03,1.08,0.00,0.16,0.79,0.24,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.06,0.00,0.00
26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.97,0.10,0.06,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,1.14,0.07,0.04,0.41,0.70,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00
28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,1.83,0.03,0.00,0.42,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.14
29,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.15,0.12
30,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.07,1.00,1.72,0.00,0.02,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00
31,0.00,0.00,,,0.00,0.00,,,0.06,0.05,,,2.77,1.37,0.12,0.00,,,0.00,0.00,,,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.77,1.44,2.64,1.65,1.92,1.30,2.53,3.73,3.61,4.22,8.08,8.36,6.54,5.36,4.37,4.86,14.11,14.08,5.76,5.28,4.47,5.24,2.27,1.80
YTD,1.77,1.44,4.41,3.09,6.33,4.39,8.86,8.12,12.47,12.34,20.55,20.70,27.09,26.06,31.46,30.92,45.57,45.00,51.33,50.28,55.80,55.52,58.07,57.32
