2017,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.17,0.07,0.13,0.02,0.01,0.07,0.10,0.84,0.98,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.02,0.03,0.00,0.10,0.17,0.16,0.35,1.04,0.00,0.01,0.01,0.01
3,0.12,0.11,0.01,0.01,0.12,0.11,0.00,0.00,0.00,0.00,0.61,0.71,0.00,0.00,0.40,0.48,0.02,0.01,0.00,0.05,0.00,0.00,0.00,0.00
4,0.27,0.44,0.00,0.00,0.00,0.00,1.23,2.18,0.00,0.00,0.00,0.00,0.21,0.64,0.13,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.90,0.43,0.52,0.00,0.00,0.00,0.00,0.25,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.65,0.00,0.00,0.67,0.83,0.00,0.00,0.00,0.00,0.03,0.03,0.33,0.48,0.00,0.00,0.00,0.00
7,0.42,0.49,0.53,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03
8,0.01,0.00,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.72,0.33
9,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.07,0.26,0.34,3.10,1.86,1.23,0.23,0.00,0.00,1.15,1.11
10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.59,0.02,0.00,2.04,1.50,0.00,0.00,0.00,0.00,0.03,0.02
11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.00,0.00,IRMA,IRMA,0.00,0.00,0.00,0.00,0.00,0.02
12,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.65,10.20,0.00,0.00,0.00,0.00,0.00,0.00
13,0.00,0.00,0.00,0.00,1.20,0.50,0.00,0.00,0.00,0.00,0.15,0.83,0.00,0.00,0.00,0.00,IRMA,IRMA,0.00,0.00,0.00,0.00,0.00,0.00
14,0.10,0.08,0.00,0.00,0.52,0.62,0.00,0.00,0.00,0.00,0.02,0.04,0.00,0.00,0.53,1.02,IRMA,IRMA,0.00,0.00,0.00,0.00,0.00,0.00
15,0.04,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.10,0.15,0.00,0.00,0.10,0.43,IRMA,IRMA,0.13,0.00,0.00,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,IRMA,IRMA,0.28,0.00,0.00,0.00,0.00,0.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.10,0.00,0.00,0.00,0.00,0.02,0.00,0.76,1.31,0.00,0.00,0.00,0.00
18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.07,0.06,1.65,1.04,,,0.00,0.00,0.00,0.00,0.00,0.00
