1995,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,0,0,,,,,,,,,,,,,,
1,,,,,0.05,0.04,1.73,1.86,0.02,,0,0,0,0,0,0,0.45,1.32,0.8,0.53,,,,
2,0.03,0.01,0.01,0,0.04,0.05,,,0,,0,0,0,0,0.75,1.1,0.27,0.08,0.21,0,0,0,0,0
3,0,0,,,0,0,0.02,0,,,0.57,1.1,0,0,0.25,0.29,0,0,0,0,0.4,1.35,,0.02
4,,,0.5,0.72,0,0,0,0,,,1.2,0.72,0,0,0,0,0,0,0.05,0.03,0.8,0.05,0,0
5,0.02,,0,0,,,0,0,0.01,0.03,1.42,1.82,0,0,0,,0.65,2.4,0.14,0.15,0,0,0.01,0.07
6,,,0,0,0.02,0.03,3.32,2.23,0,0,0.04,0.08,0,0,0,0,1.75,1.11,1.69,0.39,0,0,0.01,
7,1.09,0.66,0,0,0,0,0,0.01,0,0,0,0,0.23,0.25,0,0,0.49,0.39,1.31,0.85,0.02,0.13,0.05,0.05
8,,,0,0,0,0,0,0,0,0,,,0,0,0.06,0,0,0.26,0.03,0.37,0,0,0,0
9,0.02,0.01,,,0.64,0.34,0,0,0,0,0,0,0,0,0.15,0.02,,,2.1,0.14,0.94,1.1,0,0
10,,,,,0,0,0,0,0,0,0.04,0,0.16,0.22,,,,0.02,1.3,1.74,0,0,0.02,
11,,,,,0,0,0,0,0,0,0.01,0.01,0,0,1.91,0.45,0,0,0.82,0.48,0.03,0.05,0,0
12,,,0.7,0.57,0,0,0.03,0.02,0.97,2.1,0,0,0.03,0,0,0,0,0,0.13,0.28,0.5,0.37,0,0
13,,,0.02,0.01,0,0,0.01,0.01,0.97,0.42,0.46,0.11,0,0,0,0,0.35,0,0,0,,,0,0
14,,,0.16,0.16,0,0,0,0,0.02,0,0,,0,0,0,0,0.15,0.3,0,0,0.02,0.01,0,0
15,0.97,1.05,0,0,0.03,0.07,,,0,0,,trace,0,0,0,0,0.54,0.24,0.95,0.37,,,0.04,0
16,0.33,0.15,0,0,0.34,,,,0,0,0,,0,0,0,0,0.94,0.08,0,0,,,0,0
17,0.02,,,,0.45,0.54,0.02,0,0,0,1.15,0.37,0.04,0.02,0,0,0.19,0,0,0,,,0,0
18,0,,0,,0.62,0.85,0,0,0,0,0.08,,0.27,0.36,0,0,0,0,0,0,,,2.13,2.22
19,0.02,0.01,0,,0.01,0.81,0,0,0.06,0.1,2.06,2.35,0,0,0,0,0,0,0,0,,,0.43,0.3
20,0.04,0.04,0.09,0.07,0.01,,0,0,0,0,0,,0,0,3.75,2.53,0,0,0,0,,,0.34,0.35
21,0,0,0.09,0.1,0,0,0,0,0.01,0.01,0,,0,0,3.91,0.74,0,0,0,0,,,0,0
22,0,0,,,0,0,0,0,0,0,0,0,0.08,0,0.42,0.91,0,0,0,0,,,0,0
23,,,,,0,0,0,0,0,0,0,0,0.02,0.23,0,0,0,0,0,0,,,0.05,0.07
24,,,0.01,0,0,0,0,0,,,0,0.03,0,0,0.37,0.4,2.2,2.53,0,0,,,,
25,,,,,0,,0.32,0.71,0.01,0.01,0.27,0.33,3.23,0.72,1.87,2.25,0,0,0,0,0.05,0.03,,
26,0.06,0.1,,,0,,0,0,,,0.12,,0.02,0.25,0.92,1.1,1.1,0.33,0,0,,,,
27,0.01,0,,,0,,0.02,0,,,0.29,0.07,,,0.18,0.31,0.05,0.05,0,0,,,,
28,,,,,0.01,,0,0,0,,1.09,1.05,0.03,0.03,0.44,0.03,0.69,0.48,0,0,,,,
29,,,,,0.02,0.01,0,0,0,,0.13,0.17,,,0.38,0.39,0.67,0.89,,,,,,
30,,,,,0,0,0,0,0.84,0.18,,,0.37,,0.45,0.1,0.07,0.02,,,0.04,0.13,0.01,0.01
31,,,,,0.01,0,,,,,,,,,0.05,0.57,,,,,,,0.12,0.1
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,2.61,2.03,1.58,1.63,2.25,2.74,5.47,4.84,2.91,2.85,8.93,8.21,4.48,2.08,15.86,11.19,10.56,10.5,9.53,5.33,2.8,3.22,3.21,3.19
YTD,2.61,2.03,4.19,3.66,6.44,6.4,11.91,11.24,14.82,14.09,23.75,22.3,28.23,24.38,44.09,35.57,54.65,46.07,64.18,51.4,66.98,54.62,70.19,57.81
