2023,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October       ,,,November,,,December,,,
,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N. Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N. Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,2.8,0,0,3,0,0,3.3,0.02,0.09,3.2,0.01,0,3.2,0.12,0.09,3.4,0.03,0.02,3.1,0,0.12,2.7,0,0,2.9,0,0,3.1,0.04,0.03,3.4,0.33,0.15,3,
26,0.14,0.12,3.1,0.015,0,3,0,0,3.2,0,0,3.1,0,0,3.4,0,0,3.3,0.04,0.02,3.1,0,0,2.7,0.05,0.1,2.9,0,0,3.1,0.02,0.02,3.5,0.2,0.42,2.9,
27,0,0,3.1,0,0,3,0,0,3.2,0,0,3.1,0,0,2.9,0,0,3.2,0.21,0.35,3.1,0,0,2.6,3.05,6.48,3.4,0,0,3.1,1.4,1.33,3.7,0,0.01,2.9,
28,0,0,3.1,0,0,3,0,0,3.2,0.14,0.74,3.1,0,0,3.1,0.6,3.8,3.4,1.38,1.93,3.3,0.1,0.06,2.6,0.17,0.2,3.8,0.01,0,3.4,0,0.02,3.4,0,0,2.9,
29,0.02,0.01,3.1,,,,0.22,0.2,3.5,0,0,3.1,0,,,0,0,3.4,2.1,0.54,3.4,0.15,0.46,2.8,0.02,0.08,3.6,0.02,0.01,3.1,0.02,0.01,3.4,0.02,0,2.9,
30,0.01,0,2.9,,,,0,0,3.2,0.67,2.65,3.2,0,0,,0,0,3.3,0.07,1.11,3.3,,,,0,0.01,3.7,0.01,0,3.1,0,0,3.4,0.01,0.06,2.8,
31,0,0,2.9,,,,0,0,3.1,,,,,,,,,,1.14,1.07,3.5,0.16,,,,,,0,0.01,3.1,,,,0,0,2.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
