2015,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01,0.01,0.00,0.00,0.66,0.55,0.00,0.00,0.02,0.02,0.00,0.00,0.40,0.23,0.00,0.12,1.02,0.41,0.02,0.02,0.00,0.00,0.02,0.02
2,0.01,0.03,0.00,0.00,0.04,0.05,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.05,0.07,0.00,0.04,0.02,0.00,0.00
3,0.00,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.43,0.08,0.02,0.00,0.04,1.03,0.00,0.00,0.00,0.00,0.01,0.01
4,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.96,1.55,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02
5,0.14,0.05,0.87,0.87,0.00,0.00,1.11,1.22,0.00,0.02,0.00,0.00,1.03,0.21,0.04,0.03,0.00,0.03,0.02,0.02,0.00,0.00,0.00,0.00
6,0.00,0.00,0.02,0.05,0.02,0.03,0.12,0.08,0.37,0.12,0.01,0.07,0.47,1.14,0.03,0.22,0.00,0.18,0.00,0.00,0.00,0.00,0.04,0.08
7,0.00,0.00,0.00,0.00,0.05,0.03,0.00,0.00,0.01,0.02,0.00,0.00,1.24,0.08,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.02,0.01
8,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.52,0.34,0.21,0.00,0.00,0.06,0.00,0.01,0.01
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.05,0.46,0.42,0.00,0.00
10,0.00,0.02,0.12,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.00
11,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0.45,0.55,0.00,0.00,0.06,0.53,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00
13,0.81,1.00,0.00,0.00,0.00,0.00,0.52,0.63,0.01,0.00,0.00,0.00,0.00,0.00,0.49,0.05,1.03,1.08,0.00,0.00,0.00,0.00,0.00,0.00
14,0.02,0.02,0.00,0.00,0.00,0.00,0.12,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.19
15,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.01,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01
16,0.17,0.22,0.00,0.00,0.00,0.00,0.24,0.61,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.12,1.85,3.41,0.00,0.00,0.00,0.00,0.28,0.08
17,0.02,0.01,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.59,1.07,1.03,0.00,0.00,0.00,0.00,0.02,0.01
18,0.00,0.00,0.95,0.87,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.05,1.03,0.40,0.00,0.00,0.08,0.02,0.37,0.26
