2014,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01
1,0.04,0.02,0.1,0.04,0.01,0.01,0.02,0.01,0.56,0.55,0.01,0.13,0,0,0,0,0,0,0.07,0.08,0,0,0.02,0.02
2,1.01,0.93,0.02,0.03,0.02,0.01,0,0,1,1.02,0.1,0.75,0,0,0,0,0,0,0.02,0.05,0.03,0,0.04,0.04
3,0.74,0.53,0.02,0.02,0.01,0.01,0,0,0.22,0.16,0,0,0.11,0.22,0.05,0.13,0,0,0,0,0,0,0.02,0.02
4,0.01,0,0,0,0,0.01,0,0,0.22,0.11,0,0,0.01,0.07,0.36,0.44,0,0,1.05,0.14,0,0,0.01,0.01
5,0,0.01,0.02,0.01,0.01,0.09,0,0,0,0,0,0,0.08,0.09,0.55,",20",0.17,0.65,0,0,0,0,0.02,0
6,0.01,0.01,0.15,0.1,0.13,0.08,0.09,0.22,0,0,0,0,0.04,0.2,0,0,0.1,0.13,0,0,0.15,0.05,0,0
7,0.04,0.03,0.67,0.89,0.7,0.49,0.01,0.01,0,0,0.34,0.26,0,0,0,0,0.26,0.06,0,0,0,0,0,0
8,0.01,0.02,0.03,0.16,0.02,0.01,0.18,0.12,0,0,0.01,0,0,0,0.13,0.69,2.16,0.14,0,0,0,0,0.02,0.01
9,0.02,0.06,0.18,0.16,0.01,0.01,0.33,0.28,0.02,0.02,0.11,0,0.01,0,0,0,0.7,0.19,0.01,0,0.25,0.25,0,0
10,0.35,0.06,0.01,0.01,0,0,0,0,0.01,0,0,0,0.17,0,1.55,0.18,0.04,0.03,0,0,0.02,0.03,0,0
11,0.02,0.01,0.01,0.01,0,0.04,0,0,0,0,0,0,0.1,0.11,0.01,0.08,0,0,0,0,0.04,0.14,0,0
12,0.77,1.01,0,0,0.02,0,0,0,0.06,0.03,0.11,1.02,2.81,2.37,0.32,0.08,0,0,0.01,0.01,0,0,0,0
13,0.01,0.01,0.4,0.35,0,0,0,0.01,0,0,0.07,0.92,1.87,1.45,0.01,0,0,0,0,0,0,0,0,0
14,1.42,1.21,0.01,0.01,0,0,0,0,0,0,0.08,0.38,0.23,0.7,0.13,0.63,0,0,0.05,0.03,0,0,0,0
15,0.04,0.05,0.09,0.09,0,0,0,0,0,0,0.08,0.02,1.04,0.56,0.1,0.13,0,0,1.03,0.65,0,0,0,0
16,0.01,0.01,0,0,0,0,0.55,0.3,1.15,0.37,0,0,0.45,0.17,0.47,0.34,0,0,0,0,0,0,0,0
17,0,0,0,0,0.54,0.79,0.1,0,0.01,0,0,0,1.01,0.81,0.01,0,0.38,0.09,0,0,0,0,0,0
18,0,0,0.01,0.01,2.38,3.41,0,0,0,0,0,0,0.01,0,1.39,1.48,0,0,0,0,0.64,0.61,0,0
19,0,0,0,0,0.18,0.04,1.14,1.24,0,0,0,0,0,0,0.03,0.54,0,0,0,0,0,0,0,0
20,0,0,0.01,0.01,0,0,0.4,0.22,0,0,0,0,0.1,0,0,0,0.13,0.3,0,0,0,0,0,0
21,0,0,0,0,0,0.01,0.01,0.02,0,0,0,0,1.77,1.51,0,0,0.08,0.11,0,0,0,0,0,0
22,0.01,0.25,0.71,0.8,0,0.14,0,0,0,0,0.06,1.06,0.67,0.22,0,0.19,0,0,0,0,0,0,0.87,0.87
23,0,0,1.12,1.21,0,0,0,0,0,0,0.19,0.6,0.01,0,0,0,0.22,0.33,0,0,0.9,0.84,0.59,0.18
24,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0.15,0,0,0,0,0.06,0.14,0,0,0.12,0.02,0.36,0.4
25,0,0,0,0,0.01,0.03,0,0,0.01,0,0.03,0.08,0,0,0.81,0.29,0,0.01,0,0,0,0,0.15,0.05
26,0,0,0,0,0,0,0,0,0.02,0,0.22,0.48,0.46,0.06,0.14,0.19,0.36,0,0,0,1.94,2.11,0,0
27,0.03,0.05,0.84,0.86,0,0,0,0,0.01,0,0.22,0.15,0.04,0,0,0.28,0.45,0.32,0.02,0.02,0.06,0.06,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0.07,0.03,0,0,0,0,0,0
29,0.62,0.85,,,0.87,0.7,0,0,0,0,0,,0,0.01,0,0,0.25,0.33,0,0,0,0,0,0
30,0.57,0.65,,,1.07,0.92,0.83,0.31,0,0,0,,0,0,0,0,1.17,0.97,0,0,0,0,0.01,0.01
31,0.03,0.05,,,0.01,0,,,0,0,,,0,0,0,0,,,1.05,1.05,,,0,0.01
,,,,,,,,,,,,,,,,,,,,,,,,
Total,5.76,5.82,4.41,4.78,5.99,6.8,3.66,2.74,3.29,2.26,1.64,6.29,10.99,8.55,6.06,5.67,6.6,3.83,3.31,2.03,4.15,4.11,2.11,1.62
YTD,5.76,5.82,10.17,10.6,16.16,17.4,19.82,20.14,23.11,22.4,24.75,28.69,35.74,37.24,41.8,42.91,48.4,46.74,51.71,48.77,55.86,55.018,57.128,58.748
