2007,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0.08,0.06,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.1,0.05,0.29,0.1,0.3,0.04,0,0
2,0.06,0.13,2.96,1.95,0.25,0.17,0,0,0,0,1.49,1.3,0.18,0.11,0.36,0.75,0.45,1.53,0.17,0.2,0,0,0,0
3,0,0,0.02,0,1.17,1.22,0,0,0,0,2.56,2.37,0.28,0.34,0.3,0.2,0.75,0.5,4.37,4.35,0,0,0.02,0.02
4,0.22,0.15,0,0,0.05,0.08,0,0,0,0,0,0,0.6,0.95,0.07,0.41,0.1,0.35,0.04,0.16,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0.74,0.58,0.01,0.02,0,0,0.03,0,0.3,0.79,0,0,0,0
6,0.06,0.07,0,0,0,0,0,0,0,0,0.04,0.35,0.01,0.02,0,0,0,0,0.4,1.68,0,0,0,0
7,0,0,0,0,0,0,0,0,0.98,0.46,0,0,0.06,0.1,0,0,0,0,0.53,0.2,0,0,0,0
8,0.07,0.14,0,0,0,0,0,0,0,0,0,0,0.75,0.21,0,0,0.03,0,0,0,0,0,0,0
9,0.16,0.17,0,0,0,0,0,0,0.07,0.07,0,0,0,0,0,0,0.54,0.36,0,0,0,0,0,0
10,0,0,0,0,0.02,0.02,0.05,0.2,0.27,0.19,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
11,0,0,0,0,0.03,0.01,0.13,0.15,0,0.01,0,0,0.05,0,0,0,0,0.02,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0.22,0.26,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1.65,1.31,0.37,0,0,0,0.1,0.18,0,0,0,0,0,0
14,0,0,0.01,0.02,0,0,0,0,0.26,0.06,0.62,2.24,0.75,0.09,0,0,0,0,0,0,0,0,0,0
15,0.02,0.05,0,0,0,0,0.05,0.07,0.16,0.44,0.01,0.08,0.47,0.4,0,0,0,0,0,0,0,0,0.06,0.03
16,0,0,0,0,0.45,0.42,0.15,0.27,0,0,0,0,0.12,0.04,0,0,0,0.02,0,0,0,0.04,1,1
17,0,0,0,0,0.06,0.05,0,0,0,0,0,0,0.01,0,0,0,1.7,2.42,0,0,0,0,0,0
18,0.4,0.32,0.02,0.03,0,0,0,0,0.4,0.06,0,0,1.68,0.25,0,0,4.15,3.1,0,0,0,0,0,0
19,0.02,0.01,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0.62,1.88,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0.68,0.28,0,0,0,0,2.2,5.65,1.39,0.51,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0.08,0.04,0,0,0,0,0.18,0.1,0.05,0,0,0,0.36,0.24
22,0,0,0.03,0,0,0,0,0,0,0,0.03,0.04,0.1,0.21,0,0,0,0,0.06,0.13,0,0,0,0
23,0.22,0.27,0,0,0.02,0.01,,,0,0,0.01,0,0,0,0,0,0.1,0,0,0,0.09,0.12,0.02,0.05
24,0.02,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.6,0.58,0,0,0,0,0,0,0.03,0.08,0,0,0.05,0.1,0.07,0,0.03,0.05,0.24,0.18,0,0,0,0
26,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0.04,0.1,0.6,0.01,0.1,0.45,0.36,0,0,0,0
27,0,0,0,0.07,0,0,0,0,0,0,0.02,0.11,0,0,0.09,0.03,0,0,0.94,0.2,0,0,0,0
28,0,0,0,0.01,0,0,0,0.05,0,0,0.25,0,0,0,0,0,0,0,2.38,1.27,0,0,0,0
29,0.1,0.17,,,0,0,0,0,0,0,0,0,0.84,0.65,0,0,0,0,0.05,0.2,0.03,0,0.02,0.02
30,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.38,0.41,0,0.1,0,0
31,0,0,,,0.22,0.2,,,0,0,,,0,0,0.15,0.08,,,0,0,,,0.8,0.34
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,2.05,2.16,3.04,2.08,2.28,2.19,0.4,0.76,2.17,1.37,8.29,8.7,6.33,3.54,1.14,2.07,11.34,16.57,12.04,10.84,0.42,0.3,2.28,1.7
YTD,2.05,2.16,5.09,4.24,7.37,6.43,7.77,7.19,9.94,8.56,18.23,17.26,24.56,20.8,25.7,22.87,37.04,39.44,49.08,50.28,49.5,50.58,51.78,52.28
