2011,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.03,0.03,0.1,0.23,0.2,0.03,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0.03,0,0,0
2,0.12,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
3,0,0,1.1,0.05,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.03,0,0.05,0.02,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.12,0,0
5,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
6,0.35,0.53,0.06,0.03,0,0,0,0.02,0,0,0,0,0,0,,,0.03,,0,0,0.03,0.06,0,0
7,0,0,0.98,1.7,0,0,0.4,0.45,0.5,0.31,,,0,0,0,0,0.15,,0.27,0.32,0.08,0.2,0.03,0.03
8,0,0,0.93,0.78,0.02,0.05,0,0,0,0,0,0,0.05,0.11,0.1,0.3,0,0,0.5,0.75,0.13,0.15,0.02,0.02
9,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.44,2.1,0.07,0,0,0.2,0.95,0,0,0,0
10,0,0,0.55,0.33,0.51,0.63,,,0,0,0,0,0.43,0.25,1.73,2.52,0,0.02,0.87,0.62,0.02,0.03,0,0.01
11,0.15,0.04,0.26,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.09,0,0,0,0
12,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,2.25,3.15
13,0,0,0,0,0,0,0.02,0.07,0,0,0,0,0,0.08,1.4,1.4,0,0,0,0,0,0,2.05,1.05
14,0,0,0,0,0,0,0,0,0.05,0.04,0.15,0.17,0.2,0,0.05,,0,0,0,0,0,0,0.04,0.04
15,0,0,0,0,0,0,0,0,0.92,1.02,0,0,0,0,0.03,1.02,0,0,0,0.04,0,0,0.01,0.02
16,0,0,0,0,0,0,0.07,0.09,0,0,0.3,0.3,0.29,0.2,0,0,0,0,0,0,0,0.02,0.01,0.02
17,0.18,0.09,0.02,0,0,0,0,0,0,0,0,0.05,0.01,0.01,0,0,2.65,2.1,0,0,0.93,0.42,0.02,0.02
18,0.26,0.3,0,0,0,0,0,0,0,0,0.03,0.48,0.02,0.2,0,0,0,0.09,0.14,0.09,0,0,0,0
19,0.25,0.3,0.01,0.01,0,0,0.02,0,0,0,0,0,0,0,0.04,0.39,0.05,0.13,0.13,0.12,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,1.15,0.02,0.02,0.02,0.08,0,0
21,0.33,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0,0,0,0,0
22,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0,0
23,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2.6,0.3,0,0,0.61,0.2,0,0
24,0,0,0,0,0,0,,,0,0,0.1,0.2,0,0,0,0,1.31,,0,0,0.26,0.16,0,0
25,0,0,0,0,0,0,0,0,0,0,0.42,0.34,0,0,0.13,0,0.17,0.4,0,0,0,0,,
26,1.52,1.48,0,0,0,0,0.05,0,0,0,0,0,0.98,1.58,0.88,1.8,0.36,0.65,,,0,0,,
27,0,0,0,0,0,0,0.05,0.03,0,0,0,0,0.12,0.43,0.29,0.32,2.1,1.85,0,0,0,0,0.3,0.21
28,0.01,0,0,0,0,0,0,0,0.2,0.1,0,0,1.03,1.1,0,0,0.06,0.02,0,0,0,0,0.02,
29,0,0,,,0.04,0.05,0.08,0.1,0,0,0.45,0.52,0,0,0,0,0,0,0.48,0.3,0.2,0.25,0,0.02
30,0,0,,,0.06,0,0,0,,,0.02,2,0,0,0,0,0,0,0.09,0.2,0,0,0,0
31,0,0,,,1.18,1.62,,,0,0,,,0,0,0,0,,,0.02,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
Total,3.22,3.25,4,3.06,1.94,2.61,0.9,0.81,1.67,1.47,1.47,2.08,3.79,4.45,6.75,8.12,9.68,6.77,2.88,3.5,2.34,1.69,4.75,4.59
YTD,3.22,3.25,7.22,6.31,9.16,8.92,10.06,9.73,11.73,11.2,13.2,13.28,16.99,17.73,23.74,25.85,33.42,32.62,36.3,36.12,38.64,37.81,43.39,42.4
