2020,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0.00,0.00,0.02,0.01,0.00,0.00,0.12,0.30,0.02,0.03,0.00,0.00,0.61,0.26,0.00,0.00,0.35,0.53,0.00,0.00,0.04,,0.00,0.00
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.43,1.20,0.00,0.00,0.44,0.00,0.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.59,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.48,0.64,0.03,0.11,0.01,0.59,0.00,0.37,0.16,0.00,0.00,0.00,0.00
5,0.16,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,1.55,0.02,0.18,0.00,0.00,0.00,0.00,0.25,0.28,0.10,0.10,0.00,0.00
6,0.00,0.00,0.00,0.00,0.14,0.11,0.09,0.57,0.00,0.00,,,0.27,0.10,0.00,0.00,0.00,0.00,2.69,2.25,0.30,0.00,0.00,0.00
7,0.00,0.00,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,1.65,2.37,0.71,1.94,0.05,0.00,0.55,0.67,,0.00,0.34,0.68,0.18,0.18
8,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,0.88,0.31,0.54,0.18,0.33,,,0.00,0.00,0.04,0.09,0.04,0.05
9,0.00,0.00,0.00,0.00,0.05,0.04,0.45,0.40,0.00,0.00,0.08,0.09,0.03,0.23,0.00,0.00,0.21,0.05,0.00,0.38,0.03,0.01,0.00,0.00
10,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.15,0.18,,,,,1.32,1.16,,,0.43,0.18,0.00,0.00
11,0.03,0.05,0.00,0.00,0.00,0.00,,,0.00,0.00,0.01,0.00,,,0.82,1.11,0.07,0.00,,,,,0.00,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.57,1.97,,0.07,0.29,0.08,0.00,0.00,0.00,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.87,0.50,0.00,0.00,0.40,0.00,0.00,0.00
14,0.00,0.00,0.08,0.06,0.00,0.00,1.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.78,0.00,0.00,0.17,0.23,0.02,0.04
15,0.00,0.00,0.09,0.02,0.00,0.00,0.23,0.37,0.00,0.00,0.08,0.68,0.16,0.09,0.65,,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.98,0.00,0.00,0.00,0.00,,,0.06,0.03,0.03,0.01,0.04,0.00,0.00,0.00,0.00,0.00
17,0.00,0.00,0.35,0.51,0.00,0.00,0.01,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,,0.76
18,0.00,0.00,0.01,0.01,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.02,,,0.00,0.00,0.00,0.00,0.00,0.00
19,0.02,0.34,0.00,0.00,,,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.26,0.87,0.00,0.00,0.00,0.00,,
20,0.83,0.34,0.00,0.00,,,0.00,0.00,0.01,0.00,,,0.00,0.00,1.29,2.04,0.12,0.50,0.18,0.45,0.10,0.05,0.04,0.05
