2020,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
21,0.00,0.00,0.00,0.00,,,0.33,0.08,,,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.26,0.38,0.17,0.33,0.00,0.00
22,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.09,0.06,0.12,0.00,0.06,0.03,0.29,0.00,0.00
23,0.00,0.00,,,,,0.00,0.00,,,0.00,0.00,0.29,0.20,0.00,0.00,0.00,0.00,0.09,0.72,0.19,0.38,0.00,0.00
24,0.00,0.00,,,0.00,0.00,0.97,0.36,0.00,0.00,0.43,0.12,0.21,0.61,0.38,0.25,0.00,0.00,0.07,0.18,0.00,0.00,,
25,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.38,1.15,0.72,0.00,0.00,0.31,0.19,0.00,0.00,0.00,0.00,0.00,0.00,,
26,0.00,0.00,0.34,0.25,0.00,0.00,0.00,0.00,0.52,0.29,0.08,0.11,0.00,0.00,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.51
27,0.00,0.00,0.36,0.40,0.00,0.00,0.00,0.00,1.35,1.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.03,0.00
28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.15,0.09,0.39,0.14,0.97,0.00,0.00,1.72,1.12,0.02,0.01,0.00,0.00,0.00,0.00
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.41,0.02,0.00,0.09,0.06,0.00,0.00,0.00,0.95,0.04,0.01,0.50,0.30,0.00,0.00
30,0.09,0.11,,,0.00,0.00,0.00,0.00,0.45,0.84,0.00,0.00,1.25,0.59,0.40,0.37,,,0.06,0.13,0.17,0.09,0.00,0.00
31,0.04,0.03,,,0.00,0.00,,,0.08,0.01,,,0.08,0.03,0.00,0.51,,,,,,,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.23,1.22,1.84,1.89,0.26,0.24,4.41,3.67,3.31,3.11,6.22,7.59,4.89,5.85,5.72,7.26,6.86,8.62,4.38,5.10,3.45,2.73,0.76,1.59
YTD,1.23,1.22,3.06,3.11,3.32,3.35,7.72,7.01,11.03,10.12,17.25,17.71,22.13,23.56,27.85,30.82,34.71,39.44,39.09,44.54,42.54,47.27,43.30,48.86
