2003,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,1.7,1.64,0,0,0.25,0.57,0,0,0,0,0,0.02,0,0,0.56,1.06,0.03,0,0,0,0,0,0,0
2,0,0,0,0,0.31,0.12,0,0,0.09,0.51,0.37,0.62,0,0,0,0,0,0,0,0,0.02,0.05,0,0
3,0,0,0,0,0.19,0.44,0,0,0,0,0,0,0,0.16,0.05,0.02,0,0,0,0,0.3,0.61,0.83,0.74
4,0,0,0,0,0.62,0.98,0,0,0,0,0.58,0.4,0,0.04,0.16,0.12,0,0,0,0,0.01,0.03,0,0
5,0,0,0.2,0,0.46,0.36,0,0,0,0,0.41,0.25,0,0,0.41,0.05,0.49,0.74,0,0,0.03,0.03,0.03,0.02
6,0,0,0,0,0,0,0,0,0,0,0.34,0.04,0,0,1.26,0,0.02,0.02,0,0,0,0,0,0
7,0,0,1.5,1.21,0,0,0,0,0,0,0.04,0.04,0,0,1.18,0.81,0.24,0.07,0,0,0,0.31,0,0
8,0,0,0.04,0.03,0.29,0.32,0.01,0.07,0,0,1.52,0.95,0,0,0.75,0.1,0,0,0.81,0.49,0,0,0,0
9,0,0,0.2,0.15,0.34,0.06,0.44,0.47,0,0,0.06,0.1,0,0,0.39,0.79,0,0,0.6,0.25,0.02,0.57,0,0
10,0,0,0.47,0.8,2.45,1.67,0.26,0.42,0,0,0,0,0,0,0.1,0.04,0,0,0,0,0.03,0.08,0,0
11,0.02,0.04,0.01,0.01,0,0,0,0,0,0,0,0,0.17,0.02,0.13,0.05,0,0,0,0,0.33,0.36,0.12,0.32
12,0,0,0,0,0.03,0.02,,,0,0,0,0,0.02,0.03,0.54,2.03,0,0,0.64,0.7,0,0,0,0
13,0.04,0.05,0,0,0.1,0.31,,0,0,0,0.04,0.09,0.05,0.1,0,0,0,0,0.16,0.12,0,0,0,0
14,0.04,0.05,0,0,0.07,0.08,0,0,0,0,0,0,1.22,2.28,0.01,0,0,0,0.03,0.05,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.48,0.12,0.08,0,0,0,0,0,0,0.25,0.35
16,0,0,0,0,0.02,0,0,0.18,0,0,0,0,0.03,0.07,0,0,0,0,0,0,0,0,0,0
17,0,0,1.62,1.52,0.33,0.43,0,0,0.07,0.06,0,0.05,0,0,0,0,0.39,0.22,0,0,0,0,0.07,0.1
18,0,0,0,0,0.07,0.05,0,0,0.02,0.01,0,0,0,0.03,0.08,0.08,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0.03,0.02,0.04,0.15,1.57,1.39,0.22,0.51,0.26,0.15,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0.03,0,0,0.17,0.06,0.49,0.78,0,0.38,0,0,0,0,0,0,0.42,0.67,0,0
21,0,0,0,0,0,0,0,0,0.05,0,0.08,0.13,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0.38,0.17,0.08,0.08,0,0,0,0.02,0,0,0.25,0.45,0.29,0.31,0,0,0,0,0,0
23,0.23,0.05,0.36,0.54,0,0,0,0,0.4,0.44,0,0,0.17,0.33,0,0.02,0,0,0,0,0,0,0.01,0.02
24,0,0,0,0,0.06,0.07,0,0,0.22,0,0,0,0.09,0.6,0.4,0.75,0,0.24,0,0,0,0,0.02,0.02
25,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0.83,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0.49,0.79,0,0,0,0,1.33,1.55,0,0,1.05,0.57,0,0,0,0,0,0
27,0,0,0.35,0.34,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0.42,0.41,0,0,0,0,0,0
28,0,0,0.48,0.87,0.62,0.78,0,0,0,0.07,0,0,0,0,0,0,0,0,0.4,0.8,0,0,0,0
29,0,0,,,0,0,0,0,0,0,0.6,0.56,0.2,0.07,0,0,0.39,1.71,1.47,2.59,0.1,0.1,0,0
30,0,0,,,0.02,0.01,0,0,0,0,0.01,0.02,0.13,0.63,0,0,0,0,0,0,0,0,0,0
31,0,0,,,0.25,0.21,,,0,0,,,0,0,0,0,,,0,0,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,2.03,1.83,5.23,5.47,6.88,6.71,1.31,2.03,1.06,1.3,6.11,5.46,5.28,8.11,6.65,6.6,3.32,4.29,4.11,5,1.26,2.81,1.33,1.57
YTD,2.03,1.83,7.26,7.3,14.14,14.01,15.45,16.04,16.51,17.34,22.62,22.8,27.9,30.91,34.55,37.51,37.87,41.8,41.98,46.8,43.24,49.61,44.57,51.18
