1994,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,November,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.02,0.02,,,,,,,,,,,0,0.13,,,,,0.17,0.24,0.06,
2,1.8,1.25,,,0.55,0.9,,,,,0.16,0.07,,,,,,,0.45,0.09,,,,0.04
3,0.1,0.15,,,,,,,0.62,0.79,,,0.76,1.09,,,0.78,0.12,0.85,0.73,,,,
4,,,,,,,0.02,0.01,,,,,0.23,0.19,0.03,,0.6,0.88,0.89,0.57,,,0.02,0.08
5,,,,,,,,,,,,,,,,,,,,0.04,,,1.91,1.39
6,,,,,,,,,,,0.09,0.09,,,0.23,0.18,,0.04,,,,,,
7,,,,,,,,,,,1.23,0.75,0.45,0.36,0.23,0.13,0.85,0.64,,0.28,,,,
8,,,0.52,0.45,,,,,,,0.45,0.61,,,2.34,0.46,,,0.38,0.92,,,,
9,,,,,,,,,,,0.51,0.15,,,0.04,0.06,0.31,0.18,0.25,0.71,0.1,0.05,,
10,0.02,0.02,,,,,,,,,1.27,4.15,,,,,0.3,0.44,,,,,,
11,,,,,0.06,0.09,,,,,0.06,0.08,,,,0.06,0.06,0.06,2.22,2.02,1.4,0.55,0.05,0.3
12,0.07,0.04,,,,,,,,,0.84,0.52,,,0.85,0.43,0.03,,1.63,0.71,1.23,0.82,0.07,0.16
13,0.02,0.01,,,,,,,,,,0.03,,,,0.02,0.02,,0.67,2.57,2.82,0.37,,
14,1.17,1.22,0.03,,,,0.33,0.31,,,1.05,1.17,,,,,0.81,0.74,,0.02,0.02,0.03,0.08,0.09
15,,,,,,,0.12,0.6,,,,,,,0.41,0.15,0.23,0.02,0.04,0.09,0.05,0,,
16,,,,,,,,,,,,,,,1.42,1.4,0.02,0.02,,,1.16,2.42,,
17,,,0.35,0.32,,,0.02,0.36,,,,,,,,0.05,0.36,0.59,,,0.25,0.5,0.21,0.18
18,0.75,0.72,0.62,0.29,,,,,,,1.84,0.24,,,0.02,0.18,2.54,0.21,0.04,,,,,
19,,,,,0.02,0.01,,,,,,0.05,,,0.04,0.39,,0.03,,,,,,
20,,,0.05,,,,,,1,0.45,0.05,,,,,,,0.02,,,,,,
21,,,0.1,0.31,,,,,,,,,1.99,0.82,,1.36,,,,,0.03,0.52,0.24,0.21
22,,,0.2,,0.08,0.01,0.04,0.05,,,0.52,0.22,,,0.03,0.01,1.19,0.88,,,,,0.54,0.59
23,,,,,0.7,0.59,,0.12,,,,,,,1.02,0.05,0.05,0.28,,,,,0.51,0.46
24,,,,,,,0.35,0.13,,,0.02,0.43,0.24,,,,,,,0.03,,,0.1,0.1
25,,,,,,,,,,,,,0.05,0.77,0.41,0.02,,,,,,,,
26,,,,,,,,,,,0.51,0.32,0.25,0.51,,,,,,,,,,
27,0.08,0.06,,,,,,,,,,,0.25,0.31,,,,,,0.09,0.05,0,,
28,,,,,,,,,,,,,0.82,1.01,,,,,,,,,,
29,,,,,,0.32,,,,,,,0.07,0.43,,,,,0.5,0.6,,,,
30,3.1,2.73,,,,,,,0,0.13,,,0.17,0.05,,,,,0.02,0.02,0.02,0.2,0.33,0.22
31,1.2,1.32,,,,,,,0,0.05,,,,,,,,,0.34,0.32,,,0.03,0.02
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,8.31,7.52,1.89,1.39,1.41,1.92,0.88,1.58,1.62,1.42,8.6,8.88,5.28,5.54,7.07,5.08,8.15,5.15,8.28,9.81,7.3,5.7,4.15,3.84
YTD,8.31,7.52,10.2,8.91,11.61,10.83,12.49,12.41,14.11,13.83,22.71,22.71,27.99,28.25,35.06,33.33,43.21,38.48,51.49,48.29,58.79,53.99,62.94,57.83
