1997,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,0,0,0,trace,0.35,0.11,0.13,0.05,1.03,0.74,0,0,0,trace,1.01,1.02,0.06,0.19
2,0,0.01,,,0,0,0,0,0,trace,0.59,0.45,0.52,0.39,0,0.06,0.2,0.4,0,0,0,,,trace
3,0,0.01,0.01,0.01,0,0.01,0,0,0.2,0.12,0,trace,0.02,0,0.21,0.86,0.17,0.03,0,0,0,0.06,0,0
4,0,0,0,trace,0,0,0,0,0,0,0,0,0,0,0.15,0.01,0,0.01,0.06,,0,0,0.05,0.02
5,0.01,0.03,0,0,0,0,0,0,0,0,0.8,1.73,0,0,0.01,0.17,0.05,0.22,0,,0,0,0.02,0
6,0.03,,0,0,0,0,0,0,0,0,0.81,0.53,0,0,0,trace,0,0,0,,0,0,0,0
7,0.01,0.11,0,0,0,0,0,,0,0,0,0.02,0,0.11,0.94,0.08,0,0,0,,0.09,0.18,0,0
8,0.02,0.01,0,0,0,0,0,0.01,0,0,0.05,0.1,0,0,0.24,0.03,0,0,0,,0,,0,0
9,0.03,,0.24,0.09,0,0,0,0,0,0,0,trace,0.05,0.05,0.08,0.02,0,0,0,0.33,0,,0.17,0.16
10,0.53,0.47,trace,trace,trace,trace,0,trace,0,0,0,0.01,1.52,0.42,1.07,1.29,0,trace,0.4,0.23,0,trace,0.14,0.19
11,0,0,0.14,0.04,0.01,0.03,0.03,0.13,,,0,trace,0.77,0.35,0.01,trace,0,0,0,0,,,0.19,0.64
12,0,0,0,trace,0.01,0.01,0.09,0.06,0.23,0.07,0.04,0.01,0.06,0.11,0.25,0.09,0,0,0,0.1,,,1.33,0.92
13,0,0,0,0,,0,0,0,0.12,0.27,0.34,0.12,0,0,0,trace,0,0,0,0,1.57,1.09,2.68,2.52
14,0,trace,0.17,0.2,0.56,0.52,0.01,trace,,,0.22,0.88,0,0.01,0.84,0.06,0,0,0.08,0,0.77,0.97,0.23,0.55
15,0.04,0,0.07,0.04,0.22,0.22,0.87,1,0,trace,0.21,0.96,0,0,0,0,0,0,0,0,0,,1.68,1.82
16,0.4,0.23,0.37,0.26,,,0.07,0.03,0,0,0,0.14,0,0,1.46,0.02,0,0,1.86,0.1,0,,1.3,1.25
17,0,0,trace,0.01,trace,0,0,trace,0,,0,0,0,0,0.07,0,0,0,3.48,2.8,0,0.01,0,0.01
18,,,0,0,0.06,0.07,0,0,0,,1.82,0.28,0.03,0,0,0,0,0,0.4,0.11,0,0,0,0
19,,,0,trace,0.24,0.22,,,0,,1.63,0.4,0.3,0.46,0,0,0,0,0.1,0.19,0,0,0,trace
20,0.02,0.02,0,0,,0,,,0.03,trace,0.6,1.27,0,0,1.28,1.94,0,0,0,0,0,0,0.03,0.01
21,0,0,0,trace,,0.09,,,0,0,0,0,0,0,0,trace,,,0,0,0,0,0,0
22,0,0,,,1.09,0.05,0.07,0.05,0.67,0.34,0,0,0,0,0,trace,,0,0,0,,,0,trace
23,0,trace,0.29,0.24,,,1.25,1.84,0,0.03,0,0,0,0,0,0,0.04,0,0.16,0.21,,,0,0
24,,0,trace,trace,0,0,0.87,1.63,0,0,0,0,0,0,0,0,0.81,0.77,,,,0.01,0,0.02
25,1.14,0.7,0,0,0.87,0.35,0,0,0.09,0.06,0,0,0,0,0.2,0.08,0.06,0.33,,,0,0,0.5,0.97
26,0.26,0.25,0.02,0,0.67,0.92,0,0,0.35,0.68,0.05,0,0.23,1.15,0,0.04,,0.25,0,0,0,trace,2.04,1.82
27,0.01,trace,0,trace,0,0.01,2.65,3.5,0.01,trace,0.02,0,0.6,0.09,0,0,0.94,0.57,1.26,0.95,0,0,1.52,1.38
28,0,0,,0,,trace,2.48,3.74,3.94,1.35,1.78,0.72,0.7,0.98,0,0,0.63,0.46,1.09,0.97,0,0,0.02,
29,0,0.01,,,,,0.55,0.78,0.64,0.66,0.03,0.22,0,0,0,0,0.05,0.26,0,0.01,0,0,0,0.04
30,0,0,,,0,0,0,0,0.04,0.01,0.03,0.01,0,0.35,0,0,0,trace,0,0,1.88,0.65,0,0.07
31,trace,0.01,,,0,0.03,,,0,0.14,,,0.97,0.75,0,0,,,0,0,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,2.5,1.86,1.31,0.89,3.73,2.53,8.94,12.77,6.32,3.73,9.37,7.96,5.9,5.27,7.84,5.49,2.95,3.3,8.89,6,5.32,3.99,11.96,12.58
YTD,2.5,1.86,3.81,2.75,7.54,5.28,16.48,18.05,22.8,21.78,32.17,29.74,38.07,35.01,45.91,40.5,48.86,43.8,57.75,49.8,63.07,53.79,75.03,66.37
