1993,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,1.4,1.1,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,0.57,0.42,,,,,,,0.05,0.05
4,,,,,,,,,,,,,,,0.07,,,,0.03,0.06,,,,
5,1.52,1.4,,,,,,,,,,,,,,,,,,,,,0.03,0.04
6,,,0.65,,,,,0.95,,,,,,,,,,,,,0.62,0.45,,
7,,,0.2,0.54,,,,,,,,,,,,,3.75,4.2,0.95,1.86,,,,
8,1.7,0.89,,,,,,,,,,,0.35,0.35,,,,,,,0.07,0.11,,
9,,,,,,,,,,,,,,,,,,,,,,,,
10,0.1,0.07,,,,,,,,,,,,,,,,,0.83,1.04,0.09,0.06,,
11,,,0.34,,,,,,,,,0.36,,,,,,,,,,0.02,,0.08
12,,,,,2.1,2.6,,,,,0.35,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,0.07,0.18,,,,,0.07,
14,0.16,0.15,,,,,,,,,0.02,,,,,,0.14,0.24,,,,,,
15,0,0,,,,,,,,,,,,,0.04,0.11,0.32,0.94,0.66,0.65,,,,
16,1.5,1.4,,,,,,,,,,,,,,,0.01,0,1.59,1,,,,
17,0.04,0.04,,,,1.95,,,,,,,,,,,,,1.5,1.25,,,,
18,,,,,,,,,,,,,,,1.32,0.06,,,0.02,0.01,0.1,0.02,,
19,,,,,,,,,,,,0.13,,,0.75,0.2,,,,,,,,
20,1.15,1.07,,,1.53,0.2,,,,,0.56,0.22,,,,,,,,,,,,
21,,,0.35,0.4,,,,,,,,,,,,,,,,,,,1.07,1.02
22,,,2.3,1.8,,,,,,,,,0.75,1.5,,,0.5,0.33,,,,,,
23,,,,,0.05,0.04,,,,,,,0.07,0.6,0.43,0.06,,,,,0.08,0.04,0.56,0.6
24,,,,,,,,,,,,,0.16,0.5,,,,,,,0.69,0.97,0.01,0.02
25,0.69,0.86,,,,,,,,,,,,,,,,,2.2,1.64,,,0.55,0.53
26,0.29,0.5,,,0.4,0.74,,,,,,,0.2,0.74,,,1.05,0.9,0.1,0.17,0.73,0.66,,
27,,,,,,,,,,,0.15,0.35,0.27,0.22,0.38,,,,,,0.36,0.22,,
28,,,,,,,,,,,,0.35,,,0.31,0.49,0.27,0.11,,,0.06,0.03,,
29,,,,,,,,,,,1.5,1.4,,,,,,,,,,,,
30,,,,,,,,0.5,,,,,,,,,,,1.2,1.45,,,,
31,,,,,,,,,,0.98,,,,,,,,,1.92,2.61,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,7.15,6.38,3.84,2.74,4.08,5.53,0,1.45,0,0.98,2.58,2.81,1.8,3.91,3.87,1.34,7.51,8,11,11.74,2.8,2.58,2.34,2.34
YTD,7.15,6.38,10.99,9.12,15.07,14.65,15.07,16.1,15.07,17.08,17.65,19.89,19.45,23.8,23.32,25.14,30.83,33.14,41.83,44.88,44.63,47.46,46.97,49.8
