2018,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0.12,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.94,0.24,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00
2,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.01,0.00,0.82,0.05,0.00,0.00,1.07,0.09,0.00,0.00,0.49,0.51
3,0.20,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.45,0.00,0.00,0.72,0.56,0.19,0.02,0.08,1.31,0.21,0.88,0.41,1.79
4,0.91,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.71,0.59,0.00,0.00,0.00,0.15,0.51,0.05
5,0.18,0.12,0.71,0.58,0.00,0.00,0.04,0.48,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.27,0.41,0.00,0.00
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00
7,0.00,0.00,0.02,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.59,0.00,0.00,0.00,0.00
9,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.07,0.09,0.01,0.05,0.20
10,0.36,0.38,0.00,0.00,0.00,0.00,0.65,0.91,0.00,0.00,0.02,0.00,0.00,0.00,0.35,0.32,0.00,0.00,0.34,0.32,0.31,0.45,0.87,0.67
11,0.14,0.09,0.00,0.00,0.00,0.00,1.70,2.33,0.00,0.00,0.01,0.16,0.00,0.00,0.01,0.01,0.00,0.00,0.43,0.30,0.00,0.03,0.00,0.00
12,0.02,0.02,0.05,0.09,0.00,0.00,0.03,0.00,0.00,0.00,1.27,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00
13,0.00,0.00,0.79,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.24,0.57,0.00,0.00
14,0.00,0.00,0.05,0.03,0.00,0.00,0.00,0.00,0.06,0.12,0.13,0.59,0.00,0.00,0.22,0.86,0.00,0.00,0.00,0.00,0.45,0.18,0.11,0.10
15,0.02,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.68,0.52,0.82,0.04,0.00,0.00,0.91,0.75,0.00,0.00,0.00,0.00,0.07,0.16,2.30,2.62
16,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.59,0.28,0.67,0.04,0.00,0.00,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.03
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,1.42,0.03,0.07,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.28,0.00,0.00,0.20,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
