2000,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,,,0,0,0,0,1.38,1.41,0,0,0,0,0.24,0.5,0,0,0,0
2,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,0.09,0.1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.06,0.04,0,0,0,0,0,0,0
4,0,trace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.14,0.04,0.05,0,0,0,0
5,0.12,0.16,0,0,trace,0.16,0.05,0.12,0,0,0,0,0.3,0,0.25,0.17,0.76,1.78,0.05,0.1,0,0,0,0
6,0,0,0,0,,trace,0,0,0,0,0,0,0,0,0,0.04,1.92,1.96,0,0,0,0,0,0
7,0,0,0,0,0,trace,0,0,0,0,0,0,0,0,0,0,0.86,0.64,0.15,0.16,0,0,0,0
8,0.09,0.07,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0.05,0.41,0,0,0,0,0,0
9,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,4.63,1.81,0,0,0,0,0,0
10,0,0.02,0,0,,0,0,0,0,0,0,0,0,0,0,0,1.9,1.02,0,0,0,0,0,0
11,0.19,0.14,0,0,,0,0,0,0,0,0.15,0.07,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0.04,0.05,,0,0,0,0.81,0.69,0.04,0.08,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0.46,0.29,0,0,0,0,0,0.07,0.39,0.43,0,0,0,0,0,0,0,0
14,0.27,0.31,,0,0,0,0.18,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0.81,0.56,0,0,0.9,1.28,0.12,0.14,0,0,2.01,3.02,0,0,0,0,0,0,0.02,0.13,0,0
16,0,0,0,0,0.47,0.46,0,0.02,0,0,0,0,0.02,0.78,,0,0,0,0,trace,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.13,0,0,2.64,0.84,0,trace,0,0,0.06,0.05
18,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0.24,0,0,1.8,1.4,0,trace,0,0,,0
19,0,0,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,,trace,,,,0
20,0,0,0,0,0.42,0.17,0,0,0,0,0,0,,0,0.15,0.12,0,0,0.23,0.24,0.1,0.08,,0
21,0,0,0,0,0,trace,0,0,0,0,0,0,0.64,0.01,0,0,0.11,0.1,1.84,1.29,0,0,,0
22,,,0,0,0,trace,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,,0
23,,,0,0,0,0,0,0,0.05,0.05,0.06,0,1,2.06,0.11,0.2,0,0,0,0,0,0,,0
24,0.63,0.84,0.02,0.07,,,0,0,0,0,0.31,0.67,0.19,0.12,,0,0.42,0.11,1.09,0.29,0,0,,0
25,0.31,0.37,,trace,,,0.02,0.02,0,0,0,0,0.37,0.24,,0,0.6,0,0.03,0.09,1.03,0.73,,0
26,0,0,,,0,0,,0,0,0,0,0,0.71,0.65,1.36,0.21,0.67,0,0.05,0.19,0.22,0.23,,0
27,0,0,,,0.27,1.67,0.04,0.13,0,0.06,0.89,0.86,0.02,0.03,0,0,0.02,0,0,0,0.03,0.08,0.08,0.07
28,0.04,0.05,0.3,0.45,0.06,0.08,0,0,,,0.16,0.56,0,0,0,0,0.07,0.01,,,0,0,0.57,0.34
29,0.55,0.61,0,0,0,0,0.05,0.04,,,1.29,0.27,,,0.02,0,0.15,0.35,,,0,0,,0
30,0,0,,,0.02,0.05,,,0,0,0.33,0.35,,0,1.81,0.94,0.73,0.9,0.05,0.2,,0,,0
31,0.21,0.19,,,0.11,0.15,,,,0,,,0,0,0.57,0.1,,,,0,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,2.41,2.76,1.13,1.08,1.42,2.81,1.7,2.08,0.17,0.25,4,3.47,8.4,8.84,4.67,2.56,17.84,11.57,3.77,3.11,1.4,1.25,0.71,0.46
YTD,2.41,2.76,3.54,3.84,4.96,6.65,6.66,8.73,6.83,8.98,10.83,12.45,19.23,21.29,23.9,23.85,41.74,35.42,45.51,38.53,46.91,39.78,47.62,40.24
