1992,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0.8,0.8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,
2,0.06,0.05,0,0,0,0,,,0,0,1.2,0.72,0,0,,,,,,,,,,
3,,0.02,0,0,0.04,,,,0,0,0,0,0,0,,,,,2.62,2.65,,,,
4,,,0,0,0.01,0,,,0,0,,,0.06,,,,,,2.1,0.41,,,,
5,0,0,0.43,0.37,,0.03,0,0,0,0,,,0,0,,,,,0,0,,,,
6,0,0,0.42,0.41,0.14,0.15,,,0.49,0.08,,,0,0,,,,,0.15,0.2,,,,
7,0,0,0.1,0.13,0.06,0.05,,,,,,,0,0,,,,,1,1.2,,,,
8,0,0.01,0,0,0,0,,,,,,,0,0.02,,,,,0.18,0.5,,,,
9,0,0,0,0,,,,,,,,,0,0,,,,,0,0,1,0.6,0.28,0.32
10,0,0,0,0,1.2,0.76,,,0.15,0.14,,,0,0,,,3.75,4.1,0.02,0,,,,
11,0,0,0,0,0,0,0.32,0.24,0,0,,,0,0,,,2.7,1.25,0.15,0.03,,,,
12,0,0,0,0,0.05,0.04,0,0,0,0,,,0,0,,,0,0,0,0,0.15,0.13,,
13,1,0.5,0,0,,,0,0,0.33,1.11,,,0,0,,,0.84,0.71,0,0,0.05,0.05,,
14,0,0,0,0,0,0,,,0,0,,,0,0,,,0.2,0.84,,,,,,
15,0,0,0,0,0,0,0,0,0,0,,,0.75,0.15,,,0,0,,,,,,
16,0,0,0.01,0.02,0,0,0,0,0,0,,,,,,,,,,,,,,
17,0,0,0.2,0.15,0,0,,,0,0,,,,,6.4,4.95,,,,,,,,
18,0,0.03,0.05,0.05,0.06,0.1,,,0,0,,,,,0,0,,,,,,,,
19,0.72,0.42,0.05,0.03,0.25,0.1,0.15,0.1,,,,,0,0,0,0,,,,,,,,
20,0,0,0,0,0,0,0.05,0.24,,,,,0,0,0,0,,,,,0.4,0.2,,
21,0,0,0,0,,,,0.21,0.07,,,,0,0,0.55,0.1,,,,,0.72,0.4,,
22,0,0,0,0,,,,,0,0.08,,,0,0,0,0.15,,,,,0.24,0.29,,
23,0.84,1,0.05,0.04,0,0,,,0,0,,,,,0,0,,,,,,,,
24,0,0,0.36,0.28,0.6,0,,,0,0,,,,,0,0,,,,,,,,
25,0,0,0.25,0.32,0.85,0.87,,,0,0,,,,,0,0.24,4.2,3.91,,,0.05,0.66,,
26,0,0,,0,,0,0,,0,0,,,,,0.3,0,0.8,0.52,,,0.86,0.8,,
27,,0.2,,,,0,0,,0.27,0.02,,,,,,,1.7,0.52,,,0.73,0.85,,
28,0.54,0.3,0,0,,0,0,0,1.07,2.08,,,,,0.13,0.23,0.04,0.02,,,,,,
29,0.05,0.15,0,0,,0,0,0,0.2,0.44,5.75,4.75,0.3,0.1,,0.01,0.17,0.07,,,,,,
30,0.22,0.55,,,,0,0,0,0.02,0.71,0.56,0.95,0.3,1.4,,,0.14,0.11,,,,,,
31,0,0,,,,0,0,,,,,,,,,,,,0.05,0.02,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,4.23,4.03,1.92,1.8,3.26,2.1,0.52,0.79,2.6,4.66,7.51,6.42,1.41,1.67,7.38,5.68,14.54,12.05,6.27,5.01,4.2,3.98,0.28,0.32
YTD,4.23,4.03,6.15,5.83,9.41,7.93,9.93,8.72,12.53,13.38,20.04,19.8,21.45,21.47,28.83,27.15,43.37,39.2,49.64,44.21,53.84,48.19,54.12,48.51
