1991,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,0,0,2.35,1.84,0,0,0.02,0
2,,,,,,,,,,,,,,,,,1.16,1.32,0.04,0.05,0,0,0,0
3,,,,,,,,,,,,,,,,,0.13,0.42,0.05,0,0.1,0.14,0.3,0.4
4,,,,,,,,,,,,,,,,,0.5,0.04,0.01,0.03,0,0,0,0
5,,,,,,,,,,,,,,,,,0,0,0.75,0.55,0,0,0,0
6,,,,,,,,,,,,,,,,,0.05,0,0,0,0,0,0,0
7,,,,,,,,,,,,,,,,,0.73,0.74,0,0,0,0,0,0
8,,,,,,,,,,,,,,,,0.32,0,0,0,0,0.68,0.62,,
9,,,,,,,,,,,,,,,,0.17,0.57,0.33,1.36,1.66,0,0,,
10,,,,,,,,,,,,,,,,0.5,0,0,0,0,0,0,,
11,,,,,,,,,,,,,,,,0.78,0,0,0,0,,,,
12,,,,,,,,,,,,,,,,0.02,0,0,0,0,0,0,,
13,,,,,,,,,,,,,,,,0.71,0,0,0,0,0,0,,
14,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
15,,,,,,,,,,,,,,,,0.87,0,0,0,0,0,0,0,0
16,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
17,,,,,,,,,,,,,,,,0,0.24,0.19,0,0,0.16,0.02,,
18,,,,,,,,,,,,,,,,0,0.91,0.18,0,0,0,0,,
19,,,,,,,,,,,,,,,,0.21,0,0,0,0,0,0,,
20,,,,,,,,,,,,,,,,0.02,0,0,0,0,0,0,,
21,,,,,,,,,,,,,,,,0,2.15,0.35,0.03,0,0,0,,
22,,,,,,,,,,,,,,,,0,0.05,0.04,0.01,0.24,0,0,,
23,,,,,,,,,,,,,,,0.03,0.69,0,0,0,0.21,,0.03,,
24,,,,,,,,,,,,,,,0.8,0.6,0,0,0,0,0,0,,
25,,,,,,,,,,,,,,,nrt,0.03,1.05,0.69,0,0,0,0,,
26,,,,,,,,,,,,,,,0.2,0.11,0,0,0,0,0,0,,
27,,,,,,,,,,,,,,,0.02,0.07,0,0,0,0,0.02,0,,
28,,,,,,,,,,,,,,,0.15,0.2,1.43,0.34,0,0,,0.04,0.49,0.1
29,,,,,,,,,,,,,,,0,0,1.15,1.66,0,0.06,0,0,0,0
30,,,,,,,,,,,,,,,0.15,0.02,0.44,0.37,0,0,,,0,0
31,,,,,,,,,,,,,,,0,0,,,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,5.32,10.56,6.67,4.6,4.64,0.96,0.85,0.81,0.5
YTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,5.32,11.91,11.99,16.51,16.63,17.47,17.48,18.28,17.98
