1998,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0.45,0.13,0.08,0.01,0,0,0,0,0,0,0.34,3.18,0.04,0.18,2.3,1.85,0,0,0,0.01
2,0,0,0,0,0.14,0.14,0,trace,0,0,0,0,0,0,4.3,1.64,0.72,0.47,0.03,0.02,0,0,0,0
3,0.11,0,0.66,0.74,0,0,0,0,0,0,0,0,0,0,0.14,0.1,0.28,0.25,0.05,0,0,0,0.35,0.06
4,0,,0.06,0.03,0,0,0,0,0,0,0,0,trace,0.2,0,0,0.15,0.17,0,0,0,0,0,0
5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.38,0.32,0.46,0,0
6,0.05,trace,0,0,0,trace,trace,trace,0,0,0,0.01,0,0,0.13,0.1,0,0,0,0,0,0.03,0,0
7,0,0.01,,,0,0,trace,trace,0,0,,0,0,0,0,0,0.04,0.01,0.09,0,0,0,0,trace
8,1.85,1.6,0,trace,0.07,0.05,0,0,0,0,,0,0,0,0,0,0.07,0.07,0.02,0,0,0,0,0
9,0.15,0.13,0,trace,1.53,1.22,0.12,0.05,0,0,,0,0,0,0.69,0.06,0,0,0.22,0.06,0,0,0,trace
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.01,0.01,0,0,0,0,0,0
11,0,0,0,trace,0,0,0,0,0,0,0,0,0,0,0.73,2.25,0,0,0,0,0,0,0,0
12,0,0.01,0,0.01,0,0,0,0,0,0,,0,0.67,0.75,0,0.02,0,0,0.14,trace,0,0,0,0
13,0,trace,0,0,0,0,0,0,0,0,,0,0.69,0.04,0.41,0,0,0,0.69,0.17,0,0,0.12,0.06
14,0.01,0.01,0.35,0.32,0,0,0,0,0,0,,0,2.81,1.79,0.84,1.74,0,0,0,0,0,0,0.05,0.03
15,,trace,0,,0,0,0,0,0,0,,0,1.06,trace,3.46,1.02,0,0,0,0,0,0,0.03,0.01
16,0.24,0.93,1.85,1.73,0,0,0,0,0,0,,0,0.35,0.61,0.02,1.54,0,0,0,0,0,0,0.02,
17,0,0,4.3,3.67,,,0,0,0,0,,0,0.24,1.05,0.09,0.18,0.05,0.05,0,0,0,0,0,trace
18,0,0,0,trace,,0,0,0,0.03,0.02,,0,0.01,0.04,0.1,0.02,2.04,0.39,0,0,0,0,0,0
19,0,0,0,trace,1.02,1.17,0,0,0,trace,,0,1.12,0.02,0.3,0.36,0.22,0.39,0,0,0,0,0,0
20,0.01,0.02,0.54,0.45,0.41,0.37,0,0,,trace,0.1,1.15,0,0,0.33,0.31,0.46,0.08,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0.48,0.76,0.32,0.05,0.08,0,0,0,0
22,0,0,,,0,0,0,0,,0,,,0.2,0.31,0.1,0,0.25,0.48,0,0,0.03,0,0,0
23,0,0,1.84,1.93,0,0,0,0,,,,0,0,0,0,0.25,0.02,0,0,0,0.03,0.05,0,0
24,0.35,0.32,0,0,0,0,0,0,,,,0,0,0,0,0.02,0.37,0.71,0.02,0.13,0.35,0.73,0,0
25,0.12,0.05,0,0,0,0,0,0,,,,0,0.32,0.16,0,0,0.4,0.27,0.12,0.09,0,trace,0,0
26,0,trace,0,0,0,trace,0,0,,0,0.62,0.83,0.03,0.15,0,0,,0.13,0,trace,0,0,0.18,0.04
27,0.43,0.24,0.3,0.87,0,0,0,0,,0,0,0,0.04,0.03,0,0,0,,0,0,0,0,0.09,0.06
28,0,0.32,0.07,0.02,0,0,0,0,1,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0
29,0,0,,,0,0,0.02,0,,0.01,,0,0.06,0,0,0,0,0,0,0,0,0,0,trace
30,0,0,,,0,0,0.68,0.83,,,0,0,0,0.01,0.77,0.38,,,0,0,0,trace,0.19,0
31,0,0,,,,0,,,,,,,0,0,0,0,,,0,0,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,3.32,3.64,9.97,9.77,3.62,3.08,0.9,0.89,1.03,1.24,0.72,1.99,7.6,5.16,13.79,13.65,5.88,3.98,3.92,2.78,0.73,1.27,1.12,0.27
YTD,3.32,3.64,13.29,13.41,16.91,16.49,17.81,17.38,18.84,18.62,19.56,20.61,27.16,25.77,40.95,39.42,46.83,43.4,50.75,46.18,51.48,47.45,52.6,47.72
