2002,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0.13,0.02,0,0,0.02,0.02,0,0,0,0,3.35,2.35,0.05,0.04,0,0,0,0
2,0.06,0.08,,,0.08,0.09,0,0,0,0,0,0,0.4,0.36,0.03,0,0.06,0.57,0,0,0,0,0,0
3,0.4,0.5,0.03,0.04,0.31,0.42,0,0.06,0,0,0,0,0,0,0.12,0,0.03,0,0,0,0,0,0,0
4,0,0,0,0,0.72,0.5,0.11,0.45,0,0,0,0,0,0,0.45,0.8,0.18,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.77,0.18,0.59,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.43,0.19
7,0.02,0.04,0.07,0.04,0,0,0,0,0,0,0,0,0,0,0.81,0.96,0,0,0,0,0,0,0,0.02
8,0,0,0.12,0.12,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0.27,0,0,0.14,0.09,0,0
9,0,0,0,0,0,0,0,0,0,0,0.93,0.41,0,0,0,0,0.17,0,0,0,0,0,0,0
10,0,0,0.01,0.01,0.02,0.02,0,0,0,0,0.16,0.34,0.52,1.82,0.07,0.2,0,0,0.05,0.14,0.02,0.02,1.46,1.19
11,0,0,0,0,0,0,0.7,0.96,0,0,0.19,0.17,0.06,0.03,0.14,0,0,0,0.64,0.76,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
13,0.1,0.31,0,0,0.44,0.62,0.6,0.76,0,0,0,0.03,0,0,0.14,0.07,0.11,0.12,0,0,1.18,0.84,1.17,1.24
14,0,0.03,0.03,0,0,0,0.02,0.05,0.05,0.1,0,0,0.39,0.26,0.49,0.53,3.75,3.4,0.02,0.02,0,0,0,0
15,1.6,1.6,0.03,0.04,0,0,0,0,0,0,0.06,0,0.06,0.15,0,0,0.19,0.23,1.65,2.55,0,0,0.05,0.01
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.47,0.14,0.19,0.07,0.49,0.12,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,1.21,1.4,0,0
18,0,0,0,0,0,0,0,0,0.79,1.14,0,0.02,0,0,0,0,0,0,0,0,0.01,0.03,0,0
19,0,0,0,0,0,0,0,0,0.23,0.06,0.38,0.58,0,0,0,0,0,0,0,0,0,0,0,0
20,0.07,0.14,0,0,0,0,0,0,0.22,0.3,3.35,3.73,0,0,0.39,0.29,0,0,0,0,0,0,0.15,0.4
21,0,0,0,0,0,0,0,0,0,0,0.42,1.22,0.67,0.83,0.31,0.05,0,0,0,0,0,0,0,0
22,0.2,0.04,0,0,0.15,0.16,0,0,0,0,5.73,3.57,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0.21,0.26,0,0,0,0,0.09,0.03,2.45,3.52,0.14,0.13,0,0,0,0,0,0,0,0,0,0
24,0,0,1.02,1.21,0,0,0,0,0,0,0.07,0.16,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.44,0.1,0,3.49,2.39,0.62,0.48,0,0,1.42,1.59
26,0.67,1.03,0,0,0,0,0,0,0,0,0,0,0.14,0.1,0.3,1.85,0.67,0.74,0,0,0,0,0,0
27,0,0,0.03,0.03,0.08,0.25,0,0,0,0,0.06,0.03,0.04,0.06,1.31,0.85,0.53,0.22,0,0,0,0,,
28,0,0.03,0,0,0,0,0,0,0.35,0.5,0.02,0,1.22,0,0.01,0.01,0,0,0,0,0,0,,
29,0,0,,,0,0,0,0,0,0,0.04,0.03,0,0,0.31,1.1,0,0,0.96,0.57,0,0,,
30,0,0,,,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,,
31,0,0,,,0,0,,,0,0,,,0,0,3.4,3.33,,,0,0,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,3.12,3.8,1.55,1.75,1.8,2.06,1.56,2.3,1.73,2.13,13.95,13.88,3.75,4.18,9.07,11.28,12.9,11.09,4.06,5.05,2.68,2.38,4.68,4.64
YTD,3.12,3.8,4.67,5.55,6.47,7.61,8.03,9.91,9.76,12.04,23.71,25.92,27.46,30.1,36.53,41.38,49.43,52.47,53.49,57.52,56.17,59.9,60.85,64.54
