"WIN_SYSTEM_VAR_ID"|"SYS_VAR_NAME"|"SYS_VAR_VALUE_NBR"|"SYS_VAR_DSC"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"26"|"VV Map Buffer1"|"200"|"Initial Buffer in meters for Visual Verification Map"|"01-JUL-2016 00:00:00"|""|""|""
"27"|"VV Map Buffer2"|"800"|"Second Buffer in meters for Visual Verification Map"|"01-JUL-2016 00:00:00"|""|""|""
"28"|"VV Map Buffer3"|"1600"|"Final Buffer in meters for Visual Verification Map"|"01-JUL-2016 00:00:00"|""|""|""
"29"|"Welcome Screen Disclaimer Text"|"This is the Florida Department of Environmental Protection (DEP) Watershed Information Network (WIN) environmental database. WIN is the DEP repository for environmental data from non-regulatory data sources from data providers across Florida. WIN replaces Florida STORET as an active data repository, while both are used for data reporting. Data providers & data users include federal, DEP, other state & local agencies, academic institutions, volunteer organizations, private laboratories, & others."|"System Variable for the Welcome screen disclaimer text."|"14-JUL-2017 00:00:00"|""|""|""
"30"|"Migrated File Days to Purge"|"8"|"Days after which a Migrated file will be purged. This will be the number of days from the date the Upload file was set to a status of Migrated. A number below the Days Remaining to Purge Alert value will result in the file being archived to History without the user receiving an email notification prior to the purge. "|"07-SEP-2018 17:21:52"|""|""|""
"31"|"Internal SFTP Host"|"ftpportal.dep.state.fl.us"|"Host name or IP address for SFTP server for internal hosts"|"11-MAR-2021 00:00:00"|""|"DESIDI_R"|"17-JUN-2021 17:35:30"
"32"|"Internal SFTP Port"|"22"|"TCP/IP port for SFTP server (default is 22) for internal hosts"|"11-MAR-2021 00:00:00"|""|""|""
"33"|"External SFTP Host"|"ftpportal.dep.state.fl.us"|"Host name or IP address for SFTP server from external hosts"|"11-MAR-2021 00:00:00"|""|"DESIDI_R"|"17-JUN-2021 17:35:48"
"34"|"External SFTP Port"|"22"|"TCP/IP port for SFTP server (default is 22) for external hosts"|"11-MAR-2021 00:00:00"|""|""|""
"35"|"SFTP User"|"WIN_User"|"SFTP user ID"|"11-MAR-2021 00:00:00"|""|"DESIDI_R"|"17-JUN-2021 18:08:18"
"36"|"SFTP Password (Base64 Encoded)"|"V2luU2Z0cFBhc3MyMDIx"|"Base64 encoded SFTP password (including any padding characters)"|"11-MAR-2021 00:00:00"|""|"DESIDI_R"|"17-JUN-2021 18:08:44"
"37"|"Application URL"|"https://prodenv.dep.state.fl.us/DearWin"|"URL to WIN web application"|"11-MAR-2021 00:00:00"|""|""|""
"38"|"Import Failed File Header"|"The following records could not be loaded. Please ensure that:     - Maximum field length is 4,000 characters or less     - Fields are properly quoted and delimited --------------------------------------------------------------"|"Message text to be displayed at the top of the text file containing rejected records."|"18-NOV-2021 00:00:00"|""|""|""
"39"|"SMTP Server Host"|"smtp.floridadep.net"|"SMTP server hostname"|"18-NOV-2021 00:00:00"|""|""|""
"40"|"SMTP Server Port"|"25"|"SMTP server port"|"18-NOV-2021 00:00:00"|""|""|""
"41"|"SMTP Character Set"|"windows-1252"|"Character set to use when sending emails"|"18-NOV-2021 00:00:00"|""|""|""
"42"|"Maintenance Mode Indicator"|"N"|"Indicates if the WIN application is running in Maintenance Mode. Y - Key functionality is shut down and message displayed, N - Application is fully available."|"18-NOV-2021 00:00:00"|""|"DESIDI_R"|"07-DEC-2021 13:49:06"
"43"|"Maintenance Mode Message"|"WIN is currently undergoing maintenance. The following features have been temporarily disabled: File Upload, Check Errors, Check Adv Errors, Migrate Records, Edit Migrated Data."|"Message displayed to the users when the WIN application is running in Maintenance Mode."|"18-NOV-2021 00:00:00"|""|""|""
"44"|"Testing Mode Indicator"|"N"|"Indicates if the WIN application is running in Testing Mode. Y – All WIN functionality is shut down for users having a role other than WA and WC and redirected to a page with message displayed, N – Application is fully available."|"18-NOV-2021 00:00:00"|""|"SCHWENNING_L"|"03-NOV-2023 10:45:12"
"45"|"Testing Mode Message"|"WIN is temporarily unavailable due to maintenance on Tuesday November 7th from 4:30pm EST to 6:00pm EST.    WIN activities can resume Tuesday November 7th at 6:00pm EST."|"Message displayed to the users when the WIN application is running in Testing Mode."|"18-NOV-2021 00:00:00"|""|"SCHWENNING_L"|"03-NOV-2023 10:30:11"
"46"|"Warehouse Reports Mode Indicator"|"N"|"Indicates if the Warehouse Reports are disabled. Y – All the menu items except WIN Standard Values under 'Reports & Extracts' will be redirected to a page with message displayed, N – All the Warehouse reports are accessable."|"30-NOV-2023 00:00:00"|""|"SCHWENNING_L"|"12-MAR-2024 09:01:15"
"47"|"Warehouse Reports Mode Message"|"The WIN Warehouse is currently being updated with the most recent data.  The Reports & Extracts menus will be available as soon as it completes.  Please check back soon."|"Message displayed to the users when the WIN Warehouse reports are disabled."|"30-NOV-2023 00:00:00"|""|""|""
