Species
Amphora spp.
Corethron spp.
Cyclotella spp.
Cylindrothecoid spp.
Gyrosigma spp.
Plagiogramma spp.
Scrippsiella spp.
Guinardia spp.
Fragilaria spp.
Nitzschia spp.
Microcystis spp.
Thalassionema spp.
Helicotheca spp.
Paralia spp.
Hemiaulus spp.
Anaulus sp.
Proboscia sp.
Helicotheca sp.
Amphidinium spp.
Diploneis spp.
Cerataulina spp.
Flagellate unidentified photosynthetic
Polykrikos sp.
Flagellate unidentified heterotrophic
Coscinodiscus spp.
Heterosigma sp.
Protoperidinium compressum
Entomoneis spp.
Trichodesmium sp.
Bacteriastrum spp.
Gymnodinium uncatenum
Tripos trichoceros
Synedra sp.
Protoperidinium steinii
Ebria sp.
Picoplankton
Gloeocapsa sp.
Gambierdiscus sp.
Lingulodinium polyedra
Pinnularia sp.
Gomphonema sp.
Diplopsalis sp.
Karlodinium sp.
Staurastrum sp.
Climacodium frauenfeldianum
Chroomonas spp.
Pyramimonas spp.
Dinocyst
Phaeodactylum sp.
Chroomonas sp.
Phacus sp.
Coelosphaerium sp.
Biddulphia spp.
Lithodesmium sp.
Phaeodactylum spp.
Proboscia spp.
Plagiotropis sp.
Aulacoseira sp.
Plagiotropis spp.
Lioloma spp.
Microcystis wesenbergii
Melosira spp.
Scrippsielloid spp.
Merismopedia spp.
Euglenoid spp.
Ciliates
Tintinnidae
Gyrodinium catenum
Euglena spp.
Scrippsiella spinifera
Climacodium sp.
Gymnodinoid spp.
Heterosigma spp.
Amphiprora spp.
Lithodesmium spp.
Licmophora spp.
Pseudosolenia sp.
Anaulus spp.
Asterionella sp.
Monoraphidium spp.
Nanoplankton
Hermesinum sp.
Radiolarians
Tripos spp.
Cochlodinium sp.
Pleurosigma spp.
Gomphosphaeria sp.
Erythropsidinium agile
Phalacroma sp.
Amphidinium carterae
Oxyphysis spp.
Stephanopyxis spp.
Choanoflagellate
Eucampia spp.
Ebria spp.
Skeletonema cf pseudocostatum
Chattonella spp.
Gyrosigma fasciola
Chaetoceros didymus
Polykrikoid sp.
Anabaena spp.
Monoraphidium sp.
Protoperidinium leonis
Peridiniopsis sp.
Octactis octonaria
Nanodiatoms
Nitzschioid spp.
Warnowia spp.
Nanoflagellates
Microcystis sp.
Snowella sp.
Protoceratium sp.
Plagiogrammopsis sp.
Oscillatoria sp.
Limnothrix sp.
Pseudanabaena sp.
Prorocentrum dentatum
Attheya sp.
Thalassiothrix sp.
Peridinium spp.
Pleurosigmataceae
Naviculoid spp.
Camplyosira sp.
Protoperidinium brevipes
Raphidophyte unidentified
Takayama spp.
Trichodesmium spp.
Kryptoperidinium sp.
Brachidinium capitatum
Chaetoceros affinis
Haslea spp.
Gomphosphaeria spp.
Snowella spp.
Pandorina sp.
Tabellaria sp.
Zygnema sp.
Salpingoeca sp.
Octactis sp.
Bacillaria sp.
Prorocentrum balticum
Camplyosira spp.
Asterionellopsis spp.
Eutreptia spp.
Katodinium spp.
Rhaphoneis spp.
Tropidoneis spp.
Rhodomonas spp.
Scenedesmus spp.
Euplotes sp.
Pinnularia spp.
Cylindrospermopsis sp.
Ankistrodesmus sp.
Scenedesmaceae
Gonyaulax spp.
Anabaena circinalis
Desmid unidentified
Hillea sp.
Teleaulax sp.
Rhaphoneidaceae
Meuniera membranacea
Aulacodiscus sp.
Grammatophora spp.
Cerataulina bicornis
Dictyocha spp.
Hermesinum spp.
Karlodinium spp.
Naviculoid sp.
Karenia cf mikimotoi
Anabaenopsis spp.
Cyanotetras spp.
Cylindrospermopsis spp.
Coelastrum spp.
Aphanocapsa spp.
Actinastrum spp.
Podolampas spp.
Strombidium-like
Oxytoxum sp.
Diplopsaloid spp.
Amylax sp.
Dinophysis sp.
Goniodoma sp.
Warnowioid spp.
Torodinium spp.
Pyrocystis sp.
Polykrikoid spp.
Odontella sinensis
Leptocylindrus spp.
