Station Code,DateTimeStamp,Monitoring Program,REP,F_Record,PO4F_C,PO4F,F_PO4F,TDP_C,TDP,F_TDP,TP_C,TP,F_TP,PHOSP_C,PHOSP,F_PHOSP,NH4F_C,NH4F,F_NH4F,NO2F_C,NO2F,F_NO2F,NO3F_C,NO3F,F_NO3F,NO23F_C,NO23F,F_NO23F,DIN_C,DIN,F_DIN,TDN_C,TDN,F_TDN,TN_C,TN,F_TN,PN_C,PN,F_PN,UncCHLa_N_C,UncCHLa_N,F_UncCHLa_N,CHLA_N_C,CHLA_N,F_CHLA_N,PHEA_C,PHEA,F_PHEA,POC_C,POC,F_POC,SiO4F_C,SiO4F,F_SiO4F,TSS_C,TSS,F_TSS,WTEM_N_C,WTEM_N,F_WTEM_N,SALT_N_C,SALT_N,F_SALT_N,DO_N_C,DO_N,F_DO_N,PH_N_C,PH_N,F_PH_N,TURB_N_C,TURB_N,F_TURB_N,COLOR_C,COLOR,F_COLOR,SECCHI_C,SECCHI,F_SECCHI,IRR0_N_C,IRR0_N,F_IRR0_N,IRR1_N_C,IRR1_N,F_IRR1_N,Kd_N_C,Kd_N,F_Kd_N
gtmpcnut,1/22/2003 7:55,1,1,,,0.03,<4>,,0.052,<4>,,0.056,<4>,C,0.004,<4>,,0.032,<4>,,0.0055,<4>,C,0.0052,<4>,,0.0107,<4>,C,0.043,<4>,,0.5341,<4>,,0.5509,<4>,C,0.0168,<4>,,1.5,<4>,B,0.01,<4>,,0.7,<4>,,0.613,<4>,,5.25,<4>,,4,<4>,,10.5,<4>,,1.4,<4>,,8.5,<4>,,7.5,<4>,,2.7,<4>,,248,<4>,,0.6,<4>,,85.3,<4>,,1.7,<4>,C,3.916,<4>
gtmpcnut,1/22/2003 7:55,1,2,,,0.03,<4>,,0.053,<4>,,0.059,<4>,C,0.006,<4>,,0.02,<4>,,0.0075,<4>,C,0.0064,<4>,,0.0139,<4>,C,0.034,<4>,,0.5107,<4>,,0.5746,<4>,C,0.0639,<4>,,1.5,<4>,B,0.01,<4>,,0.7,<4>,,1.106,<4>,,4.715,<4>,,5,<4>,,10.5,<4>,,1.4,<4>,,8.5,<4>,,7.5,<4>,,4,<4>,,251,<4>,,0.6,<4>,,85.3,<4>,,1.7,<4>,C,3.916,<4>
gtmpcnut,1/22/2003 10:07,2,1,,,0.018,<4>,,0.036,<4>,,0.056,<4>,C,0.02,<4>,,0.022,<4>,,0.0037,<4>,C,0.0054,<4>,,0.0091,<4>,C,0.031,<4>,,0.4174,<4>,,0.4432,<4>,C,0.0258,<4>,,1.8,<4>,,0.8,<4>,,1.2,<4>,M,,<4>,,2.619,<4>,M,,<4>,M,,<4>,,14,<4>,M,,<4>,M,,<4>,,2.6,<4>,,180,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpcnut,1/22/2003 12:37,2,1,,,0.02,<4>,,0.034,<4>,,0.06,<4>,C,0.026,<4>,B,0.008,<4>,,0.005,<4>,C,0.0048,<4>,,0.0098,<4>,C - B,,<4>,,0.4408,<4>,,0.4779,<4>,C,0.0371,<4>,,1.1,<4>,,1,<4>,,1.4,<4>,M,,<4>,,2.337,<4>,M,,<4>,M,,<4>,,10,<4>,M,,<4>,M,,<4>,,3.2,<4>,,208,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpinut,1/22/2003 14:45,1,1,,,0.034,<4>,,0.047,<4>,,0.078,<4>,C,0.031,<4>,,0.044,<4>,,0.0032,<4>,C,0.0209,<4>,,0.0241,<4>,C,0.068,<4>,,0.5456,<4>,,0.5544,<4>,C,0.0088,<4>,,0.7,<4>,,4,<4>,,2.3,<4>,,0.868,<4>,,2.022,<4>,,25,<4>,,11.9,<4>,,18.4,<4>,,9.2,<4>,,7.7,<4>,,4.5,<4>,,98,<4>,,0.9,<4>,,914.4,<4>,,144.1,<4>,C,1.848,<4>
gtmpinut,1/22/2003 14:45,1,2,,,0.034,<4>,,0.049,<4>,,0.076,<4>,C,0.027,<4>,,0.049,<4>,,0.0034,<4>,C,0.021,<4>,,0.0244,<4>,C,0.073,<4>,,0.5189,<4>,,0.5983,<4>,C,0.0794,<4>,,0.4,<4>,,3.7,<4>,,2.3,<4>,,1.095,<4>,,1.791,<4>,,25,<4>,,11.9,<4>,,18.4,<4>,,9.2,<4>,,7.7,<4>,,4.8,<4>,,90,<4>,,0.9,<4>,,914.4,<4>,,144.1,<4>,C,1.848,<4>
gtmpcnut,1/22/2003 15:07,2,1,,,0.017,<4>,,0.034,<4>,,0.045,<4>,C,0.011,<4>,,0.019,<4>,,0.0043,<4>,C,0.006,<4>,,0.0103,<4>,C,0.029,<4>,,0.4142,<4>,,0.4477,<4>,C,0.0335,<4>,,1.2,<4>,,0.2,<4>,,1.5,<4>,,0.804,<4>,,2.965,<4>,M,,<4>,M,,<4>,,14,<4>,M,,<4>,M,,<4>,,5.3,<4>,,174,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmssnut,1/22/2003 15:38,1,1,,,0.015,<4>,,0.027,<4>,,0.045,<4>,C,0.018,<4>,,0.021,<4>,B,0.0014,<4>,C - B,,<4>,,0.0091,<4>,C,0.03,<4>,,0.2278,<4>,,0.35,<4>,C,0.1222,<4>,,2.9,<4>,,1.7,<4>,,1.6,<4>,,0.666,<4>,,0.346,<4>,,36,<4>,,13,<4>,,29.4,<4>,,8.5,<4>,,7.9,<4>,,2.4,<4>,,26,<4>,,1.4,<4>,,211.1,<4>,,52.9,<4>,C,1.384,<4>
gtmssnut,1/22/2003 15:38,1,2,,,0.017,<4>,,0.027,<4>,,0.048,<4>,C,0.021,<4>,,0.017,<4>,,0.0014,<4>,C,0.0135,<4>,,0.0149,<4>,C,0.032,<4>,,0.2507,<4>,,0.3112,<4>,C,0.0605,<4>,,2.6,<4>,,1.8,<4>,,2,<4>,,0.636,<4>,,0.492,<4>,,38,<4>,,13,<4>,,29.4,<4>,,8.5,<4>,,7.9,<4>,,2.3,<4>,,25,<4>,,1.4,<4>,,211.1,<4>,,52.9,<4>,C,1.384,<4>
gtmfmnut,1/22/2003 16:40,1,1,,,0.006,<4>,,0.024,<4>,,0.041,<4>,C,0.017,<4>,,0.012,<4>,B,0.0014,<4>,C - B,,<4>,B,0.0014,<4>,C - B,,<4>,,0.1858,<4>,,0.2571,<4>,C,0.0713,<4>,,1.3,<4>,,0.4,<4>,,1,<4>,,0.491,<4>,,0.126,<4>,,40,<4>,,13.4,<4>,,31.2,<4>,,8.8,<4>,,8,<4>,,3.3,<4>,,18,<4>,,1.6,<4>,,250.9,<4>,,26.8,<4>,C,2.237,<4>
