Station Code,DateTimeStamp,Monitoring Program,REP,F_Record,PO4F_C,PO4F,F_PO4F,TDP_C,TDP,F_TDP,TP_C,TP,F_TP,PHOSP_C,PHOSP,F_PHOSP,NH4F_C,NH4F,F_NH4F,NO2F_C,NO2F,F_NO2F,NO3F_C,NO3F,F_NO3F,NO23F_C,NO23F,F_NO23F,DIN_C,DIN,F_DIN,TDN_C,TDN,F_TDN,TN_C,TN,F_TN,PN_C,PN,F_PN,UncCHLa_N_C,UncCHLa_N,F_UncCHLa_N,CHLA_N_C,CHLA_N,F_CHLA_N,PHEA_C,PHEA,F_PHEA,POC_C,POC,F_POC,SiO4F_C,SiO4F,F_SiO4F,TSS_C,TSS,F_TSS,WTEM_N_C,WTEM_N,F_WTEM_N,SALT_N_C,SALT_N,F_SALT_N,DO_N_C,DO_N,F_DO_N,PH_N_C,PH_N,F_PH_N,TURB_N_C,TURB_N,F_TURB_N,COLOR_C,COLOR,F_COLOR,SECCHI_C,SECCHI,F_SECCHI,IRR0_N_C,IRR0_N,F_IRR0_N,IRR1_N_C,IRR1_N,F_IRR1_N,Kd_N_C,Kd_N,F_Kd_N
gtmpcnut,5/8/2002 8:15,1,1,,,0.056,<4>,M,,<4>,,0.073,<4>,C - M,,<4>,,0.054,<4>,,0.002,<4>,C,0.0008,<4>,,0.0028,<4>,C,0.057,<4>,M,,<4>,,0.5602,<4>,C - M,,<4>,,15.3,<4>,,12.7,<4>,,4.8,<4>,,1.478,<4>,,3.034,<4>,,41,<4>,,27.1,<4>,,23,<4>,,4.5,<4>,,7.7,<4>,,5,<4>,,42,<4>,,0.9,<4>,,865.1,<4>,,59.6,<4>,C,2.675,<4>
gtmpcnut,5/8/2002 8:15,1,2,,,0.057,<4>,M,,<4>,,0.074,<4>,C - M,,<4>,,0.051,<4>,,0.0018,<4>,C,0.0005,<4>,,0.0023,<4>,C,0.053,<4>,M,,<4>,,0.599,<4>,C - M,,<4>,,15.2,<4>,,12.3,<4>,,5.4,<4>,,1.655,<4>,,3.524,<4>,M,,<4>,,27.1,<4>,,23,<4>,,4.5,<4>,,7.7,<4>,,4.9,<4>,,45,<4>,,0.9,<4>,,865.1,<4>,,59.6,<4>,C,2.675,<4>
gtmssnut,5/8/2002 9:30,1,1,,,0.035,<4>,M,,<4>,,0.045,<4>,C - M,,<4>,,0.048,<4>,,0.0041,<4>,C,0.0064,<4>,,0.0105,<4>,C,0.059,<4>,M,,<4>,,0.3478,<4>,C - M,,<4>,,7.1,<4>,,5.8,<4>,,2.4,<4>,,0.915,<4>,,1.586,<4>,,38,<4>,,26.2,<4>,,33.7,<4>,,5.1,<4>,,7.8,<4>,,5.9,<4>,,10,<4>,,1.1,<4>,,853.3,<4>,,172.1,<4>,C,1.601,<4>
gtmssnut,5/8/2002 9:30,1,2,,,0.029,<4>,M,,<4>,,0.012,<4>,C - M,,<4>,,0.057,<4>,,0.003,<4>,C,0.0041,<4>,,0.0071,<4>,C,0.064,<4>,M,,<4>,,0.3565,<4>,C - M,,<4>,,6.9,<4>,,5.6,<4>,,2.4,<4>,,1.069,<4>,,2.167,<4>,M,,<4>,,26.2,<4>,,33.7,<4>,,5.1,<4>,,7.8,<4>,,6,<4>,,17,<4>,,1.1,<4>,,853.3,<4>,,172.1,<4>,C,1.601,<4>
gtmpinut,5/8/2002 11:00,1,1,,,0.007,<4>,M,,<4>,,0.034,<4>,C - M,,<4>,,0.04,<4>,,0.0019,<4>,C,0.0005,<4>,,0.0024,<4>,C,0.042,<4>,M,,<4>,,0.4767,<4>,C - M,,<4>,,13.2,<4>,,10.3,<4>,,5.5,<4>,,1.708,<4>,,2.041,<4>,M,,<4>,,27.3,<4>,,34.8,<4>,,5.4,<4>,,7.6,<4>,,7.4,<4>,,13,<4>,,0.9,<4>,,1860,<4>,,198.6,<4>,C,2.237,<4>
gtmpinut,5/8/2002 11:00,1,2,,,0.027,<4>,M,,<4>,,0.047,<4>,C - M,,<4>,,0.043,<4>,,0.0022,<4>,C,0,<4>,,0.0022,<4>,C,0.045,<4>,M,,<4>,,0.4891,<4>,C - M,,<4>,,21,<4>,,16.1,<4>,,9.2,<4>,,1.788,<4>,,1.711,<4>,M,,<4>,,27.3,<4>,,34.8,<4>,,5.4,<4>,,7.6,<4>,,7.4,<4>,,17,<4>,,0.9,<4>,,1860,<4>,,198.6,<4>,C,2.237,<4>
gtmfmnut,5/8/2002 13:40,1,1,,,0.009,<4>,M,,<4>,,0.026,<4>,C - M,,<4>,,0.038,<4>,,0.0015,<4>,C,0.0008,<4>,,0.0023,<4>,C,0.04,<4>,M,,<4>,,0.331,<4>,C - M,,<4>,,5.6,<4>,,4.9,<4>,,1.4,<4>,,1.163,<4>,,0.605,<4>,,40,<4>,,26.4,<4>,,33.8,<4>,,6.3,<4>,,8,<4>,,4.3,<4>,,12,<4>,,1.5,<4>,,1801,<4>,,698.2,<4>,C,0.948,<4>
gtmfmnut,5/8/2002 13:40,1,2,,,0.016,<4>,M,,<4>,,0.03,<4>,C - M,,<4>,,0.04,<4>,,0.0016,<4>,C,0.0007,<4>,,0.0023,<4>,C,0.042,<4>,M,,<4>,,0.3922,<4>,C - M,,<4>,,6.3,<4>,,5.6,<4>,,1.5,<4>,,1.072,<4>,,0.502,<4>,M,,<4>,,26.4,<4>,,33.8,<4>,,6.3,<4>,,8,<4>,,4.4,<4>,,4,<4>,,1.5,<4>,,1801,<4>,,698.2,<4>,C,0.948,<4>
gtmssnut,6/5/2002 9:40,1,1,,,0.021,<4>,M,,<4>,,0.06,<4>,C - M,,<4>,,0.035,<4>,,0.0038,<4>,C,0.0056,<4>,,0.0094,<4>,C,0.044,<4>,M,,<4>,,0.4094,<4>,C - M,,<4>,,6.3,<4>,,6,<4>,,4.3,<4>,,0.48,<4>,,3.281,<4>,,95,<4>,,29.5,<4>,,34.1,<4>,,4,<4>,,7.6,<4>,,3.6,<4>,,10,<4>,,0.7,<4>,,830.1,<4>,,176.3,<4>,C,1.549,<4>
gtmssnut,6/5/2002 9:40,1,2,,,0.02,<4>,M,,<4>,,0.061,<4>,C - M,,<4>,,0.038,<4>,,0.0035,<4>,C,0.0065,<4>,,0.01,<4>,C,0.048,<4>,M,,<4>,,0.4212,<4>,C - M,,<4>,,4,<4>,,3.1,<4>,,3.1,<4>,,0.75,<4>,,3.263,<4>,,80,<4>,,29.5,<4>,,34.1,<4>,,4,<4>,,7.6,<4>,,3.6,<4>,,9,<4>,,0.7,<4>,,830.1,<4>,,176.3,<4>,C,1.549,<4>
