Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ECOLI_MPN,F_ECOLI_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI,DOC,F_DOC
gtmpinut,10/17/2017 8:48:00 AM,1,2,{CSM},0.041,,0.081,,0.03,,0.08,,0,,0.08,,0.11,,0.74,,0.66,,0.63,,2.1,,3.3,,1.8,,11,,10,<1> (CHB),,<-1>,27,,24.14,,5.29,,6.6,,0.6,,8.8,
gtmssnut,10/17/2017 10:28:00 AM,1,1,{CSM},0.029,,0.066,,0.047,,0.026,,0.016,,0.042,,0.089,,0.542,,0.5,,0.453,,2.3,,3.1,,1.3,,16,,170,<1> (CHB),,<-1>,26.7,,30.4,,6.2,,7.27,,0.7,,5.6,
gtmssnut,10/17/2017 10:29:00 AM,1,2,{CSM},0.026,,0.073,,0.047,,0.027,,0.014,,0.041,,0.088,,0.621,,0.58,,0.533,,1.7,,2.2,,0.83,,14,,64,<1> (CHB),,<-1>,26.7,,30.4,,6.2,,7.27,,0.7,,5.7,
gtmfmnut,10/17/2017 11:54:00 AM,1,1,{CSM},0.041,,0.096,,0.093,,0.046,,0.015,,0.061,,0.154,,0.781,,0.72,,0.627,,1.3,,1.7,,0.8,<-4> [SBL],14,,11,<1> (CHB),,<-1>,26.2,,26.94,,5.68,,7.29,,0.5,,9.1,
gtmfmnut,10/17/2017 11:56:00 AM,1,2,{CSM},0.044,,0.095,,0.093,,0.048,,0.016,,0.064,,0.157,,0.794,,0.73,,0.637,,1.8,,2.8,,1.6,,14,,15,<1> (CHB),,<-1>,26.2,,26.94,,5.68,,7.29,,0.5,,9.4,
gtmpcnut,10/17/2017 10:29:00 AM,1,1,{CSM},0.057,,0.11,,0.14,,0.014,,0.007,,0.021,,0.161,,1.021,,1,,0.86,,2.5,,3.5,,1.5,,9,,74,<1> (CHB),243,<1> (CHB),25.8,,10.94,,5.99,,6.78,,0.2,,26,
gtmpcnut,10/17/2017 10:31:00 AM,1,2,{CSM},0.055,,0.11,,0.14,,0.015,,0.006,,0.021,,0.161,,0.961,,0.94,,0.8,,2.5,,3.2,,1.1,,9,<1> (CSM),78,<1> (CHB),,<-1>,25.8,,10.94,,5.99,,6.78,,0.2,,26,
gtmpcnut,10/16/2017 8:30:00 AM,2,1,,0.055,<1> (CHB),0.1,,0.12,,0.02,<1> [SCC],-0.004,<-3> [SNV],0.016,<1> [SCC],0.136,,1.116,,1.1,,0.98,,1.8,<1> (CHB),2.5,<-4> [SBL] (CSM),1.3,<1> (CHB),11,,,<-2> [GDM],,<-1>,27.32,,10.34,,3.6,,6.87,,,<-1>,29,
gtmpcnut,10/16/2017 11:00:00 AM,2,1,,0.057,<1> (CHB),,<-2> (CSM),0.048,,0.021,<1> [SCC],-0.002,<-3> [SNV],0.019,<1> [SCC],0.067,,,<-2> [GCM],,<-2> (CSM),,<-2> [GCM],,<-2> (CSM),,<-2> (CSM),,<-2> (CSM),11,,,<-2> (CSM),,<-1>,26.79,,5.06,,2.79,,6.55,,,<-1>,37,
gtmpcnut,10/16/2017 1:30:00 PM,2,1,,,<-2> (CSM),,<-2> (CSM),,<-2> (CSM),,<-2> (CSM),,<-2> [GCM],,<-2> (CSM),,<-2> [GCM],,<-2> [GCM],,<-2> (CSM),,<-2> [GCM],,<-2> (CSM),,<-2> (CSM),,<-2> (CSM),,<-2> (CSM),56,<-4> [SBL] (CSM),,<-1>,26.38,,0.24,,2.13,,6.12,,,<-1>,,<-2> (CSM)
gtmpcnut,10/16/2017 4:00:00 PM,2,1,,0.061,,0.11,,0.037,,0.003,<-4> [SBL] (CHB),0.002,,0.005,,0.042,,1.405,,1.4,,1.363,,1.1,<-4> [SBL],0.8,<-4> [SBL],0.84,,3,,68,<1> (CHB),,<-1>,26.68,,0.09,,2.02,,6.11,,,<-1>,43,
gtmpcnut,10/16/2017 6:30:00 PM,2,1,,0.059,,0.13,,0.047,,0.003,<-4> [SBL] (CHB),0.006,,0.009,,0.056,,1.509,,1.5,,1.453,,1.1,<-4> [SBL],1,,0.8,<-4> [SBL],10,,78,<1> (CHB),,<-1>,27.19,,0.52,,2.6,,6.17,,,<-1>,41,
gtmpcnut,10/16/2017 9:00:00 PM,2,1,,0.055,,0.11,<1> (CUS),0.075,,0.02,<1> [SCC],-0.007,<-3> [SNV],0.013,<1> [SCC],0.088,,1.313,,1.3,<1> (CUS),1.225,,1.2,,2.7,,2.4,,10,,74,<1> (CHB),,<-1>,28.6,,5.08,,3.71,,6.61,,,<-1>,35,
gtmpcnut,10/16/2017 11:30:00 PM,2,1,,0.06,,0.14,,0.057,,0.004,<1> (CHB),0.012,,0.016,,0.073,,1.416,,1.4,,1.343,,1.1,,1.6,,0.8,<-4> [SBL],,<-2> (CSM),100,<1> (CHB),,<-1>,27.1,,1.52,,3.77,,6.44,,,<-1>,38,
gtmpcnut,10/17/2017 2:00:00 AM,2,1,,0.056,,,<-2> (CSM),0.034,,0.003,<-4> [SBL] (CHB),0.009,,0.012,,0.046,,,<-2> [GCM],,<-2> (CSM),,<-2> [GCM],1.1,<-4> [SBL],0.8,<-4> [SBL],0.8,<-4> [SBL],,<-2> (CSM),280,<1> (CHB),,<-1>,25.7,,0.14,,3.32,,6.13,,,<-1>,41,
gtmpcnut,10/17/2017 4:30:00 AM,2,1,,0.053,,,<-2> (CSM),0.032,,0.003,<-4> [SBL] (CHB),0.008,,0.011,,0.043,,,<-2> [GCM],,<-2> (CSM),,<-2> [GCM],1.1,<-4> [SBL],1,,0.8,<-4> [SBL],,<-2> (CSM),240,<1> (CHB),,<-1>,25.02,,0.15,,4.47,,6.18,,,<-1>,38,
gtmpcnut,10/17/2017 7:00:00 AM,2,1,,0.054,,0.14,,0.058,,0.003,<-4> [SBL] (CHB),0.017,,0.02,,0.078,,0.69,,0.67,,0.612,,1.8,,2.6,,1.3,,,<-2> (CSM),450,<1> (CHB),,<-1>,25.36,,2.2,,5.54,,6.56,,,<-1>,34,
gtmpcnut,10/17/2017 9:30:00 AM,2,1,,0.055,,,<-2> (CSM),0.11,,0.015,,0.004,,0.019,,0.129,,,<-2> [GCM],,<-2> (CSM),,<-2> [GCM],3,,4.3,,1.9,,,<-2> (CSM),120,<1> (CHB),,<-1>,25.73,,9.66,,6.06,,7.15,,,<-1>,28,
gtmpinut,11/1/2017 8:12:00 AM,1,1,{CSM},0.06,,0.1,,0.085,,0.053,,0.033,,0.086,,0.171,,0.786,,0.7,,0.615,,2.3,,3.1,,1.2,,16,,16,<1> (CHB),,<-1>,19.2,,13.99,,7.28,,6.87,,0.5,,15,
gtmpinut,11/1/2017 8:14:00 AM,1,2,{CSM},0.059,,0.1,,0.081,,0.053,,0.032,,0.085,,0.166,,0.815,,0.73,,0.649,,2.1,,3,,1.4,,14,,7,<1> (CHB),,<-1>,19.2,,13.99,,7.28,,6.87,,0.5,,15,
gtmssnut,11/1/2017 9:12:00 AM,1,1,,0.044,,0.1,,0.077,,0.027,,0.083,,0.11,,0.187,,0.58,,0.47,,0.393,,4.5,,6,,2.2,,42,,20,<1> (CHB),,<-1>,20.7,,28.58,,7.18,,7.37,,0.4,,7.7,
gtmssnut,11/1/2017 9:14:00 AM,1,2,,0.045,,0.1,,0.079,,0.028,,0.082,,0.11,,0.189,,0.68,,0.57,,0.491,,4.6,,6.5,,2.8,,44,,15,<1> (CHB),,<-1>,20.7,,28.58,,7.18,,7.37,,0.4,,7.8,
gtmfmnut,11/1/2017 10:11:00 AM,1,1,{CSM},0.03,,0.063,,0.067,,0.012,,0.044,,0.056,,0.123,,0.506,,0.45,,0.383,,3.2,,4.2,,1.5,,15,,11,<1> (CHB),,<-1>,20.5,,29.53,,7.36,,7.62,,0.8,,7.3,
gtmfmnut,11/1/2017 10:13:00 AM,1,2,{CSM},0.028,,0.063,,0.066,,0.012,,0.037,,0.049,,0.115,,0.509,,0.46,,0.394,,2.3,,3,,0.99,,14,<1> (CSM),16,<1> (CHB),,<-1>,20.5,,29.53,,7.36,,7.62,,0.8,,7.3,
gtmpcnut,11/1/2017 10:01:00 AM,1,1,{CSM},0.042,,0.081,,0.09,,0.004,,0.018,,0.022,,0.112,,1.422,,1.4,,1.31,,6.1,,6.8,,0.8,<-4> [SBL],8,,60,<1> (CHB),98,<1> (CHB),17.9,,1.87,,6.18,,6.84,,0.3,,40,
gtmpcnut,11/1/2017 10:03:00 AM,1,2,{CSM},0.041,,0.082,,0.082,,0.004,,0.022,,0.026,,0.108,,1.426,,1.4,,1.318,,3.5,,5.5,,3.2,,8,,54,<1> (CHB),,<-1>,17.9,,1.87,,6.18,,6.84,,0.3,,40,
gtmpcnut,10/31/2017 8:30:00 AM,2,1,,0.038,<1> (CHB),0.079,,0.069,,0.003,<-4> [SBL] (CHB),0.018,,0.021,,0.09,,1.321,,1.3,,1.231,,1.8,<1> (CHB),2.5,<1> (CHB),0.93,<1> (CHB),10,,,<-2> [GDM],,<-1>,17.3,,0.33,,5.58,,6.5,,,<-1>,42,
gtmpcnut,10/31/2017 11:00:00 AM,2,1,,0.038,<1> (CHB),0.07,,0.061,,0.003,<-4> [SBL],0.01,,0.013,,0.074,,1.313,,1.3,,1.239,,0.71,,1.2,,0.74,,7,,66,<1> (CHB),,<-1>,17.73,,0.13,,5.13,,6.38,,,<-1>,43,
gtmpcnut,10/31/2017 1:30:00 PM,2,1,,0.035,,0.065,,0.047,,0.003,<-4> [SBL],0.01,,0.013,,0.06,,1.313,,1.3,,1.253,,0.55,<-4> [SBL],0.75,,0.5,,3,,68,<1> (CHB),,<-1>,18.35,,0.11,,5.27,,6.38,,,<-1>,43,
gtmpcnut,10/31/2017 4:00:00 PM,2,1,,0.036,,0.068,,0.045,,0.003,<-4> [SBL],0.011,,0.014,,0.059,,1.414,,1.4,,1.355,,1.1,<-4> [SBL],0.8,<-4> [SBL],0.8,<-4> [SBL],4,,70,<1> (CHB),,<-1>,17.94,,0.1,,5.35,,6.34,,,<-1>,44,
gtmpcnut,10/31/2017 6:30:00 PM,2,1,,0.037,,0.069,,0.06,,0.003,<-4> [SBL],0.013,,0.016,,0.076,,1.416,,1.4,,1.34,,1.5,,2,,0.8,<-4> [SBL],9,,80,<1> (CHB),,<-1>,19.56,,0.61,,5.59,,6.47,,,<-1>,42,
gtmpcnut,10/31/2017 9:00:00 PM,2,1,,0.039,,0.076,,0.076,,0.004,,0.016,,0.02,,0.096,,1.42,,1.4,,1.324,,1.9,,2.6,,1,,14,,69,<-4> [SBL] (CSM),,<-1>,19.85,,1.83,,5.89,,6.67,,,<-1>,39,
gtmpcnut,10/31/2017 11:30:00 PM,2,1,,0.037,,0.068,,0.055,,0.003,<-4> [SBL],0.011,,0.014,,0.069,,1.214,,1.2,,1.145,,0.55,<-4> [SBL],0.4,<-4> [SBL],0.4,<-4> [SBL],4,,60,<1> (CHB),,<-1>,18.14,,0.15,,5.49,,6.38,,,<-1>,42,
gtmpcnut,11/1/2017 2:00:00 AM,2,1,,0.036,,0.06,,0.05,,0.003,<-4> [SBL],0.01,,0.013,,0.063,,1.113,,1.1,,1.05,,0.55,<-4> [SBL],0.4,<-4> [SBL],0.4,<-4> [SBL],4,,58,<1> (CHB),,<-1>,17.41,,0.11,,5.7,,6.37,,,<-1>,43,
gtmpcnut,11/1/2017 4:30:00 AM,2,1,,0.036,,0.06,,0.052,,0.003,<-4> [SBL],0.01,,0.013,,0.065,,1.113,,1.1,,1.048,,1.1,<-4> [SBL],0.8,<-4> [SBL],0.8,<-4> [SBL],3,,62,<1> (CHB),,<-1>,17.16,,0.12,,5.71,,6.38,,,<-1>,43,
gtmpcnut,11/1/2017 7:00:00 AM,2,1,,0.039,,0.075,,0.072,,0.003,,0.016,,0.019,,0.091,,1.219,,1.2,,1.128,,2.9,,3.3,,0.8,<-4> [SBL],9,,82,<1> (CHB),,<-1>,17.69,,1.15,,5.73,,6.53,,,<-1>,40,
gtmpcnut,11/1/2017 9:30:00 AM,2,1,,0.044,,0.095,,0.11,,0.016,,0.02,,0.036,,0.146,,1.016,,0.98,,0.87,,4.6,,6.3,,2.6,,11,,11,<1> (CHB),,<-1>,18.83,,9.34,,6.19,,7.16,,,<-1>,30,
gtmpinut,12/14/2017 8:34:00 AM,1,1,,0.038,,0.063,,0.074,,0.004,,0.031,,0.035,,0.109,,0.665,,0.63,,0.556,,1.7,,2.3,,0.92,,11,,2,<-4> [SBL] (CHB),,<-1>,12.9,,19.45,,9.48,,6.9,,0.9,,11,
gtmpinut,12/14/2017 8:35:00 AM,1,2,,0.039,,0.058,<1> (CUS),0.072,<1> (CUS),0.003,,0.037,,0.04,<1> (CUS),0.112,,0.68,,0.64,<1> (CUS),0.568,,1.7,,2.3,,0.98,,9,,8,<1> (CHB),,<-1>,12.9,,19.45,,9.48,,6.9,,0.9,,11,<1> (CUS)
gtmssnut,12/14/2017 9:55:00 AM,1,1,,0.036,,0.064,,0.059,,0.005,,0.077,,0.082,,0.141,,0.572,,0.49,,0.431,,1.9,,2.8,,1.4,,12,,16,<1> (CHB),,<-1>,13.9,,28.61,,8.9,,7.17,,1.2,,6.8,
gtmssnut,12/14/2017 9:56:00 AM,1,2,,0.036,,0.06,,0.058,,0.005,,0.077,,0.082,,0.14,,0.562,,0.48,,0.422,,1.9,,2.8,,1.5,,14,,23,<1> (CHB),,<-1>,13.9,,28.61,,8.9,,7.17,,1.2,,6.8,
gtmfmnut,12/14/2017 10:51:00 AM,1,1,,0.02,,0.042,,0.034,,0.006,,0.024,,0.03,,0.064,,0.51,,0.48,,0.446,,2.3,,3,,1.2,,14,,3,<1> (CHB),,<-1>,14.4,,30.93,,8.75,,7.4,,1.2,,5.8,
gtmfmnut,12/14/2017 10:53:00 AM,1,2,,0.018,,0.04,,0.034,,0.006,,0.024,,0.03,,0.064,,0.5,,0.47,,0.436,,2.1,,2.9,,1.2,,15,<1> (CSM),6,<1> (CHB),,<-1>,14.4,,30.93,,8.75,,7.4,,1.2,,5.7,
gtmpcnut,12/14/2017 10:25:00 AM,1,1,,0.028,,0.051,,0.038,,0.003,<-4> [SBL],0.013,,0.016,,0.054,,0.966,,0.95,,0.912,,0.64,,0.97,,0.49,,4,<1> (CSM),150,<1> (CHB),172.5,<1> [GSM] (CHB),11.9,,1.54,,10,,7.63,,0.4,,35,
gtmpcnut,12/14/2017 10:28:00 AM,1,2,,0.029,,0.05,,0.033,,0.003,<-4> [SBL],0.012,,0.015,,0.048,,0.955,,0.94,,0.907,,0.72,,1,,0.46,,4,,150,<1> (CHB),,<-1>,11.9,,1.54,,10,,7.63,,0.4,,35,
gtmpcnut,12/13/2017 9:30:00 AM,2,1,,0.021,<1> (CHB),0.062,,0.038,,0.01,<1> [SCC],-0.001,<-3> [SNV],0.009,<1> [SCC],0.047,,1.109,,1.1,,1.062,,0.9,<1> (CHB),1.5,<1> (CHB),0.95,<1> (CHB),8,,,<-2> [GDM],,<-1>,12.09,,3.88,,8.26,,6.88,,,<-1>,34,
gtmpcnut,12/13/2017 12:00:00 PM,2,1,,0.024,<1> (CHB),0.052,,0.025,,0.003,<-4> [SBL] (CHB),0.006,,0.009,,0.034,,1.009,,1,,0.975,,0.65,,0.89,,0.4,<-4> [SBL],4,,170,<1> (CHB),,<-1>,12.04,,0.57,,8.24,,6.6,,,<-1>,37,
gtmpcnut,12/13/2017 2:30:00 PM,2,1,,0.025,<1> (CHB),0.05,,0.025,,0.003,<-4> [SBL],0.006,,0.009,,0.034,,1.009,,1,,0.975,,0.75,,1.1,,0.57,,7,,220,<1> (CHB),,<-1>,12.88,,0.25,,8.2,,6.59,,,<-1>,37,
gtmpcnut,12/13/2017 5:00:00 PM,2,1,,0.024,,0.051,,0.027,,0.003,<-4> [SBL],0.008,,0.011,,0.038,,0.991,,0.98,,0.953,,0.92,<-4> [SBL],1.3,,0.78,,10,,180,<1> (CHB),,<-1>,13.29,,1.02,,8.35,,6.64,,,<-1>,36,
gtmpcnut,12/13/2017 7:30:00 PM,2,1,,0.029,,0.058,,0.054,,0.009,<1> (CSM),0.007,,0.016,,0.07,,0.986,,0.97,,0.916,,0.71,,1.3,,0.91,,8,,46,<1> (CHB),,<-1>,13.77,,6.64,,8.19,,7.02,,,<-1>,30,
gtmpcnut,12/13/2017 10:00:00 PM,2,1,,0.028,,0.057,,0.038,,0.01,,0.002,,0.012,,0.05,,1.012,,1,,0.962,,0.55,<-4> [SBL],0.94,,0.62,,7,,130,<1> (CHB),,<-1>,13.33,,5.25,,8.05,,6.95,,,<-1>,34,
gtmpcnut,12/14/2017 12:30:00 AM,2,1,,0.026,,0.051,,0.026,,0.003,<-4> [SBL],0.009,,0.012,,0.038,,0.972,,0.96,,0.934,,0.55,<-4> [SBL],0.65,,0.4,<-4> [SBL],3,,170,<1> (CHB),,<-1>,11.9,,0.49,,8.15,,6.63,,,<-1>,36,
gtmpcnut,12/14/2017 3:00:00 AM,2,1,,0.026,,0.047,,0.023,,0.003,<-4> [SBL],0.006,,0.009,,0.032,,0.939,,0.93,,0.907,,0.55,<-4> [SBL],0.55,,0.4,<-4> [SBL],3,,170,<1> (CHB),,<-1>,11.62,,0.28,,8.02,,8.02,,,<-1>,37,
gtmpcnut,12/14/2017 5:30:00 AM,2,1,,0.026,,0.05,,0.027,,0.003,<-4> [SBL],0.01,,0.013,,0.04,,0.953,,0.94,,0.913,,0.55,<-4> [SBL],0.64,,0.4,<-4> [SBL],3,,220,<1> (CHB),,<-1>,11.3,,0.44,,8.06,,8.06,,,<-1>,35,
gtmpcnut,12/14/2017 8:00:00 AM,2,1,,0.031,,0.06,,0.054,,0.008,,0.011,,0.019,,0.073,,1.019,,1,,0.946,,2.3,,3,,1,,6,,86,<1> (CHB),,<-1>,12.09,,7.11,,8.09,,8.09,,,<-1>,27,
gtmpcnut,12/14/2017 10:30:00 AM,2,1,,0.025,,0.058,,0.044,,0.009,,0.005,,0.014,,0.058,,0.924,,0.91,,0.866,,0.96,,1.4,,0.59,,6,,130,<1> (CHB),,<-1>,12.74,,8.24,,7.9,,7.9,,,<-1>,31,
