Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TKNF,F_TKNF,TON,F_TON,DON,F_DON,PON,F_PON,TDN,F_TDN,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ECOLI_MPN,F_ECOLI_MPN,ENTERO_MPN,F_ENTERO_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI,DOC,F_DOC
gtmpcnut,7/15/2019 4:30:00 AM,2,1, ,0.067, ,0.11, ,0.008, ,0.006,<1> [SCC],-0.002,<-3> [SNV],0.004,<1> [SCC],0.012,<1> [GQS],0.674,<1> [GQS],0.67, , ,<-1>  ,0.662,, ,<-1>  ,0.67,,0.004,<1> [GQS],11, ,12, ,2.3,,8,,120,<1> (CHB), ,<-1>  , ,<-1>  ,30.1,,5.35,,4.12,,7.11,,,<-1>  ,27,
gtmpcnut,7/15/2019 7:00:00 AM,2,1, ,0.064, ,0.13, ,0.007, ,0.006,<1> [SCC],-0.002,<-3> [SNV],0.004,<1> [SCC],0.011,<1> [GQS],0.884,<1> [GQS],0.88, , ,<-1>  ,0.873,, ,<-1>  ,0.88,,0.004,<1> [GQS],47, ,50, ,2.2,<-4> [SBL],9,,180,<1> (CHB), ,<-1>  , ,<-1>  ,29.3,,3.72,,4.1,,7.06,,,<-1>  ,27,
gtmfmnut,7/15/2019 7:55:00 AM,1,1, ,0.004,<-4> [SBL],0.04, ,0.006, ,0.002,<-4> [SBL],0.006,,0.008,,0.014,,0.308,,0.3,,0.16,<-4> [SBL],0.294,,0.154,,0.14,,0.168,,5.3, ,6.3, ,1.2,,13, ,5,<1> (CHB), ,<-1>  , ,<-1>  ,26,,35.35,,5.37,,8.03,,1.3,,2.2,
gtmfmnut,7/15/2019 7:58:00 AM,1,2, ,0.004,<-4> [SBL],0.037, ,0.003,,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.007,,0.324,,0.32,,0.21,,0.317,,0.207,,0.11,,0.214,,4.8, ,6.1, ,1.8,,12,<1> (CSM),3,<1> (CHB), ,<-1>  , ,<-1>  ,26,,35.35,,5.37,,8.03,,1.3,,2.1,
gtmssnut,7/15/2019 9:03:00 AM,1,1, ,0.009,,0.052, ,0.005,,0.002,<-4> [SBL],0.008,,0.01, ,0.015,,0.36,,0.35,,0.2,,0.345,,0.195,,0.15,,0.21,,7.9, ,10, ,3.3, ,15, ,5,<1> (CHB), ,<-1>  , ,<-1>  ,26.2,,36.1,,5.65,,8.05,,0.9,,2,
gtmssnut,7/15/2019 9:07:00 AM,1,2, ,0.008,,0.054, ,0.004,,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.008,,0.364,,0.36,,0.21,,0.356,,0.206,,0.15,,0.214,,7.5, ,9.6, ,2.9,,16, , ,<-2> [GDM], ,<-1>  , ,<-1>  ,26.2,,36.1,,5.65,,8.05,,0.9,,2, 
gtmpcnut,7/15/2019 9:30:00 AM,2,1, ,0.057, ,0.11, ,0.008, ,0.004,,0,,0.004,<-4> [SBL],0.012,,0.924,,0.92, , ,<-1>  ,0.912,, ,<-1>  ,0.92,,0.004,,24, ,26, ,2.7,,14, ,64,<1> (CHB), ,<-1>  , ,<-1>  ,30.4,,13.29,,3.81,,7.31,,0.4,,20, 
gtmpinut,7/15/2019 10:15:00 AM,1,1, ,0.026, ,0.075,<1> (CSM),0.022, ,0.004,,0.009,,0.013, ,0.035,,0.563,,0.55, ,0.49, ,0.528,,0.468,,0.06,,0.503,,11, ,13, ,2.7, ,18,<1> (CSM),2,<1> (CHB), ,<-1>  , ,<-1>  ,29.6,,33.92,,4.22,,7.54,,1,,5.2, 
gtmpcnut,7/15/2019 10:16:00 AM,1,1, ,0.052, ,0.1, ,0.032, ,0.003,,0.001,,0.004,<-4> [SBL],0.036,,0.974,,0.97, ,0.69, ,0.938,,0.658,,0.28,,0.694,,22, ,24, ,4.5,<-4> [SBL],21, ,96,<1> (CHB), ,<-1>  ,25.5,<1> [GSM] (CHB),30.5,,18.09,,2.83,,6.76,,1,,17, 
gtmpcnut,7/15/2019 10:19:00 AM,1,2, ,0.053, ,0.11, ,0.024, ,0.003,,0.001,,0.004,<-4> [SBL],0.028,,0.864,,0.86, ,0.68, ,0.836,,0.656,,0.18,,0.684,,20,<1> (CSM),22,<1> (CSM),4.5,<-4> [SBL],20, ,76,<1> (CHB), ,<-1>  , ,<-1>  ,30.5,,18.09,,2.83,,6.76,,0.4,,16, 
gtmpinut,7/15/2019 10:22:00 AM,1,2, ,0.026, ,0.07, ,0.024, ,0.005,,0.003,,0.008,,0.032,,0.548,,0.54, ,0.51, ,0.516,,0.486,,0.03,,0.518,,10, ,12, ,2.5,,17, ,2,<1> [SBL] (CHB), ,<-1>  , ,<-1>  ,29.6,,33.92,,4.22,,7.54,,1,,5.3, 
gtmpcnut,8/12/2019 9:30:00 AM,2,1, ,0.048,<1> (CHB),0.065, ,0.15, ,0.008,<1> (CHB),0.007,<1> [GQS],0.015, ,0.165,,0.865,,0.85, ,0.82, ,0.7,,0.67,,0.03,,0.835,,7.1,<1> (CHB),8.9,<1> (CHB),2.4,<1> (CHB),20, , ,<-2> [GDM], ,<-1>  , ,<-1>  ,30.69,,19.41,,2.81,,7.08,,,<-1>  ,19, 
gtmpcnut,8/12/2019 12:00:00 PM,2,1, ,0.048, ,0.094, ,0.11, ,0.01,<1> (CHB),0.009,<1> [GQS],0.019, ,0.129,,1.009,,0.99, , ,<-1>  ,0.88,, ,<-1>  ,0.99,,0.019,,4.9,,6.7, ,2.6,,13, ,52,<1> (CHB), ,<-1>  , ,<-1>  ,30.54,,,<-2> [GDM],2.78,,7.08,,,<-1>  ,27, 
gtmpcnut,8/12/2019 2:30:00 PM,2,1, ,0.056, ,0.1, ,0.098, ,0.013,<1> (CHB),0.005,<1> [GQS],0.018, ,0.116,,1.218,,1.2, , ,<-1>  ,1.102,, ,<-1>  ,1.2,,0.018,,3,,4.7, ,2.6,,10, ,45,<1> (CHB), ,<-1>  , ,<-1>  ,30.63,,8.29,,2.74,,6.94,,,<-1>  ,38, 
gtmpcnut,8/12/2019 5:00:00 PM,2,1, ,0.056, ,0.097, ,0.034, ,0.015, ,0.003,,0.018, ,0.052,,1.318,,1.3, , ,<-1>  ,1.266,, ,<-1>  ,1.3,,0.018,,6.9, ,8.5, ,2.2,,10, ,210,<1> (CHB), ,<-1>  , ,<-1>  ,33.3,,3.04,,4.18,,6.89,,,<-1>  ,43, 
gtmpcnut,8/12/2019 7:30:00 PM,2,1, ,0.047, ,0.1, ,0.079, ,0.011,<1> (CSM),0.007,<1> [GQS],0.018, ,0.097,,1.118,,1.1, , ,<-1>  ,1.021,, ,<-1>  ,1.1,,0.018,,6.1, ,8.5, ,3.7,,24, ,31,<1> (CHB), ,<-1>  , ,<-1>  ,33.47,,11.38,,4.44,,7.25,,,<-1>  ,30, 
gtmpcnut,8/12/2019 10:00:00 PM,2,1, ,0.032, ,0.1, ,0.051, ,0.006, ,0.004,,0.01, ,0.061,,0.87,,0.86, , ,<-1>  ,0.809,, ,<-1>  ,0.86,,0.01,,9.2, ,13, ,6.5, ,23, ,5,<1> (CHB), ,<-1>  , ,<-1>  ,33.46,,21.9,,5.06,,7.69,,,<-1>  ,17, 
gtmpcnut,8/13/2019 12:30:00 AM,2,1, ,0.05, ,0.1, ,0.11, ,0.01, ,0.007,,0.017, ,0.127,,1.117,,1.1, , ,<-1>  ,0.99,, ,<-1>  ,1.1,,0.017,,3.3,<1> (CSM),5.3,<1> (CSM),3,<1> (CSM),24, ,12,<1> (CHB), ,<-1>  , ,<-1>  ,33.11,,15.53,,4.06,,7.34,,,<-1>  ,26, 
gtmpcnut,8/13/2019 2:00:00 AM,2,1, ,0.054, ,0.099, ,0.071, ,0.013, ,0.006,,0.019, ,0.09,,1.119,,1.1, , ,<-1>  ,1.029,, ,<-1>  ,1.1,,0.019,,5.3, ,7.9, ,3.9,,11, ,270,<1> (CHB), ,<-1>  , ,<-1>  ,31.27,,6.21,,3.31,,6.94,,,<-1>  ,38, 
gtmpcnut,8/13/2019 5:30:00 AM,2,1, ,0.059, ,0.1, ,0.069, ,0.014, ,0.006,,0.02, ,0.089,,1.22,,1.2, , ,<-1>  ,1.131,, ,<-1>  ,1.2,,0.02,,3.2,,3.8,,2.2,<-4> [SBL],5,,150,<1> (CHB), ,<-1>  , ,<-1>  ,30.62,,,<-2> [GDM],3.31,,6.85,,,<-1>  ,40,
gtmfmnut,8/13/2019 7:30:00 AM,1,1, ,0.006,,0.027, ,0.01, ,0.002,<-4> [SBL],0.002,,0.004,,0.014,,0.274,,0.27,<1> [SCC],0.29,<1> [SCC],0.26,<1> [GQS],0.28,,-0.02,<-3> [SNV],0.294,<1> [GQS],4.7, ,5.4, ,0.87,,7,,5,<1> (CHB), ,<-1>  , ,<-1>  ,29.3,,35.97,,5.12,,7.85,,1.5,,1.8,
gtmfmnut,8/13/2019 7:33:00 AM,1,2, ,0.006,,0.028, ,0.003,,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.007,,0.194,,0.19,<1> [SCC],0.29,<1> [SCC],0.187,<1> [GQS],0.287,,-0.1,<-3> [SNV],0.294,<1> [GQS],4.8, ,5.3, ,0.68,<-4> [SBL],6,,2,<1> (CHB), ,<-1>  , ,<-1>  ,29.3,,35.97,,5.12,,7.85,,1.5,,1.8,
gtmpcnut,8/13/2019 8:00:00 AM,2,1, ,0.054,,0.088, ,0.11, ,0.011, ,0.008,,0.019, ,0.129,,1.219,,1.2, , ,<-1>  ,1.09,, ,<-1>  ,1.2,,0.019,,4.3, ,6.2, ,2.9,,21, ,110,<1> (CHB), ,<-1>  , ,<-1>  ,31.14,,11.62,,3.24,,7.07,,0.8,,30,
gtmssnut,8/13/2019 8:38:00 AM,1,1, ,0.01,,0.038, ,0.011, ,0.002,<-4> [SBL],0.007,,0.009,,0.02,,0.279,,0.27,<1> [SCC],0.34,<1> [SCC],0.259,<1> [GQS],0.329,,-0.07,<-3> [SNV],0.349,<1> [GQS],4.2, ,4.8, ,0.8,,12, ,11,<1> (CHB), ,<-1>  , ,<-1>  ,29.2,,35.51,,5.44,,7.83,,0.8,,2.3,
gtmssnut,8/13/2019 8:41:00 AM,1,2, ,0.01,,0.036, ,0.01, ,0.002,<-4> [SBL],0.005,,0.007,,0.017,,0.287,,0.28,<1> [SCC],0.37,<1> [SCC],0.27,<1> [GQS],0.36,,-0.09,<-3> [SNV],0.377,<1> [GQS],6.6, ,7.9, ,1.8,,11,<1> (CSM),11,<1> (CHB), ,<-1>  , ,<-1>  ,29.2,,35.51,,5.44,,7.83,,0.8,,2.2,
gtmpinut,8/13/2019 9:50:00 AM,1,1, ,0.024, ,0.052, ,0.013, ,0.017, ,0.004,,0.021, ,0.034,,0.581,,0.56, ,0.56,,0.547,,0.547,,0,,0.581,,12, ,14, ,2.8,,12, ,4,<1> [SBL] (CHB), ,<-1>  , ,<-1>  ,31,,28.86,,4.33,,7.37,,0.9,,7,
gtmpinut,8/13/2019 9:53:00 AM,1,2, ,0.025, ,0.061, ,0.014, ,0.017,<1> [SCC],-0.011,<-3> [SNV],0.006,<1> [SCC],0.02,<1> [GQS],0.516,<1> [GQS],0.51,<1> [SCC],0.57,<1> [SCC],0.496,<1> [GQS],0.556,,-0.06,<-3> [SNV],0.576,<1> [GQS],8.9, ,12, ,3.8,,14, ,2,<1> (CHB), ,<-1>  , ,<-1>  ,31,,28.86,,4.33,,7.37,,0.9,,6.9,
gtmpcnut,8/13/2019 10:26:00 AM,1,1, ,0.046, ,0.088, ,0.12, ,0.009, ,0.009,,0.018, ,0.138,,1.018,,1, ,0.86,,0.88,,0.74,,0.14,,0.878,,8.1, ,10, ,2.8,,21, ,74,<1> (CHB), ,<-1>  ,122,<1> [GSM] (CHB),31.6,,23.66,,2.77,,6.46,,0.9,,22,
gtmpcnut,8/13/2019 10:28:00 AM,1,2, ,0.048, ,0.087, ,0.11, ,0.008, ,0.007,,0.015, ,0.125,,1.015,,1, ,0.87, ,0.89,,0.76,,0.13,,0.885,,7.9, ,10, ,3.1,,20, ,110,<1> (CHB), ,<-1>  , ,<-1>  ,31.6,,23.66,,2.77,,6.46,,0.9,,22,
gtmpcnut,8/13/2019 10:30:00 AM,2,1, ,0.045, ,0.09, ,0.12, ,0.005, ,0.01,,0.015, ,0.135,,0.865,,0.85, , ,<-1>  ,0.73,, ,<-1>  ,0.85,,0.015,,7.7, ,10, ,3.2,,28, ,9,<1> (CHB), ,<-1>  , ,<-1>  ,31.71,,23.63,,2.96,,7.45,,,<-1>  ,15,
gtmpcnut,9/10/2019 8:45:00 AM,2,1, ,0.029,<1> (CHB),0.087, ,0.065, ,0.003,<1> (CHB),0.004,<1> [GQS],0.007,,0.072,,0.787,,0.78, ,0.65, ,0.715,,0.585,,0.13,,0.657,,7.9,<1> (CHB),9.6,<1> (CHB),4,<1> [SBL] (CHB),15, , ,<-2> [GDM], ,<-1>  , ,<-1>  ,32.05,,19.31,,3.07,,7.3,,,<-1>  ,15,
gtmpcnut,9/10/2019 11:15:00 AM,2,1, ,0.036,<1> (CHB),0.09, ,0.089, ,0.005,<1> (CHB),0.006,<1> [GQS],0.011, ,0.1,,0.901,,0.89, , ,<-1>  ,0.801,, ,<-1>  ,0.89,,0.011,,6.6, ,8.5, ,2.9,,16, ,46,<1> (CHB), ,<-1>  , ,<-1>  ,30.61,,16.05,,2.74,,7.19,,,<-1>  ,18,
gtmpcnut,9/10/2019 1:45:00 PM,2,1, ,0.034, ,0.09, ,0.059, ,0.006, ,0.008,,0.014, ,0.073,,0.974,,0.96, , ,<-1>  ,0.901,, ,<-1>  ,0.96,,0.014,,4.5, ,7, ,3.9,,11, ,90,<1> (CHB), ,<-1>  , ,<-1>  ,30.82,,11.61,,2.59,,7.09,,,<-1>  ,22,
gtmpcnut,9/10/2019 4:15:00 PM,2,1, ,0.042, ,0.1, ,0.029, ,0.008, ,0.005,,0.013, ,0.042,,0.933,,0.92, , ,<-1>  ,0.891,, ,<-1>  ,0.92,,0.013,,5.2, ,6.9, ,2.6,,12, ,210,<1> (CHB), ,<-1>  , ,<-1>  ,31.01,,5.07,,3.75,,6.97,,,<-1>  ,32,
gtmpcnut,9/10/2019 6:45:00 PM,2,1, ,0.032, ,0.11, ,0.017, ,0.006,<1> (CSM),0.006,<1> [GQS],0.012, ,0.029,,1.012,,1, , ,<-1>  ,0.983,, ,<-1>  ,1,,0.012,,10, ,14, ,5.7, ,27, ,46,<1> (CHB), ,<-1>  , ,<-1>  ,31.92,,12.02,,4.9,,7.32,,,<-1>  ,22,
gtmpcnut,9/10/2019 9:15:00 PM,2,1, ,0.023, ,0.097, ,0.014, ,0.002,,0.003,,0.005,,0.019,,0.935,,0.93, , ,<-1>  ,0.916,, ,<-1>  ,0.93,,0.005,,8.9, ,13, ,6.2, ,33, ,100,<1> [SBL] (CHB), ,<-1>  , ,<-1>  ,32.87,,20.91,,5.37,,7.69,,,<-1>  ,15,
gtmpcnut,9/10/2019 11:45:00 PM,2,1, ,0.028, ,0.11, ,0.039, ,0.004,,0.003,,0.007,,0.046,,0.997,,0.99, , ,<-1>  ,0.951,, ,<-1>  ,0.99,,0.007,,7.4,,12, ,7.2,,30, ,36,<1> (CHB), ,<-1>  , ,<-1>  ,32.4,,17.11,,4.47,,7.44,,,<-1>  ,18,
gtmpcnut,9/11/2019 2:15:00 AM,2,1, ,0.041, ,0.09, ,0.064, ,0.007, ,0.007,,0.014, ,0.078,,1.014,,1, , ,<-1>  ,0.936,, ,<-1>  ,1,,0.014,,5.1, ,7.4, ,3.5, ,12, ,270,<1> (CHB), ,<-1>  , ,<-1>  ,31.11,,9.77,,3.44,,7.1,,,<-1>  ,24,
gtmpcnut,9/11/2019 4:45:00 AM,2,1, ,0.042, ,0.092, ,0.061, ,0.007, ,0.009,,0.016, ,0.077,,0.906,,0.89, , ,<-1>  ,0.829,, ,<-1>  ,0.89,,0.016,,4.5, ,6.3, ,2.8, ,10, ,160,<1> (CHB), ,<-1>  , ,<-1>  ,30.68,,7.84,,3.13,,7.02,,,<-1>  ,27,
gtmfmnut,9/11/2019 7:05:00 AM,1,1, ,0.005,,0.032, ,0.004,,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.008,,0.314,,0.31,,0.24,,0.306,,0.236,,0.07,,0.244,,5.7, ,6.7, ,1.2,,8,,3,<1> (CHB), ,<-1>  , ,<-1>  ,28.8,,35.76,,5.33,,7.92,,1.5,,2.1,
gtmfmnut,9/11/2019 7:08:00 AM,1,2, ,0.004,,0.031, ,0.002,<-4> [SBL],0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.006,,0.394,,0.39,,0.24,,0.388,,0.238,,0.15,,0.244,,4.3, ,4.9, ,0.75,<-4> [SBL],9,,10,<1> [SBL] (CHB), ,<-1>  , ,<-1>  ,28.8,,35.76,,5.33,,7.92,,1.5,,1.9,
gtmpcnut,9/11/2019 7:15:00 AM,2,1, ,0.039, ,0.1, ,0.081, ,0.006, ,0.008,,0.014, ,0.095,,0.934,,0.92, , ,<-1>  ,0.839,, ,<-1>  ,0.92,,0.014,,5.4, ,8.1, ,4.3, ,15,<1> (CSM),73,<1> (CHB), ,<-1>  , ,<-1>  ,30.42,,11.83,,3.6,,7.17,,1.1,,22, 
gtmssnut,9/11/2019 8:03:00 AM,1,1, ,0.006,<1> (CUS),0.036,<1> (CUS),0.003,<1> (CUS),0.002,<1> [SBL] (CUS),0.003,<1> [GQS],0.005,<1> (CUS),0.008,<1> [GQS],0.355,<1> [GQS],0.35,<1> (CUS),0.24,<1> (CUS),0.347,<1> [GQS],0.237,,0.11,<1> [GQS],0.245,<1> [GQS],9.9,<1> (CUS),11,<1> (CUS),1.6,<1> (CUS),12,<1> (CSM),3,<1> (CHB), ,<-1>  , ,<-1>  ,28.9,,35.76,,5.7,,7.92,,1.1,,2.3,<1> (CUS)
gtmssnut,9/11/2019 8:06:00 AM,1,2, ,0.007,<1> (CUS),0.04,<1> (CUS),0.003,<1> (CUS),0.002,<1> [SBL] (CUS),0.002,<1> [GQS],0.004,<1> [SBL] (CUS),0.007,<1> [GQS],0.304,<1> [GQS],0.3,<1> (CUS),0.28,<1> (CUS),0.297,<1> [GQS],0.277,,0.02,<1> [GQS],0.284,<1> [GQS],10,<1> (CUS),11,<1> (CUS),1.6,<1> (CUS),11,<1> (CUS),8,<1> (CHB), ,<-1>  , ,<-1>  ,28.9,,35.76,,5.7,,7.92,,1.1,,2.2,<1> (CUS)
gtmpinut,9/11/2019 9:05:00 AM,1,1, ,0.041,<1> (CUS),0.08,<1> (CUS),0.055,<1> (CUS),0.051,<1> [SCC],-0.025,<-3> [SNV],0.026,<1> [SCC],0.081,<1> [GQS],0.746,<1> [GQS],0.72,<1> (CUS),0.62,<1> (CUS),0.665,<1> [GQS],0.565,,0.1,<1> [GQS],0.646,<1> [GQS],5.6,<1> (CUS),7.2,<1> (CUS),2.2,<1> (CUS),10,<1> (CUS),3,<1> [SBL] (CHB), ,<-1>  , ,<-1>  ,29.7,,26.16,,3.79,,7.33,,1.1,,9.4,<1> (CUS)
gtmpinut,9/11/2019 9:08:00 AM,1,2, ,0.04, ,0.076, ,0.052, ,0.049,<1> [SCC],-0.025,<-3> [SNV],0.024,<1> [SCC],0.076,<1> [GQS],0.714,<1> [GQS],0.69, ,0.58, ,0.638,,0.528,,0.11,,0.604,<1> [GQS],3.3, ,4.3, ,1.3,,10, ,3,<1> (CHB), ,<-1>  , ,<-1>  ,29.7,,26.16,,3.79,,7.33,,1.1,,9.4, 
gtmpcnut,9/11/2019 9:45:00 AM,2,1, ,0.031, ,0.092, ,0.078, ,0.004,,0.004,,0.008,,0.086,,0.928,,0.92, , ,<-1>  ,0.842,, ,<-1>  ,0.92,,0.008,,8.8,<1> (CSM),12,<1> (CSM),5,<1> (CSM),23, ,44,<1> (CHB), ,<-1>  , ,<-1>  ,29.81,,17.76,,3.67,,7.35,,0.35,,17, 
gtmpcnut,9/11/2019 9:54:00 AM,1,1, ,0.034, ,0.091, ,0.086, ,0.004,,0.005,,0.009,,0.095,,1.109,,1.1, ,0.73, ,1.014,,0.644,,0.37,,0.739,,6.7, ,9.4, ,4.1, ,16, ,56,<1> (CHB), ,<-1>  ,25.5,<1> [GSM] (CHB),29.7,,17.8,,3.57,,6.67,,0.35,,20, 
gtmpcnut,9/11/2019 9:57:00 AM,1,2, ,0.034, ,0.093, ,0.083, ,0.005,,0.005,,0.01,,0.093,,1.01,,1, ,0.79, ,0.917,,0.707,,0.21,,0.8,,6.9, ,9.6, ,4, ,16, ,42,<1> (CHB), ,<-1>  , ,<-1>  ,29.7,,17.8,,3.57,,6.67,,0.35,,20, 
gtmpcnut,10/14/2019 8:45:00 AM,2,1, ,0.01,<1> (CHB),0.057, ,0.006, ,0.002,<1> [SBL] (CHB),0.002,<1> [GQS],0.004,<-4> [SBL],0.01,,0.624,,0.62, ,0.49, ,0.614,,0.484,,0.13,,0.494,,4.3,<1> (CHB),5.6,<1> (CHB),2.9,<1> [SBL] (CHB),24, , ,<-2> [GDM], ,<-1>  , ,<-1>  ,25.12,,21.46,,4.01,,7.02,,,<-1>  ,11, 
gtmpcnut,10/14/2019 11:15:00 AM,2,1, ,0.011,<1> (CHB),0.053, ,0.011, ,0.002,<1> [SBL] (CHB),0.002,<1> [GQS],0.004,<-4> [SBL],0.015,,0.584,,0.58, , ,<-1>  ,0.569,, ,<-1>  ,0.58,,0.004,,6,,7.6, ,2.3,,24, ,5,<1> [GSM](CHB), ,<-1>  , ,<-1>  ,26.51,,29.17,,4.93,,7.45,,,<-1>  ,5.6, 
gtmpcnut,10/14/2019 1:45:00 PM,2,1, ,0.012, ,0.053, ,0.005,,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.009,,0.544,,0.54, , ,<-1>  ,0.535,, ,<-1>  ,0.54,,0.004,,6.8, ,8.1, ,1.9,,23, ,8,<1> [GSM](CHB), ,<-1>  , ,<-1>  ,26.82,,28.55,,5.06,,7.42,,,<-1>  ,6, 
gtmpcnut,10/14/2019 4:15:00 PM,2,1, ,0.014, ,0.048, ,0.005,,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.009,,0.564,,0.56, , ,<-1>  ,0.555,, ,<-1>  ,0.56,,0.004,,7.2, ,8.3, ,1.8,<-4> [SBL],16, ,26,<1> [GSM](CHB), ,<-1>  , ,<-1>  ,26.82,,20.99,,4.87,,7.08,,,<-1>  ,9.3, 
gtmpcnut,10/14/2019 6:45:00 PM,2,1, ,0.017, ,0.053, ,0.007, ,0.002,,0.002,,0.004,<-4> [SBL],0.011,,0.634,,0.63, , ,<-1>  ,0.623,, ,<-1>  ,0.63,,0.004,,5.8, ,6.6, ,2,<-4> [SBL],13, ,100,<1> (CHB), ,<-1>  , ,<-1>  ,26.31,,15.74,,4.26,,6.96,,,<-1>  ,11, 
gtmpcnut,10/14/2019 9:15:00 PM,2,1, ,0.014, ,0.049, ,0.008, ,0.002,<-4> [SBL],0.003,,0.005,,0.013,,0.615,,0.61, , ,<-1>  ,0.602,, ,<-1>  ,0.61,,0.005,,5.5, ,6.8, ,1.8,,21, ,38,<1> (CHB), ,<-1>  , ,<-1>  ,26.31,,20.88,,4.66,,7.07,,,<-1>  ,9.4, 
gtmpcnut,10/14/2019 11:45:00 PM,2,1, ,0.013, ,0.06, ,0.008, ,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.012,,0.604,,0.6, , ,<-1>  ,0.592,, ,<-1>  ,0.6,,0.004,,4.7,,6.3, ,2.4,,24, ,13,<1> (CHB), ,<-1>  , ,<-1>  ,26.68,,26.58,,4.96,,7.31,,,<-1>  ,7, 
gtmpcnut,10/15/2019 2:15:00 AM,2,1, ,0.014, ,0.047, ,0.014, ,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.018,,0.574,,0.57, , ,<-1>  ,0.556,, ,<-1>  ,0.57,,0.004,,4,,5.2, ,1.9,,14, ,10,<1> (CHB), ,<-1>  , ,<-1>  ,26.28,,24.33,,4.41,,7.15,,,<-1>  ,8.4, 
gtmpcnut,10/15/2019 4:45:00 AM,2,1, ,0.018, ,0.046, ,0.017, ,0.002,,0.002,,0.004,<-4> [SBL],0.021,,0.564,,0.56, , ,<-1>  ,0.543,, ,<-1>  ,0.56,,0.004,,3.8,,4.9, ,1.8,<-4> [SBL],11, ,36,<1> (CHB), ,<-1>  , ,<-1>  ,25.58,,17.61,,3.89,,6.97,,,<-1>  ,11, 
gtmpcnut,10/15/2019 7:15:00 AM,2,1, ,0.021, ,0.048, ,0.025, ,0.003,,0.002,,0.005,,0.03,,0.545,,0.54, , ,<-1>  ,0.515,, ,<-1>  ,0.54,,0.005,,3.6,,4.6, ,1.8,<-4> [SBL],14, ,33,<1> (CHB), ,<-1>  , ,<-1>  ,25.34,,15.03,,3.69,,6.93,,,<-1>  ,11, 
gtmpcnut,10/15/2019 9:45:00 AM,2,1, ,0.019, ,0.059, ,0.025, ,0.002,,0.005,,0.007,,0.032,,0.617,,0.61, , ,<-1>  ,0.585,, ,<-1>  ,0.61,,0.007,,6.8, ,8.1, ,2.1,<-4> [SBL],18, ,25,<1> (CHB), ,<-1>  , ,<-1>  ,25.78,,23.02,,3.77,,7.04,,,<-1>  ,9.1, 
gtmfmnut,10/15/2019 9:47:00 AM,1,1, ,0.006,,0.025, ,0.006, ,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.01,,0.274,<1> [GQS],0.27,<1> [SCC],0.29,<1> [SCC],0.264,<1> [GQS],0.284,,-0.02,<-3> [SNV],0.294,<1> [GQS],7.4, ,8.1, ,0.98,<-4> [SBL],9,,2,<1> [GSM](CHB), ,<-1>  , ,<-1>  ,26.8,,35.46,,5.74,,7.96,,1.1,,2.6, 
gtmfmnut,10/15/2019 9:51:00 AM,1,2, ,0.005,,0.028, ,0.004,,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.008,,0.364,,0.36,,0.28,,0.356,,0.276,,0.08,,0.284,,5.5, ,5.9, ,0.9,<-4> [SBL],10, ,2,<1> [GSM](CHB), ,<-1>  , ,<-1>  ,26.8,,35.46,,5.74,,7.96,,1.1,,2.4, 
gtmssnut,10/15/2019 10:51:00 AM,1,1, ,0.008,,0.034, ,0.006,,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.01,,0.304,,0.3,,0.28,,0.294,,0.274,,0.02,,0.284,,8.2, ,9.2, ,1.3,,20, ,2,<1> [GSM](CHB), ,<-1>  , ,<-1>  ,26.7,,35.17,,5.72,,7.97,,0.8,,2.7, 
gtmssnut,10/15/2019 10:55:00 AM,1,2, ,0.009,,0.033, ,0.005,,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.009,,0.344,,0.34,,0.3,,0.335,,0.295,,0.04,,0.304,,9.6, ,11, ,1.3,,18, ,5,<1> [GSM](CHB), ,<-1>  , ,<-1>  ,26.7,,35.17,,5.72,,7.97,,0.8,,2.7, 
