Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,SECCHI,F_SECCHI,TKN,F_TKN,TON,F_TON,FECCOL,F_FECCOL
gtmpcnut,10/2/2013 9:30,2,1,,0.028,,0.062,,0.025,,0.003,<0> [SBL],0.01,,0.01,,0.035,,0.75,,4.6,,5.5,,1.3,,8,,,,,,,,,,,,,,0.74,,0.715,,13,<1> [SUL] (CHB)
gtmpinut,10/2/2013 9:15,1,1,,0.038,,0.068,,0.067,,0.044,,0.004,<1> [SBL],0.044,,0.111,,0.744,,2.3,,2.8,,0.84,,7,,25.1,,25.6,,4.7,,7.37,,,,,,0.7,,0.633,,3,<1> [SUL] (CHB)
gtmpinut,10/2/2013 9:28,1,2,,0.038,,0.068,,0.066,,0.046,<1> [SCC],0.029,<1> [SBL],0.032,<1> [SCC],0.098,,0.612,,2.1,,2.8,,1.1,,9,,25.1,,25.6,,4.7,,7.37,,,,,,0.58,,0.514,,2,<1> [SUL] (CHB)
gtmssnut,10/2/2013 10:30,1,1,,0.031,,0.067,,0.048,,0.012,,0.029,,0.041,,0.089,,0.501,,4.5,,5.7,,1.6,,13,,25.7,,31.24,,5.43,,7.71,,,,,,0.46,,0.412,,2,<1> [SBL] (CHB)
gtmssnut,10/2/2013 10:45,1,2,,0.03,,0.069,,0.044,,0.01,,0.029,,0.039,,0.083,,0.439,,4.7,,6,,1.8,,15,,25.7,,31.24,,5.43,,7.71,,,,,,0.4,,0.356,,11,<1> [SUL] (CHB)
gtmfmnut,11/14/2013 11:15,1,1,,0.023,,0.042,,0.024,,0.002,,0.005,,0.007,,0.031,,0.317,,2.4,,2.8,,0.54,,8,,16.9,,33.25,,7.6,,7.84,,,,,,0.31,,0.286,,7,<1> [SUL] (CHB)
gtmfmnut,11/14/2013 11:25,1,2,,0.02,,0.041,,0.025,,0.002,<1> [SBL],0.006,,0.008,,0.033,,0.408,,2.4,,2.9,,0.65,,9,,19.9,,33.25,,7.6,,7.84,,,,,,0.4,,0.375,,10,<1> [SUL] (CHB)
gtmpcnut,11/14/2013 9:48,1,1,,0.027,,0.059,,0.008,,0.002,<1> [SBL],0.004,,0.006,,0.014,,0.556,,4.7,<0> (CSM),5.7,<0> (CSM),1.3,<0> (CSM),11,,16.1,,26.1,,7.79,,8,,,,,,0.55,,0.542,,62,<1> (CHB)
gtmpcnut,11/14/2013 10:23,1,2,,0.027,,0.056,,0.005,,0.002,<1> [SBL],0.004,<1> [SBL],0.004,,0.009,,0.504,,5.2,,6,,1,,8,,16.3,,25.2,,8.52,,7.5,,,,,,0.5,,0.495,,68,<1> (CHB)
gtmpcnut,11/13/2013 9:30,2,1,,0.017,<1> (CHB),0.12,,0.024,,0.002,<1> [SBL] (CHB),0.01,<1> (CHB),0.012,,0.036,,0.762,,4.8,<1> (CHB),6.7,<1> (CHB),3,<1> (CHB),7,,,,,,,,,,,,,,0.75,,0.726,,,
